command,teperature,time,temp rate,note,heating time,
start,,,,
heating,37,,,,,,
wait,37,,,,,,
hold,37,20,,,,,
heating,42,,"0,85",,6,,
holding,42,20,,,,,
heating,52,,"0,85",,12,,
holding,52,20,,,,,
heating,62,,"0,7",,14,,
holding,62,20,,,,,
heating,72,,"0,7",,14,,
holding,72,20,,,,,
heating,78,,"0,85",,7,,
holding,78,10,,,,,
heating,100,,1,,22,,
wait,100,,,chmel1,,,
holding,100,,,,,,
wait,100,,,chmel2,,,
holding,100,,,,,,
wait,100,,,chmel3,,,
holding,100,,,,,,
end,,,,
