Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;65.0;0.0;0.0;0.0;15.0;0.0;22.0
0.2;61.1;65.00194285714285;1200.0;0.0;0.0;15.55335;2.766;22.0
0.36;61.1;65.17874285714285;1200.0;0.0;0.0;48.47214383398818;223.16209898142404;22.0
0.53;61.1;65.34097142857142;1200.0;960.0;240.0;56.714258709309384;311.9689673066389;22.0
0.7;61.1;65.5032;1200.0;960.0;240.0;59.587838594436406;371.6857647654615;22.0
0.86;61.1;65.66348571428571;1200.0;960.0;240.0;60.58113652742193;420.1714811472366;22.0
1.03;61.1;65.82571428571428;1200.0;960.0;240.0;60.90740987360244;460.1530034076124;22.0
1.2;61.1;65.98794285714285;1200.0;960.0;240.0;61.039365137083756;501.24568981352434;22.0
1.36;61.1;66.1492;1200.0;960.0;240.0;61.09681157466939;540.3791505323121;22.0
1.53;60.9;66.31142857142858;1200.0;960.0;240.0;61.101452474185734;577.9476053486003;22.0
1.7;60.9;66.47462857142857;1200.0;960.0;240.0;60.98637480654669;612.4320619697252;22.0
1.86;60.9;66.63685714285714;1200.0;960.0;240.0;60.95178999052273;642.8254134694322;22.0
2.03;60.9;66.79908571428571;1200.0;960.0;240.0;60.94101899288403;675.3582692077688;22.0
2.2;60.9;66.96034285714286;1200.0;960.0;240.0;60.9406104201471;707.2608405771836;22.0
2.36;60.9;67.12257142857143;1200.0;960.0;240.0;60.94369284218999;737.5941015942085;22.0
2.53;60.9;67.2848;1200.0;960.0;240.0;60.94786595891113;766.9455457300792;22.0
2.7;60.9;67.44605714285714;1200.0;960.0;240.0;60.965587750081944;794.7446740824686;22.0
2.86;61.0;67.60828571428571;1200.0;960.0;240.0;61.0044992031922;822.0736563022499;22.0
3.03;61.0;67.77051428571428;1200.0;960.0;240.0;61.042806262157626;848.1981035738182;22.0
3.2;61.0;67.9308;1200.0;960.0;240.0;61.0587970778638;873.5081546477512;22.0
3.36;61.1;68.09302857142858;1200.0;960.0;240.0;61.078817663344026;895.6187689375188;22.0
3.53;61.2;68.25525714285715;1200.0;960.0;240.0;61.1410868285237;918.9191198755211;22.0
3.7;61.2;68.41651428571429;1200.0;960.0;240.0;61.22689992454357;941.5821341596942;22.0
3.86;61.3;68.57874285714286;1200.0;960.0;240.0;61.30964826980708;963.3674027045818;22.0
4.03;61.3;68.74097142857143;1200.0;960.0;240.0;61.36861850165659;984.0840280024446;22.0
4.2;61.4;68.90417142857143;1200.0;960.0;240.0;61.434085878003295;1004.5099570872566;22.0
4.36;61.4;69.06542857142857;1200.0;960.0;240.0;61.471227136259046;1023.7805484089329;22.0
4.53;61.5;69.22765714285714;1200.0;960.0;240.0;61.53767791969328;1042.1371573398214;22.0
4.7;61.6;69.38988571428571;1200.0;960.0;240.0;61.61741419209468;1060.4829620155633;22.0
4.86;61.6;69.55114285714285;1500.0;960.0;240.0;61.67073590686824;1083.2349981190725;22.0
5.03;61.7;69.71337142857143;1500.0;960.0;240.0;61.74122052071861;1110.794158087723;22.0
5.2;61.8;69.8756;1500.0;1200.0;300.0;61.83882822629133;1140.9516447296755;22.0
5.36;61.9;70.03588571428571;1500.0;1200.0;300.0;61.886568468728136;1168.8734032915386;22.0
5.53;62.0;70.19908571428572;1500.0;1200.0;300.0;61.97207936588792;1196.5595325858355;22.0
5.7;62.0;70.35937142857142;1500.0;1200.0;300.0;62.069702151056944;1223.0838091839114;22.0
5.86;62.1;70.5216;1500.0;1200.0;300.0;62.159184786422244;1248.6981916952157;22.0
6.03;62.2;70.68382857142858;1500.0;1200.0;300.0;62.26562182072636;1272.9869268766272;22.0
6.2;62.3;70.84605714285715;1500.0;1200.0;300.0;62.35073230724446;1296.3865312445178;22.0
6.36;62.5;71.00731428571429;1500.0;1200.0;300.0;62.46094346743689;1317.0795402745327;22.0
6.53;62.5;71.16954285714286;1500.0;1200.0;300.0;62.57802313224291;1339.2013621300152;22.0
6.7;62.7;71.33177142857143;1500.0;1200.0;300.0;62.67546569810737;1360.2570972988242;22.0
6.86;62.8;71.494;1500.0;1200.0;300.0;62.78674063489434;1380.5702328033412;22.0
7.03;62.9;71.65525714285714;1500.0;1200.0;300.0;62.94117978859719;1400.4286145595418;22.0
7.2;62.9;71.81748571428571;1500.0;1200.0;300.0;63.013619838204214;1419.223464652487;22.0
7.36;63.1;71.97874285714286;1500.0;1200.0;300.0;63.10526466677895;1435.2478026958725;22.0
7.53;63.2;72.14097142857143;1500.0;1200.0;300.0;63.20377469371642;1452.5252150168972;22.0
7.7;63.3;72.3032;1500.0;1200.0;300.0;63.3017533379;1469.330819791186;22.0
7.86;63.3;72.46542857142857;1500.0;1200.0;300.0;63.40227247236997;1485.4102958469273;22.0
8.03;63.5;72.62765714285715;1500.0;1200.0;300.0;63.53953017064449;1501.1428930521213;22.0
8.2;63.6;72.78988571428572;1500.0;1200.0;300.0;63.642552706836184;1516.0166049026654;22.0
8.36;63.7;72.95114285714286;1500.0;1200.0;300.0;63.75076462014817;1530.1054356312761;22.0
8.53;63.8;73.11434285714286;1500.0;1200.0;300.0;63.88610053598721;1544.027120804669;22.0
8.7;64.0;73.27462857142856;1500.0;1200.0;300.0;64.00383840487213;1557.3286828521864;22.0
8.86;64.1;73.43685714285715;1500.0;1200.0;300.0;64.1083685485194;1568.8492987281907;22.0
9.03;64.2;73.5990857142857;1500.0;1200.0;300.0;64.2180458301449;1581.228073443806;22.0
