Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;NaN;NaN
0.18;NaN;NaN
0.26;22.2;0.0
0.35;22.2;1500.0
0.43;22.2;1500.0
0.51;22.1;1500.0
0.6;22.1;1500.0
0.68;22.1;1500.0
0.76;22.1;1500.0
0.85;22.1;1500.0
0.93;22.2;1500.0
1.01;22.2;1500.0
1.1;22.2;1500.0
1.18;22.3;1500.0
1.26;22.3;1500.0
1.35;22.3;1500.0
1.43;22.3;1500.0
1.51;22.3;1500.0
1.6;22.3;1500.0
1.68;22.4;1500.0
1.76;22.5;1500.0
1.85;22.5;1500.0
1.93;22.5;1500.0
2.01;22.5;1500.0
2.1;22.5;1500.0
2.18;22.5;1500.0
2.26;22.5;1500.0
2.35;22.5;1500.0
2.43;22.8;1500.0
2.51;22.9;1500.0
2.6;22.9;1500.0
2.68;22.9;1500.0
2.77;22.9;1500.0
2.85;22.9;1500.0
2.93;22.9;1500.0
3.02;22.9;1500.0
3.1;23.2;1500.0
3.18;23.3;1500.0
3.27;23.3;1500.0
3.35;23.3;1500.0
3.43;23.3;1500.0
3.52;23.3;1500.0
3.6;23.3;1500.0
3.68;23.3;1500.0
3.77;23.7;1500.0
3.85;23.8;1500.0
3.93;23.8;1500.0
4.02;23.8;1500.0
4.1;23.8;1500.0
4.18;23.8;1500.0
4.27;23.8;1500.0
4.35;23.8;1500.0
4.43;24.2;1500.0
4.52;24.3;1500.0
4.6;24.4;1500.0
4.68;24.4;1500.0
4.77;24.4;1500.0
4.85;24.4;1500.0
4.93;24.4;1500.0
5.02;24.4;1500.0
5.1;24.9;1500.0
5.18;25.0;1500.0
5.27;25.1;1500.0
5.35;25.1;1500.0
5.43;25.1;1500.0
5.52;25.1;1500.0
5.6;25.1;1500.0
5.68;25.1;1500.0
5.77;25.6;1500.0
5.85;25.7;1500.0
5.93;25.8;1500.0
6.02;25.9;1500.0
6.1;25.9;1500.0
6.18;25.9;1500.0
6.27;25.9;1500.0
6.35;25.9;1500.0
6.43;25.9;1500.0
6.52;26.5;1500.0
6.6;26.6;1500.0
6.68;26.7;1500.0
6.77;26.7;1500.0
6.85;26.7;1500.0
6.93;26.7;1500.0
7.02;26.7;1500.0
7.1;26.7;1500.0
7.18;27.3;1500.0
7.27;27.4;1500.0
7.35;27.5;1500.0
7.43;27.5;1500.0
7.52;27.5;1500.0
7.6;27.5;1500.0
7.68;27.5;1500.0
7.77;27.5;1500.0
7.85;28.1;1500.0
7.93;28.2;1500.0
8.02;28.3;1500.0
8.1;28.5;1500.0
8.18;28.5;1500.0
8.27;28.5;1500.0
8.35;28.5;1500.0
8.43;28.5;1500.0
8.52;29.0;1500.0
8.6;29.1;1500.0
8.68;29.2;1500.0
8.77;29.3;1500.0
8.85;29.3;1500.0
8.93;29.3;1500.0
9.02;29.3;1500.0
9.1;29.3;1500.0
9.18;29.3;1500.0
9.27;30.0;1500.0
9.35;30.2;1500.0
9.43;30.2;1500.0
9.52;30.2;1500.0
9.6;30.2;1500.0
9.68;30.2;1500.0
9.77;30.2;1500.0
9.85;30.2;1500.0
9.93;30.2;1500.0
10.02;30.9;1500.0
10.1;31.1;1500.0
10.18;31.1;1500.0
10.27;31.1;1500.0
10.35;31.1;1500.0
10.43;31.1;1500.0
10.52;31.1;1500.0
10.6;31.1;1500.0
10.68;31.1;1500.0
10.77;32.1;1500.0
10.85;32.3;1500.0
10.93;32.3;1500.0
11.02;32.3;1500.0
11.1;32.3;1500.0
11.18;32.3;1500.0
11.27;32.3;1500.0
11.35;32.9;1500.0
11.43;33.0;229.99999999999966
11.52;33.2;172.30769230769113
11.6;33.2;172.30769230769113
11.68;33.2;172.30769230769113
11.77;33.2;172.30769230769113
11.85;33.2;172.30769230769113
