Time[min];Temperature[°C];Power[W]
0.01;0.0;0.0
0.18;97.6;375.3846153846325
0.35;97.3;821.9230769230896
0.51;97.0;1268.4615384615472
0.68;96.8;1566.153846153859
0.85;96.6;1863.8461538461709
1.01;96.3;2000.0
1.18;96.3;2000.0
1.35;96.5;2000.0
1.51;96.6;1863.8461538461709
1.68;96.7;1715.0000000000043
1.85;96.8;1566.153846153859
2.01;96.9;1417.3076923076924
2.18;96.7;1715.0000000000043
2.35;96.8;1566.153846153859
2.51;96.5;1863.8461538461709
2.68;96.4;2000.0
2.85;96.3;2000.0
3.01;96.3;2000.0
3.18;96.5;2000.0
3.35;96.6;1863.8461538461709
3.51;96.8;1566.153846153859
3.68;96.8;1566.153846153859
3.85;96.7;1715.0000000000043
4.01;96.7;1715.0000000000043
4.18;96.5;2000.0
4.35;96.3;2000.0
4.52;96.3;2000.0
4.68;96.5;2000.0
4.85;96.6;1863.8461538461709
5.02;96.8;1566.153846153859
5.18;96.9;1417.3076923076924
5.35;96.9;1268.4615384615472
5.52;96.7;1715.0000000000043
5.68;96.6;1863.8461538461709
5.85;96.5;2000.0
6.02;96.3;2000.0
6.18;96.5;2000.0
6.35;96.7;1715.0000000000043
6.52;96.8;1566.153846153859
6.68;96.8;1566.153846153859
6.85;96.7;1715.0000000000043
7.02;96.8;1566.153846153859
7.18;96.6;1863.8461538461709
7.35;96.5;2000.0
