Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;10.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.2;10.0;25.0;2000.0;0.0;0.0;12.9847484412148;28.281512927610716;22.0
0.36;10.0;25.0;2000.0;0.0;2000.0;11.044111081677139;113.10478588643271;22.0
0.53;10.2;25.0;2000.0;0.0;2000.0;10.431465681241034;202.225083418812;22.0
0.7;10.3;25.0;2000.0;0.0;2000.0;10.353688286702853;289.9900759525088;22.0
0.86;10.5;25.0;2000.0;0.0;2000.0;10.413344778023392;366.71298451271554;22.0
