Time[min];Temperature[°C];Power[W]
0.01;0.0;0.0
0.18;18.6;1500.0
0.35;18.5;1500.0
0.51;18.5;1500.0
0.68;18.5;1500.0
0.85;18.6;1500.0
1.01;18.6;1500.0
1.18;18.7;1500.0
1.35;18.8;1500.0
1.51;18.9;1500.0
1.68;19.0;1500.0
1.85;19.2;1500.0
2.01;19.3;1500.0
2.18;19.5;1500.0
2.35;19.7;1500.0
2.51;19.9;1500.0
2.68;20.0;1500.0
2.85;20.2;1500.0
3.01;20.4;1500.0
3.18;20.7;1500.0
3.35;20.9;1500.0
3.51;21.1;1500.0
3.68;21.3;1500.0
3.85;21.6;1500.0
4.01;21.7;1500.0
4.18;22.0;1500.0
4.35;22.3;1500.0
4.51;22.5;1500.0
4.68;22.7;1500.0
4.85;23.0;1500.0
5.01;23.2;1500.0
5.18;23.5;1500.0
5.35;23.7;1500.0
5.51;24.0;1500.0
5.68;24.2;1500.0
5.85;24.4;1500.0
6.01;24.7;1500.0
6.18;24.9;1500.0
6.35;25.2;1500.0
6.51;25.5;1500.0
6.68;25.7;1500.0
6.85;26.0;1500.0
7.01;26.2;1500.0
7.18;26.5;1500.0
7.35;26.6;1500.0
7.51;26.9;1500.0
7.68;27.1;1500.0
7.85;27.4;1500.0
8.01;27.6;1500.0
8.18;27.9;1500.0
8.35;28.1;1500.0
8.51;28.4;1500.0
8.68;28.7;1500.0
8.85;28.9;1500.0
9.01;29.1;1500.0
9.18;29.4;1500.0
9.35;29.6;1500.0
9.51;29.8;1500.0
9.68;30.1;1500.0
9.85;30.3;1500.0
10.01;30.6;1500.0
10.18;30.9;1500.0
10.35;31.1;1500.0
10.51;31.4;1500.0
10.68;31.6;1500.0
10.85;31.8;1500.0
11.01;32.0;1500.0
11.18;32.3;1500.0
11.35;32.5;1500.0
11.51;32.8;1500.0
11.68;33.0;664.9999999999997
11.85;33.3;0.0
12.01;33.6;0.0
12.18;33.8;0.0
12.35;34.0;0.0
12.51;34.2;0.0
12.68;34.3;0.0
12.85;34.5;0.0
13.02;34.7;0.0
13.18;34.8;0.0
13.35;34.9;0.0
13.52;35.0;0.0
13.68;35.1;0.0
13.85;35.2;0.0
14.02;35.3;0.0
14.18;35.4;692.6923076923074
14.35;35.5;693.8461538461536
14.52;35.5;693.8461538461536
14.68;35.6;694.9999999999998
14.85;35.6;694.9999999999998
15.02;35.8;697.3076923076919
15.18;35.8;697.3076923076919
15.35;35.9;698.4615384615381
15.52;36.0;1464.6153846153843
15.68;36.1;1315.7692307692284
15.85;36.2;1166.9230769230724
16.02;36.3;1018.076923076927
16.18;36.4;869.2307692307711
16.35;36.5;720.384615384615
16.52;36.7;422.69230769230313
16.68;36.8;273.84615384615773
16.85;36.9;125.00000000000179
17.02;37.0;0.0
17.18;37.0;0.0
17.35;37.2;0.0
17.52;37.2;0.0
17.68;37.3;0.0
17.85;37.4;0.0
18.02;37.4;0.0
18.18;37.5;0.0
18.35;37.5;0.0
18.52;37.6;0.0
18.68;37.6;0.0
18.85;37.6;0.0
19.02;37.7;0.0
