Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;NaN;NaN
0.18;NaN;NaN
0.27;NaN;NaN
0.35;NaN;NaN
0.43;24.4;1500.0
0.52;24.4;1500.0
0.6;24.4;1500.0
0.68;24.4;1500.0
0.77;24.4;1500.0
0.85;24.4;1500.0
0.93;24.4;1500.0
1.02;24.4;1500.0
1.1;24.6;1500.0
1.18;24.6;1500.0
1.27;24.7;1500.0
1.35;24.7;1500.0
1.43;24.7;1500.0
1.52;24.7;1500.0
1.6;24.7;1500.0
1.68;24.7;1500.0
1.77;24.7;1500.0
1.85;24.9;1500.0
1.94;24.9;1500.0
2.02;24.9;1500.0
2.1;24.9;1500.0
2.19;24.9;1500.0
2.27;24.9;1500.0
2.35;24.9;1500.0
2.44;24.9;1500.0
2.52;25.3;1500.0
2.6;25.3;1500.0
2.69;25.3;1500.0
2.77;25.3;1500.0
2.85;25.3;1500.0
2.94;25.3;1500.0
3.02;25.3;1500.0
3.1;25.3;1500.0
3.19;25.3;1500.0
3.27;25.3;1500.0
3.35;25.8;1500.0
3.44;25.8;1500.0
3.52;25.8;1500.0
3.6;25.8;1500.0
3.69;25.8;1500.0
3.77;25.8;1500.0
3.86;25.8;1500.0
3.94;26.2;1500.0
4.02;26.3;1500.0
4.11;26.4;1500.0
4.19;26.4;1500.0
4.27;26.4;1500.0
4.36;26.4;1500.0
4.44;26.4;1500.0
4.52;26.4;1500.0
4.61;26.4;1500.0
4.69;26.4;1500.0
4.77;26.9;1500.0
4.86;27.0;1500.0
4.94;27.1;1500.0
5.02;27.1;1500.0
5.11;27.1;1500.0
5.19;27.1;1500.0
5.27;27.1;1500.0
5.36;27.4;1500.0
5.44;27.5;1500.0
5.53;27.6;1500.0
5.61;27.8;1500.0
5.69;27.8;1500.0
5.78;27.8;1500.0
5.86;27.8;1500.0
5.94;27.8;1500.0
6.03;27.8;1500.0
6.11;27.8;1500.0
6.19;28.4;1500.0
6.28;28.5;1500.0
6.36;28.5;1500.0
6.44;28.5;1500.0
6.53;28.5;1500.0
6.61;28.5;1500.0
6.69;28.5;1500.0
6.78;28.5;1500.0
6.86;29.2;1500.0
6.94;29.2;1500.0
7.03;29.3;1500.0
7.11;29.4;1500.0
7.2;29.4;1500.0
7.28;29.4;1500.0
7.36;29.4;1500.0
7.45;29.4;1500.0
7.53;29.4;1500.0
7.61;29.4;1500.0
7.7;30.1;1500.0
7.78;30.2;1500.0
7.86;30.3;1500.0
7.95;30.3;1500.0
8.03;30.3;1500.0
8.11;30.3;1500.0
8.2;30.3;1500.0
8.28;30.3;1500.0
8.36;30.9;1500.0
8.45;31.0;1500.0
8.53;31.1;1500.0
8.61;31.1;1500.0
8.7;31.1;1500.0
8.78;31.1;1500.0
8.87;31.1;1500.0
8.95;31.1;1500.0
9.03;31.1;1500.0
9.12;31.1;1500.0
9.2;32.0;1500.0
9.28;32.1;1500.0
9.37;32.1;1500.0
9.45;32.1;1500.0
9.53;32.1;1500.0
9.62;32.1;1500.0
9.7;32.1;1500.0
9.78;32.8;1500.0
9.87;32.9;1500.0
9.95;33.0;664.9999999999997
10.03;33.1;666.1538461538458
10.12;33.1;666.1538461538458
10.2;33.1;666.1538461538458
10.28;33.1;666.1538461538458
10.37;33.1;666.1538461538458
10.45;33.1;666.1538461538458
10.54;33.1;666.1538461538458
10.62;34.0;676.5384615384612
10.7;34.1;677.6923076923074
10.79;34.1;677.6923076923074
10.87;34.1;677.6923076923074
10.95;34.1;677.6923076923074
11.04;34.1;677.6923076923074
11.12;34.1;677.6923076923074
11.2;34.1;677.6923076923074
11.29;34.9;686.9230769230766
11.37;35.0;688.0769230769228
11.45;35.1;689.2307692307689
11.54;35.1;689.2307692307689
11.62;35.1;689.2307692307689
11.7;35.1;689.2307692307689
11.79;35.1;689.2307692307689
11.87;35.1;689.2307692307689
11.95;35.1;689.2307692307689
12.04;35.1;689.2307692307689
12.12;36.0;264.6153846153843
12.2;36.1;264.6153846153843
12.29;36.1;264.6153846153843
12.37;36.1;264.6153846153843
12.46;36.1;264.6153846153843
12.54;36.1;264.6153846153843
12.62;36.1;264.6153846153843
12.71;36.7;62.69230769230654
12.79;36.8;33.84615384615432
12.87;36.8;33.84615384615432
12.96;36.9;5.000000000000085
13.04;36.9;5.000000000000085
13.12;36.9;5.000000000000085
13.21;36.9;5.000000000000085
13.29;36.9;5.000000000000085
13.37;36.9;5.000000000000085
13.46;37.3;0.0
13.54;37.4;0.0
13.62;37.4;0.0
13.71;37.4;0.0
13.79;37.4;0.0
13.87;37.4;0.0
13.96;37.4;0.0
14.04;37.4;0.0
14.13;37.4;0.0
14.21;37.1;0.0
14.29;37.2;0.0
14.38;37.2;0.0
14.46;37.2;0.0
14.54;37.2;0.0
14.63;37.2;0.0
14.71;37.2;0.0
14.79;37.2;0.0
14.88;37.2;0.0
14.96;37.9;0.0
15.04;37.9;0.0
15.13;38.0;0.0
15.21;38.0;0.0
15.29;38.0;0.0
15.38;38.0;0.0
15.46;38.0;0.0
15.54;38.0;0.0
15.63;38.0;0.0
15.71;38.4;0.0
15.8;38.5;0.0
15.88;38.5;0.0
15.96;38.5;0.0
16.05;38.5;0.0
16.13;38.5;0.0
16.21;38.5;0.0
16.3;38.5;0.0
16.38;38.7;0.0
16.46;38.7;0.0
16.55;38.8;0.0
16.63;38.8;0.0
16.71;38.8;0.0
16.8;38.8;0.0
16.88;38.8;0.0
16.96;38.8;0.0
17.05;38.8;0.0
17.13;38.8;0.0
17.21;39.0;0.0
17.3;39.0;0.0
17.38;39.0;0.0
17.47;39.0;0.0
17.55;39.0;0.0
17.63;39.0;0.0
17.72;39.0;0.0
17.8;39.1;0.0
17.88;39.2;0.0
17.97;39.2;0.0
18.05;39.2;0.0
18.13;39.2;0.0
18.22;39.2;0.0
18.3;39.2;0.0
18.38;39.2;0.0
18.47;39.2;0.0
18.55;39.2;0.0
18.63;39.3;0.0
18.72;39.4;0.0
18.8;39.4;0.0
18.88;39.4;0.0
18.97;39.4;0.0
19.05;39.4;0.0
19.14;39.4;0.0
19.22;39.4;0.0
19.3;39.4;0.0
19.39;39.4;0.0
19.47;39.4;0.0
19.55;39.4;0.0
19.64;39.4;0.0
19.72;39.4;0.0
19.8;39.4;0.0
19.89;39.4;0.0
19.97;39.4;0.0
20.05;39.6;0.0
20.14;39.6;0.0
20.22;39.6;0.0
20.3;39.6;0.0
20.39;39.6;0.0
20.47;39.6;0.0
20.55;39.6;0.0
20.64;39.6;0.0
20.72;39.7;0.0
20.81;39.7;0.0
20.89;39.6;0.0
20.97;39.7;0.0
21.06;39.7;0.0
21.14;39.7;0.0
21.22;39.7;0.0
21.31;39.7;0.0
21.39;39.7;0.0
21.47;39.7;0.0
21.56;39.7;0.0
21.64;39.8;0.0
21.72;39.8;0.0
21.81;39.8;0.0
21.89;39.8;0.0
21.97;39.8;0.0
22.06;39.8;0.0
22.14;39.8;0.0
22.22;39.8;743.4615384615381
22.31;39.9;744.6153846153843
22.39;39.9;744.6153846153843
22.48;39.9;744.6153846153843
22.56;39.9;744.6153846153843
22.64;39.9;744.6153846153843
22.73;39.9;744.6153846153843
22.81;39.9;744.6153846153843
22.89;40.2;748.0769230769229
22.98;40.2;748.0769230769229
23.06;40.2;748.0769230769229
23.14;40.2;748.0769230769229
23.23;40.2;748.0769230769229
23.31;40.2;748.0769230769229
23.39;40.2;748.0769230769229
23.48;40.2;748.0769230769229
23.56;40.2;748.0769230769229
23.64;40.2;748.0769230769229
23.73;40.5;751.5384615384612
23.81;40.5;751.5384615384612
23.89;40.5;751.5384615384612
23.98;40.5;751.5384615384612
24.06;40.5;751.5384615384612
24.15;40.5;751.5384615384612
24.23;40.5;751.5384615384612
24.31;40.5;751.5384615384612
24.4;40.7;753.8461538461536
