Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;16.8;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.36;16.7;25.0;2000.0;0.0;0.0;15.02175;0.10800000000000004;22.0
0.53;16.8;25.0;2000.0;0.0;2000.0;16.20516553556608;104.11372513594841;22.0
0.69;17.2;25.0;2000.0;0.0;2000.0;16.749255313325087;198.7703215306522;22.0
0.86;17.6;25.0;2000.0;0.0;2000.0;17.16201160899624;280.4577616606088;22.0
1.03;18.0;25.0;2000.0;0.0;2000.0;17.582401733099296;368.69156202194176;22.0
1.19;18.3;25.0;2000.0;0.0;2000.0;17.982112282880372;452.4335861989866;22.0
1.36;18.7;25.0;2000.0;0.0;2000.0;18.391738700579182;532.996466316317;22.0
1.53;19.1;25.0;2000.0;0.0;2000.0;18.78032944039258;609.4789538150437;22.0
1.69;19.4;25.0;2000.0;0.0;2000.0;19.127217149045;676.5585262914411;22.0
1.86;19.8;25.0;2000.0;0.0;2000.0;19.512823372014612;749.1674993463637;22.0
2.03;20.2;25.0;2000.0;0.0;2000.0;19.88947662670316;817.3493051178207;22.0
2.19;20.6;25.0;1994.0;0.0;2000.0;20.274057110910007;882.9713354371672;22.0
2.36;20.9;25.0;1974.0;0.0;2000.0;20.662273118281707;945.9301350734388;22.0
2.53;21.3;25.0;1950.0;69.2;1904.8000000000002;21.053536601442147;1005.2113503642737;22.0
2.69;21.7;25.0;1910.0;69.2;1904.8000000000002;21.41144065882585;1061.1117279337325;22.0
2.86;22.0;25.0;1297.0;268.00000000000364;1641.9999999999964;21.80701891671271;1102.1007709327232;22.0
3.03;22.3;25.0;901.0;268.00000000000364;1641.9999999999964;22.064184946401387;1115.0823360712968;22.0
3.19;22.4;25.0;389.0;709.6;177.4;22.450311067671706;1109.6850338902675;22.0
3.36;22.4;25.0;483.0;709.6;177.4;22.502958386943195;1085.7145935791195;22.0
3.53;22.4;25.0;638.0;380.8;95.19999999999999;22.542931861994525;1069.3131867169407;22.0
3.69;22.4;25.0;782.0;380.8;95.19999999999999;22.559165259964228;1060.1961432217108;22.0
3.86;22.4;25.0;914.0;616.8000000000002;154.20000000000005;22.564335658183968;1057.8859697456282;22.0
4.03;22.5;25.0;1035.0;616.8000000000002;154.20000000000005;22.566204304004877;1061.785222486805;22.0
4.19;22.5;25.0;1035.0;816.0000000000001;204.00000000000003;22.632942884879377;1069.8623855126398;22.0
4.36;22.5;25.0;1121.0;816.0000000000001;204.00000000000003;22.656875846391543;1078.3667493426933;22.0
4.53;22.6;25.0;1143.0;884.0000000000001;221.0;22.724500838584515;1090.604056895323;22.0
4.69;22.6;25.0;1203.0;884.0000000000001;221.0;22.75614864790166;1103.1073075064844;22.0
4.86;22.7;25.0;1217.0;962.4000000000001;240.6;22.82505518461411;1116.2626232703583;22.0
5.03;22.8;25.0;1242.0;962.4000000000001;240.6;22.88107537782378;1129.6750707600022;22.0
5.19;22.8;25.0;1250.0;979.1999999999999;244.79999999999998;22.94507835298832;1143.7087035496531;22.0
5.36;22.9;25.0084;1292.0;979.1999999999999;244.79999999999998;22.98712548214154;1158.4699844730706;22.0
5.53;23.0;25.1086;1270.0;1019.2;254.80000000000004;23.065974486124205;1174.3684772647866;22.0
5.69;23.0;25.2088;1257.0;1019.2;254.80000000000004;23.14428754028973;1188.1292562687615;22.0
5.86;23.1;25.3084;1258.0;990.4;247.6;23.214244415969027;1201.5530992396195;22.0
6.03;23.1;25.4086;1192.0;990.4;247.6;23.261296494021657;1213.2575034646443;22.0
6.19;23.3;25.5088;1241.0;1038.3999999999999;259.6;23.358095738618346;1227.304404529733;22.0
6.36;23.3;25.6084;1144.0;1038.3999999999999;259.6;23.44656993905938;1238.2744168231998;22.0
6.53;23.5;25.7086;1164.0;986.4;246.60000000000002;23.54520311146149;1248.2737577546225;22.0
6.69;23.5;25.8088;1094.0;986.4;246.60000000000002;23.643862780635754;1255.8407638410827;22.0
6.86;23.7;25.909;1117.0;944.0;236.0;23.75515434420698;1262.9017398220826;22.0
7.03;23.7;26.0092;1051.0;944.0;236.0;23.84807787590185;1267.4880428772494;22.0
7.19;23.9;26.1082;1063.0;914.4000000000001;228.6;23.95939179463102;1272.0022279854875;22.0
7.36;24.0;26.2084;1049.0;914.4000000000001;228.6;24.07364862122082;1274.815097486563;22.0
7.53;24.2;26.3086;1030.0;849.6;212.4;24.182280185031313;1276.255910967675;22.0
7.69;24.2;26.4088;953.0;849.6;212.4;24.319909383012437;1276.1522871731154;22.0
7.86;24.4;26.5084;985.0;811.2;202.8;24.42271330395837;1274.5846508942968;22.0
8.03;24.4;26.6086;942.0;811.2;202.8;24.537254215295874;1272.6797651382992;22.0
8.19;24.6;26.7088;935.0;817.6;204.4;24.675525675226577;1270.9899907831868;22.0
8.36;24.7;26.809;924.0;817.6;204.4;24.78899361575201;1267.5430953371945;22.0
8.53;24.8;26.9086;952.0;727.2;181.8;24.87821142529091;1264.1887592651597;22.0
8.69;24.9;27.0088;945.0;727.2;181.8;24.996681815118624;1262.385314483097;22.0
8.86;25.1;27.109;899.0;745.6;186.4;25.152437158827997;1260.080025087526;22.0
9.03;25.2;27.2086;895.0;745.6;186.4;25.254575777732043;1254.8179806255325;22.0
9.19;25.3;27.3088;847.0;694.4000000000001;173.60000000000002;25.397434945454656;1250.1460093314618;22.0
9.36;25.5;27.409;876.0;694.4000000000001;173.60000000000002;25.499736654989505;1243.8458605914132;22.0
9.53;25.6;27.5092;799.0;678.4000000000001;169.60000000000002;25.673923364122373;1237.6958817935244;22.0
9.69;25.7;27.608800000000002;851.0;678.4000000000001;169.60000000000002;25.74901292748758;1229.188639036997;22.0
9.86;25.8;27.709;831.0;660.0000000000001;164.99999999999997;25.892897668032614;1223.7817595128606;22.0
10.03;25.9;27.8092;889.0;660.0000000000001;164.99999999999997;25.981578179988254;1217.6711024693686;22.0
10.19;26.1;27.9088;858.0;690.4000000000001;172.60000000000002;26.10611217417671;1213.706913819517;22.0
10.36;26.1;28.009;882.0;690.4000000000001;172.60000000000002;26.208327314807157;1209.1412669360818;22.0
10.53;26.2;28.1092;901.0;694.4000000000001;173.60000000000002;26.325329804592542;1205.8000006605;22.0
10.69;26.4;28.2094;910.0;694.4000000000001;173.60000000000002;26.414087289419882;1202.8058316606764;22.0
10.86;26.6;28.309;798.0;706.4000000000001;176.60000000000002;26.594396670553202;1199.5326342097403;22.0
11.03;26.6;28.4086;771.0;706.4000000000001;176.60000000000002;26.71675514661278;1190.4862563090805;22.0
11.19;26.7;28.5088;821.0;598.4;149.60000000000002;26.815411320066254;1182.3046593171603;22.0
11.36;26.9;28.609;879.0;598.4;149.60000000000002;26.90372351889714;1177.4413393150262;22.0
11.53;27.0;28.7092;853.0;680.8000000000001;170.20000000000002;27.036422523309152;1173.6625730154597;22.0
11.69;27.1;28.8088;810.0;680.8000000000001;170.20000000000002;27.168441896064884;1169.0200700683104;22.0
11.86;27.2;28.909;849.0;628.8000000000001;157.20000000000005;27.265273783000147;1163.3140726628071;22.0
12.03;27.3;29.0092;823.0;628.8000000000001;157.20000000000005;27.389478796320166;1159.0430090259702;22.0
12.19;27.4;29.1094;825.0;638.4000000000001;159.60000000000002;27.50277057339863;1153.7630204360669;22.0
12.36;27.6;29.209600000000002;909.0;638.4000000000001;159.60000000000002;27.5842211893598;1149.9587592149755;22.0
12.53;27.6;29.3092;874.0;695.2;173.8;27.699459560860856;1148.059548145248;22.0
12.69;27.8;29.409399999999998;908.0;695.2;173.8;27.792738582546004;1145.259719921379;22.0
12.86;27.9;29.5096;892.0;693.6;173.4;27.90951451646753;1143.16533400998;22.0
