Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;NaN;841.5384615384612
0.18;NaN;603.3076923076922
0.26;48.8;603.3076923076922
0.35;48.8;603.3076923076922
0.43;48.8;603.3076923076922
0.51;48.9;603.9615384615381
0.6;48.9;603.9615384615381
0.68;48.9;603.9615384615381
0.76;48.9;603.3076923076922
0.85;48.9;603.3076923076922
0.93;48.9;603.3076923076922
1.01;48.8;603.3076923076922
1.1;48.8;603.3076923076922
1.18;48.8;603.3076923076922
1.26;48.8;603.3076923076922
1.35;48.8;603.3076923076922
1.43;48.8;603.3076923076922
1.51;48.8;603.3076923076922
1.6;48.8;603.3076923076922
1.68;48.8;603.3076923076922
1.76;48.8;603.3076923076922
1.85;48.8;603.3076923076922
1.93;48.8;603.3076923076922
2.01;48.8;603.3076923076922
2.1;48.8;603.9615384615381
2.18;48.8;603.9615384615381
2.26;48.8;603.9615384615381
2.35;48.9;603.9615384615381
2.43;49.0;604.6153846153843
2.51;49.0;604.6153846153843
2.6;49.0;604.6153846153843
2.68;49.0;604.6153846153843
