Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.02;17.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;24.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.36;24.5;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.52;24.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.69;24.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.86;24.7;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.02;24.7;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.19;24.8;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.36;25.9;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.52;26.1;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.69;26.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.86;26.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
2.02;26.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
2.19;26.1;25.0;0.0;0.0;0.0;15.0;0.0;22.0
2.36;26.7;25.0;0.0;0.0;0.0;15.0;0.0;22.0
2.52;26.8;25.0;0.0;0.0;0.0;15.0;0.0;22.0
2.69;26.8;25.0;0.0;0.0;0.0;15.0;0.0;22.0
2.86;26.8;25.0;0.0;0.0;0.0;15.0;0.0;22.0
3.02;26.8;25.0;0.0;0.0;0.0;15.0;0.0;22.0
3.19;26.8;25.0;2000.0;0.0;0.0;19.99826246919535;73.24581802449883;22.0
3.36;26.8;25.0;1843.0;0.0;0.0;24.531398840681014;188.7303106237324;22.0
3.52;26.8;25.0;0.0;464.4000000000035;1378.5999999999965;25.97680896965577;206.87328971821984;22.0
3.69;26.9;25.0;0.0;464.4000000000035;1378.5999999999965;26.593361697971293;201.71301976181138;22.0
3.86;27.1;25.0;0.0;0.0;0.0;26.862574488920604;195.2431843231091;22.0
4.02;27.3;25.0;0.0;0.0;0.0;27.05998246535301;189.3688149103808;22.0
4.19;27.3;25.0;0.0;0.0;0.0;27.229248292119212;182.80609066221402;22.0
4.36;27.4;25.0;0.0;0.0;0.0;27.339756062184282;176.21520709138014;22.0
4.52;27.4;25.0;0.0;0.0;0.0;27.388809996039317;170.2459288695196;22.0
4.69;27.4;25.0;0.0;0.0;0.0;27.407519373511146;163.66134534524105;22.0
4.86;27.4;25.0;0.0;0.0;0.0;27.41299634794813;157.34471317255947;22.0
5.02;27.4;25.0;0.0;0.0;0.0;27.404554349515394;151.79751978515088;22.0
5.19;27.4;25.0;0.0;0.0;0.0;27.410759884328897;145.98140384865178;22.0
5.36;27.4;25.0;0.0;0.0;0.0;27.412264466952877;140.3036097749694;22.0
5.52;27.4;25.0;0.0;0.0;0.0;27.39543605894427;135.3161306246184;22.0
5.69;27.4;25.0;0.0;0.0;0.0;27.40598691051302;130.16128994630895;22.0
5.81;27.4;25.0;0.0;0.0;0.0;27.408636698926067;126.46246108173251;22.0
5.98;27.4;25.0;0.0;0.0;0.0;27.392153473368893;121.46206232943726;22.0
6.15;27.4;25.0;0.0;0.0;0.0;27.40286963579557;117.27512563240734;22.0
6.31;27.4;25.0;0.0;0.0;0.0;27.401963836441052;112.71360546793262;22.0
6.48;27.4;25.0;0.0;0.0;0.0;27.405870469318472;108.40402952342461;22.0
6.65;27.3;25.0;0.0;0.0;0.0;27.39508088373109;104.59641772647994;22.0
6.82;27.4;25.0;0.0;0.0;0.0;27.387362305966114;100.5214782984903;22.0
6.98;27.4;25.0;0.0;0.0;0.0;27.378032987547947;96.66596523508615;22.0
7.15;27.4;25.0;0.0;0.0;0.0;27.396138278075323;93.04898897898718;22.0
7.32;27.4;25.0;0.0;0.0;0.0;27.375597108707275;89.71142583491938;22.0
7.48;27.4;25.0;0.0;0.0;0.0;27.375024713364002;86.23352079401897;22.0
7.65;27.3;25.0;0.0;0.0;0.0;27.381017843135243;82.96224707496422;22.0
7.82;27.4;25.0;0.0;0.0;0.0;27.35788852891075;79.67600153575164;22.0
7.98;27.4;25.0;0.0;0.0;0.0;27.363830978334025;76.93868934942857;22.0
8.15;27.4;25.0336;0.0;0.0;0.0;27.355449352221562;73.92205376296499;22.0
8.32;27.4;25.1326;0.0;0.0;0.0;27.339591929572734;71.02147168040855;22.0
8.48;27.4;25.2334;0.0;0.0;0.0;27.362744123948026;68.70496385817458;22.0
8.65;27.4;25.333;0.0;0.0;0.0;27.38793039493998;66.2385631284091;22.0
8.82;27.4;25.4332;0.0;0.0;0.0;27.391241410397654;63.73136612323457;22.0
8.98;27.4;25.5328;0.0;0.0;0.0;27.377854474381987;61.23749082967264;22.0
9.15;27.4;25.6336;0.0;0.0;0.0;27.372355867083197;59.06829929669458;22.0
9.32;27.4;25.7338;0.0;0.0;0.0;27.383121405232625;56.84961075870107;22.0
9.48;27.3;25.8334;0.0;0.0;0.0;27.357573469982857;54.57635819679866;22.0
9.65;27.3;25.933;3.0;0.0;0.0;27.32789700438585;52.370714648630965;22.0
9.82;27.3;26.0332;12.0;3.2;0.8;27.320348855719896;50.76584976622043;22.0
9.98;27.4;26.134;19.0;3.2;0.8;27.346702943405617;49.661712259838524;22.0
10.15;27.4;26.233;13.0;0.0;0.0;27.34501732947289;48.95779457641853;22.0
10.32;27.4;26.3338;16.0;0.0;0.0;27.379906255746377;48.69756293054536;22.0
10.48;27.4;26.4328;21.0;0.0;0.0;27.36481845632555;48.51655989336619;22.0
10.65;27.3;26.5336;25.0;0.0;0.0;27.3868321624651;49.11511784846383;22.0
10.82;27.3;26.6338;38.0;86.39999999999999;21.6;27.390048025081615;50.00525360137434;22.0
10.98;27.4;26.7334;222.0;86.39999999999999;21.6;27.382170957046604;53.04911546828516;22.0
11.15;27.4;26.8336;448.0;263.2;65.8;27.375597398813575;66.5798475964451;22.0
11.32;27.4;26.9332;586.0;263.2;65.8;27.393420384771886;88.40178321585735;22.0
11.48;27.4;27.034;716.0;509.6;127.40000000000002;27.401451520639142;112.87765494527832;22.0
11.65;27.4;27.133;827.0;509.6;127.40000000000002;27.40769852258207;144.85132608316812;22.0
11.82;27.5;27.233800000000002;920.0;694.4000000000001;173.60000000000002;27.43282800262332;181.3293128900875;22.0
11.98;27.5;27.3328;923.0;694.4000000000001;173.60000000000002;27.43847389813696;217.7607202087252;22.0
12.15;27.5;27.433;1001.0;769.6;192.39999999999998;27.446216110990743;251.83201593296695;22.0
12.32;27.5;27.5338;991.0;769.6;192.39999999999998;27.50041547272012;291.5442448540122;22.0
12.48;27.6;27.634;978.0;783.2;195.8;27.559476067856536;328.41849504321914;22.0
12.65;27.6;27.7336;878.0;783.2;195.8;27.612740086623745;357.42723222697765;22.0
12.82;27.8;27.8344;820.0;719.2;179.8;27.689248656311303;386.2936282755026;22.0
12.98;27.8;27.9334;689.0;719.2;179.8;27.79402059310554;409.1194778204184;22.0
