Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.02;17.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;0.0;25.0;2000.0;0.0;0.0;11.808267080812337;3.5833574915846826;22.0
0.36;0.0;25.0;2000.0;0.0;0.0;4.442669076819372;54.93227017195851;22.0
0.52;0.0;25.0;2000.0;0.0;2000.0;1.498656577801547;137.00065096327793;22.0
0.69;0.0;25.0;2000.0;0.0;2000.0;0.5647185697694913;221.43345947046973;22.0
0.86;21.5;25.0;2000.0;0.0;2000.0;10.946699032901059;360.5169754609793;22.0
1.02;22.0;25.0;2000.0;0.0;2000.0;17.732942704630826;467.83985011226065;22.0
1.19;22.2;25.0;2000.0;0.0;2000.0;20.672762006493393;560.6503540995611;22.0
1.36;22.0;25.0;1943.0;0.0;2000.0;21.63536673864954;639.3551992468837;22.0
1.52;21.9;25.0;1911.0;164.40000000000182;1778.5999999999983;21.88348528815877;709.1790826248695;22.0
