Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;0.0;15.0;0.0;22.0
0.19;17.010337269845458;1500.0;16.07423480720874;63.221097350344444;22.0
0.36;17.03591428001469;1500.0;16.71181964995858;144.58508824284186;22.0
0.53;17.073977375120982;1500.0;16.961446921525262;221.3868593584315;22.0
0.7;17.12381750568945;1500.0;17.0836630538568;294.61820742045524;22.0
0.86;17.184738368261115;1500.0;17.169218381791662;364.0479685252675;22.0
1.03;17.25562390780865;1500.0;17.250779405712642;431.215208109467;22.0
1.2;17.337338353569976;1500.0;17.33619829374298;496.214219378835;22.0
1.36;17.429033978061774;1500.0;17.419049197516966;552.2085938708884;22.0
1.53;17.530295388089954;1500.0;17.52023225889291;612.6418777848776;22.0
1.7;17.63907962070327;1500.0;17.633179999740438;671.1488244197722;22.0
1.86;17.757966357200914;1500.0;17.753075016444896;727.1098220291268;22.0
2.03;17.885376007630892;1500.0;17.880488119855784;780.9606949473622;22.0
2.2;18.020832002858135;1500.0;18.016399644933855;832.4898004790326;22.0
2.36;18.16471872351345;1500.0;18.16501033946929;882.822999608607;22.0
2.53;18.31434022446029;1500.0;18.299543259610953;925.0578904538525;22.0
2.7;18.4719106029668;1500.0;18.4575575082341;970.5726668372093;22.0
2.86;18.636177439250737;1500.0;18.623798250141274;1014.233164371258;22.0
3.03;18.805628749796295;1500.0;18.797730081393752;1055.5759694132603;22.0
3.2;18.982235091307697;1500.0;18.97366265378268;1094.7275474653952;22.0
3.36;19.163499385977797;1488.0;19.156925616666452;1131.1327235207807;22.0
3.53;19.350315324566136;1272.0;19.34733947093961;1155.4073706498277;22.0
3.7;19.539713039346648;1065.0;19.520700482023205;1167.2630559883225;22.0
3.86;19.728924951914298;891.0;19.71443727937941;1171.21024243463;22.0
4.03;19.91887679961941;746.0;19.906713006111474;1167.2378997354542;22.0
4.2;20.106205151816656;621.0;20.097095941512578;1156.8368405132207;22.0
4.36;20.292238285531422;517.0;20.284366247644535;1141.1670012030916;22.0
4.53;20.475144173551996;429.0;20.47212522469617;1121.0610184308198;22.0
4.7;20.6544300795913;352.0;20.654252680844234;1098.180276934904;22.0
4.86;20.829529043379797;294.0;20.81595036337983;1074.8198247477844;22.0
5.03;21.0002316990252;239.0;20.990086462358743;1047.5606447538903;22.0
5.2;21.16620028444397;194.0;21.15933114069658;1018.6859850333927;22.0
5.36;21.325280075177275;158.0;21.319981550664554;989.0531010989738;22.0
5.53;21.48142298678191;126.0;21.479115699475933;958.9366169829183;22.0
5.7;21.632575684168344;99.0;21.63239198754636;928.6396150454015;22.0
5.86;21.777744633847803;78.0;21.765814272693788;900.9616027980233;22.0
6.03;21.9194827208628;62.0;21.906655121577643;870.5769940459946;22.0
6.2;22.05474411883302;44.0;22.047061304794713;840.5673520221989;22.0
6.36;22.18588767386429;31.0;22.179813024377882;811.0817365422615;22.0
6.53;22.31286837128478;21.0;22.307159601831493;781.9483408641399;22.0
6.7;22.432884758951577;13.0;22.430844462603716;753.1212758605925;22.0
6.86;22.549807933069058;5.0;22.549509952201984;725.4948049100592;22.0
7.03;22.662179221359334;2.0;22.65137487536593;701.2364995040145;22.0
7.2;22.770743258486153;0.0;22.76035995768436;674.8729391009941;22.0
7.36;22.873752424985284;0.0;22.86416272350655;649.6328211594881;22.0
7.53;22.973326246493134;0.0;22.965329557257267;625.1990515078777;22.0
7.7;23.06903362636735;0.0;23.06422701258053;601.5533776972385;22.0
7.86;23.160358202105506;0.0;23.15693593791777;578.9251775974785;22.0
8.03;23.248040182876682;0.0;23.246014483051653;557.0197923736242;22.0
8.2;23.332835525486395;0.0;23.32460964528861;538.1467010844801;22.0
8.36;23.414210380432294;0.0;23.407207871836068;517.9055254626977;22.0
8.53;23.492303766316088;0.0;23.484727999950415;498.7639413026294;22.0
8.7;23.567232771070866;0.0;23.560481989530278;479.89108415211666;22.0
8.86;23.638830654700982;0.0;23.635347580964638;461.85031341455374;22.0
9.03;23.707923259461214;0.0;23.70495593242594;444.58002064330003;22.0
9.2;23.774187938134258;0.0;23.7713254111284;427.95356409345624;22.0
