Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;55.0;0.0;15.0;0.0;22.0
0.2;55.3;55.0;1500.0;41.40716285081883;189.71604966406986;22.0
0.36;55.3;55.0;1500.0;50.52690212198883;269.99958941331226;22.0
0.53;55.3;55.0;1500.0;53.6585790505967;332.22659805906096;22.0
0.7;55.3;55.0;867.0;54.725556996481714;395.5793824861083;22.0
0.86;55.3;55.0;0.0;55.108368957773955;413.1621510587708;22.0
1.03;55.3;55.0;0.0;55.23674060803482;399.21711941259144;22.0
1.2;55.3;55.0;0.0;55.28006423735166;384.3993584348723;22.0
1.36;55.3;55.0;0.0;55.323830889551594;370.40661690440487;22.0
1.53;55.4;55.0;0.0;55.35945482259983;356.5789149614193;22.0
1.7;55.5;55.0;0.0;55.38321274828761;343.4589938087962;22.0
1.86;55.5;55.0;0.0;55.44175026940763;330.93425781686375;22.0
2.03;55.5;55.0;0.0;55.45332056266286;319.88301481078105;22.0
2.2;55.5;55.0;0.0;55.44929001057882;307.67131597004374;22.0
2.36;55.5;55.0;0.0;55.474695193800926;296.3490594638469;22.0
2.53;55.5;55.0;1.0;55.48230062695536;285.3718582284154;22.0
2.7;55.5;55.0;2.0;55.48380816342372;274.7554729401141;22.0
2.86;55.5;55.0;6.0;55.483243713987356;264.59600377058706;22.0
3.03;55.5;55.0;11.0;55.48202758416202;254.97519282000349;22.0
3.2;55.5;55.0;15.0;55.4806530773027;245.92764325853395;22.0
3.36;55.5;55.0;14.0;55.4793734336495;237.98664700492702;22.0
3.53;55.5;55.0;17.0;55.47801405056015;229.7268328782196;22.0
3.7;55.5;55.0;21.0;55.47667175044589;221.61633079641084;22.0
3.86;55.5;55.0;22.0;55.475428560250435;214.1445835040263;22.0
4.03;55.5;55.0;26.0;55.47423716831128;206.99554002206446;22.0
4.2;55.5;55.0;29.0;55.47310694584482;200.2418202172743;22.0
4.36;55.5;55.0;30.0;55.472041267875376;193.86007792660465;22.0
