Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;NaN;NaN
0.18;NaN;NaN
0.26;NaN;NaN
0.35;61.4;0.0
0.43;61.4;0.0
0.51;61.0;0.0
0.6;61.0;0.0
0.68;61.0;0.0
0.76;61.0;0.0
0.85;61.0;0.0
0.93;61.0;0.0
1.02;60.2;0.0
1.1;60.3;0.0
1.18;60.2;0.0
1.27;60.2;0.0
1.35;60.2;0.0
1.43;60.2;0.0
1.52;60.2;0.0
1.6;60.2;0.0
1.68;60.2;0.0
1.77;60.2;0.0
1.85;60.3;0.0
1.93;60.3;0.0
2.02;60.3;0.0
2.1;60.3;0.0
2.18;60.3;0.0
2.27;60.3;0.0
2.35;60.3;0.0
2.43;60.3;0.0
2.52;60.4;0.0
2.6;60.5;0.0
2.68;60.4;0.0
2.77;60.4;0.0
2.85;60.4;0.0
2.94;60.4;0.0
3.02;60.4;0.0
3.1;60.4;0.0
3.19;60.4;0.0
3.27;60.4;0.0
3.35;60.6;0.0
3.44;60.6;0.0
3.52;60.6;0.0
3.6;60.6;0.0
3.69;60.6;0.0
3.77;60.6;0.0
3.85;60.6;0.0
3.94;60.6;0.0
4.02;60.6;0.0
4.1;60.6;0.0
4.19;60.6;0.0
4.27;60.6;0.0
4.35;60.6;0.0
4.44;60.6;0.0
4.52;60.6;0.0
4.62;60.7;0.0
4.7;60.7;0.0
4.79;60.7;0.0
4.87;60.7;0.0
4.95;60.7;0.0
5.04;60.7;0.0
5.12;60.7;0.0
5.2;60.7;0.0
5.29;60.6;0.0
5.37;60.6;0.0
5.45;60.6;0.0
5.54;60.6;0.0
5.62;60.6;0.0
5.7;60.6;0.0
5.79;60.6;0.0
5.87;60.6;0.0
5.95;60.6;0.0
6.04;60.6;0.0
6.12;60.6;0.0
6.2;60.6;0.0
6.29;60.6;0.0
6.37;60.6;0.0
6.45;60.6;0.0
6.54;60.6;0.0
6.62;60.6;0.0
6.71;60.6;0.0
6.79;60.6;0.0
6.87;60.6;0.0
6.96;60.6;0.0
7.04;60.6;0.0
7.12;60.6;0.0
7.21;60.6;0.0
7.29;60.6;0.0
7.37;60.5;0.0
7.46;60.5;0.0
7.54;60.5;0.0
7.62;60.5;0.0
7.71;60.5;0.0
7.79;60.5;0.0
7.87;60.5;0.0
7.96;60.5;0.0
8.04;60.5;0.0
8.12;60.5;0.0
8.21;60.5;0.0
8.29;60.5;0.0
8.38;60.5;0.0
8.46;60.5;0.0
8.54;60.5;0.0
8.63;60.5;0.0
8.71;60.5;0.0
8.79;60.5;0.0
8.88;60.5;0.0
8.96;60.5;0.0
9.04;60.5;0.0
9.13;60.5;0.0
9.21;60.5;0.0
9.29;60.5;0.0
9.38;60.5;0.0
9.46;60.5;0.0
9.54;60.5;0.0
9.63;60.5;0.0
9.71;60.5;0.0
9.79;60.5;0.0
9.88;60.5;0.0
9.96;60.5;0.0
10.05;60.5;0.0
10.13;60.5;982.3076923076922
10.21;60.5;982.3076923076922
10.3;60.5;982.3076923076922
10.38;60.4;982.3076923076922
10.46;60.4;982.3076923076922
10.55;60.4;982.3076923076922
10.63;60.4;982.3076923076922
10.71;60.4;982.3076923076922
10.8;60.4;982.3076923076922
10.88;60.4;982.3076923076922
10.96;60.5;982.3076923076922
11.05;60.5;982.3076923076922
11.13;60.6;983.4615384615383
11.21;60.6;983.4615384615383
11.3;60.6;983.4615384615383
11.38;60.6;983.4615384615383
11.46;60.6;983.4615384615383
11.55;60.6;983.4615384615383
11.63;60.7;984.6153846153845
11.71;60.7;984.6153846153845
11.8;60.7;984.6153846153845
11.88;60.7;984.6153846153845
11.97;60.7;984.6153846153845
12.05;60.7;984.6153846153845
12.13;60.7;984.6153846153845
12.22;60.7;984.6153846153845
12.3;60.7;984.6153846153845
12.38;60.7;984.6153846153845
12.47;60.9;986.9230769230767
12.55;61.0;581.9230769230771
12.63;61.0;581.9230769230771
12.72;61.0;581.9230769230771
12.8;61.0;581.9230769230771
12.88;61.0;581.9230769230771
12.97;61.0;581.9230769230771
13.05;61.1;524.2307692307686
13.13;61.1;524.2307692307686
13.22;61.2;495.38461538461445
13.3;61.2;495.38461538461445
13.38;61.2;495.38461538461445
13.47;61.2;495.38461538461445
13.55;61.2;495.38461538461445
13.64;61.2;495.38461538461445
13.72;61.2;495.38461538461445
13.8;61.2;495.38461538461445
13.89;61.5;408.84615384615375
13.97;61.5;408.84615384615375
14.05;61.6;379.99999999999943
14.14;61.6;379.99999999999943
14.22;61.6;379.99999999999943
