Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;0.0;15.0;0.0;22.0
0.19;17.0;200.0;16.022446467882684;59.15792726570476;22.0
0.36;17.0;200.0;16.67947824382663;140.77148033309822;22.0
0.53;17.0;200.0;16.914202420986825;217.20566399662764;22.0
0.69;17.0;200.0;17.00253429445586;289.5838131953857;22.0
0.86;17.0;200.0;17.04068204746049;359.3776753470683;22.0
1.03;17.0;1500.0;17.061024933919423;426.812282030008;22.0
1.19;17.0;1500.0;17.074870908761916;491.6266334103134;22.0
