Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;NaN;NaN
0.18;NaN;NaN
0.26;NaN;NaN
0.35;NaN;NaN
0.43;62.2;0.0
0.51;62.2;0.0
0.6;62.2;0.0
0.68;62.2;0.0
0.76;62.2;0.0
0.85;62.2;0.0
0.93;62.2;0.0
1.01;62.2;0.0
1.1;62.1;0.0
1.18;62.1;0.0
1.27;62.1;0.0
1.35;62.1;0.0
1.43;62.1;0.0
1.52;62.1;0.0
1.6;62.1;0.0
1.68;62.1;0.0
1.77;62.0;0.0
1.85;62.0;0.0
1.93;62.0;0.0
2.02;62.0;0.0
2.1;62.0;0.0
2.18;62.0;0.0
2.27;62.0;0.0
2.35;62.0;0.0
2.43;62.0;0.0
2.52;62.0;0.0
2.6;61.9;0.0
2.68;61.8;0.0
2.77;61.8;0.0
2.85;61.8;0.0
2.94;61.8;0.0
3.02;61.8;0.0
3.1;61.8;0.0
3.19;61.8;0.0
3.27;61.7;351.15384615384517
3.35;61.7;351.15384615384517
3.44;61.7;351.15384615384517
3.52;61.7;351.15384615384517
3.6;61.7;351.15384615384517
3.69;61.7;351.15384615384517
3.77;61.7;351.15384615384517
3.85;61.7;351.15384615384517
3.94;61.7;351.15384615384517
4.02;61.6;379.99999999999943
4.1;61.7;379.99999999999943
4.19;61.7;379.99999999999943
4.27;61.7;379.99999999999943
4.35;61.7;379.99999999999943
4.44;61.7;379.99999999999943
4.52;61.7;379.99999999999943
4.6;61.7;379.99999999999943
4.69;61.7;351.15384615384517
4.77;61.7;351.15384615384517
4.86;61.7;351.15384615384517
4.94;61.7;351.15384615384517
5.02;61.7;351.15384615384517
5.11;61.7;351.15384615384517
5.19;61.7;351.15384615384517
5.27;61.7;351.15384615384517
5.36;61.7;351.15384615384517
5.44;61.7;351.15384615384517
5.52;61.8;351.15384615384517
5.61;61.7;351.15384615384517
5.69;61.7;351.15384615384517
5.77;61.7;351.15384615384517
5.86;61.7;351.15384615384517
5.94;61.7;351.15384615384517
6.02;61.7;351.15384615384517
6.11;61.7;351.15384615384517
6.19;61.8;322.30769230769295
6.27;61.7;351.15384615384517
6.36;61.7;351.15384615384517
6.44;61.7;351.15384615384517
6.53;61.7;351.15384615384517
6.61;61.7;351.15384615384517
6.69;61.7;351.15384615384517
6.78;61.7;351.15384615384517
6.86;61.7;351.15384615384517
6.94;61.8;322.30769230769295
7.03;61.8;322.30769230769295
7.11;61.8;322.30769230769295
7.19;61.8;322.30769230769295
7.28;61.8;322.30769230769295
7.36;61.8;322.30769230769295
7.44;61.8;322.30769230769295
7.53;61.8;322.30769230769295
7.61;61.8;322.30769230769295
7.69;61.8;322.30769230769295
7.78;61.8;322.30769230769295
7.86;61.8;322.30769230769295
7.94;61.8;322.30769230769295
8.03;61.8;322.30769230769295
8.11;61.8;322.30769230769295
8.2;61.8;322.30769230769295
8.28;61.8;322.30769230769295
8.36;61.8;322.30769230769295
8.45;61.8;322.30769230769295
8.53;61.8;322.30769230769295
8.61;61.8;322.30769230769295
8.7;61.8;322.30769230769295
8.78;61.8;322.30769230769295
8.86;61.8;322.30769230769295
8.95;61.8;322.30769230769295
9.03;61.8;322.30769230769295
9.11;61.8;322.30769230769295
9.2;61.8;322.30769230769295
9.28;61.8;322.30769230769295
9.36;61.8;322.30769230769295
9.45;61.8;322.30769230769295
9.53;61.8;322.30769230769295
9.61;61.8;322.30769230769295
9.7;61.8;322.30769230769295
9.78;61.8;322.30769230769295
9.87;61.8;322.30769230769295
9.95;61.8;322.30769230769295
10.03;61.8;322.30769230769295
10.12;61.8;322.30769230769295
10.2;61.8;322.30769230769295
10.28;61.8;322.30769230769295
10.37;61.8;322.30769230769295
10.45;61.8;322.30769230769295
10.53;61.8;322.30769230769295
10.62;61.9;293.4615384615387
10.7;61.8;293.4615384615387
10.78;61.8;293.4615384615387
10.87;61.8;293.4615384615387
10.95;61.8;293.4615384615387
11.03;61.8;293.4615384615387
11.12;61.8;293.4615384615387
11.2;61.9;293.4615384615387
11.28;61.9;293.4615384615387
11.37;61.9;293.4615384615387
11.45;61.9;293.4615384615387
11.54;61.9;293.4615384615387
11.62;61.9;293.4615384615387
11.7;61.9;293.4615384615387
11.79;61.9;293.4615384615387
11.87;61.9;293.4615384615387
11.95;61.9;293.4615384615387
12.04;61.9;293.4615384615387
12.12;61.9;293.4615384615387
12.2;61.9;293.4615384615387
12.29;61.9;293.4615384615387
12.37;61.9;293.4615384615387
12.45;61.9;293.4615384615387
12.54;61.9;293.4615384615387
12.62;61.9;293.4615384615387
12.7;61.9;293.4615384615387
12.79;61.9;293.4615384615387
12.87;61.9;293.4615384615387
12.95;61.9;293.4615384615387
13.04;61.9;293.4615384615387
13.12;61.9;293.4615384615387
13.2;61.9;293.4615384615387
13.29;61.9;293.4615384615387
13.37;61.9;293.4615384615387
13.46;61.9;293.4615384615387
13.54;61.9;293.4615384615387
13.62;61.9;293.4615384615387
13.71;61.9;293.4615384615387
13.79;61.9;293.4615384615387
13.87;61.9;293.4615384615387
13.96;61.9;293.4615384615387
14.04;61.9;293.4615384615387
14.12;61.9;293.4615384615387
14.21;61.8;293.4615384615387
14.29;61.9;293.4615384615387
14.37;61.8;322.30769230769295
14.46;61.8;322.30769230769295
14.54;61.8;322.30769230769295
14.62;61.8;322.30769230769295
14.71;61.8;322.30769230769295
14.79;61.8;322.30769230769295
14.87;61.8;322.30769230769295
14.96;61.9;293.4615384615387
15.04;61.9;293.4615384615387
15.13;61.9;293.4615384615387
15.21;61.9;293.4615384615387
15.29;61.9;293.4615384615387
15.38;61.9;293.4615384615387
15.46;61.9;293.4615384615387
15.54;61.9;293.4615384615387
15.63;61.9;293.4615384615387
15.71;61.9;293.4615384615387
15.79;61.9;293.4615384615387
15.88;61.9;293.4615384615387
15.96;61.9;293.4615384615387
16.04;61.9;293.4615384615387
16.13;61.9;293.4615384615387
16.21;61.9;293.4615384615387
16.29;61.9;293.4615384615387
16.38;61.9;322.30769230769295
16.46;61.8;322.30769230769295
16.54;61.8;322.30769230769295
16.63;61.8;322.30769230769295
16.71;61.8;322.30769230769295
16.79;61.8;322.30769230769295
16.88;61.8;322.30769230769295
16.96;61.8;322.30769230769295
17.05;61.9;293.4615384615387
17.13;61.9;293.4615384615387
17.21;61.9;293.4615384615387
17.3;61.9;293.4615384615387
17.38;61.9;293.4615384615387
17.46;61.9;293.4615384615387
17.55;61.9;293.4615384615387
17.63;61.9;293.4615384615387
17.71;61.9;998.4615384615383
17.8;61.8;997.3076923076922
17.88;61.8;998.4615384615383
17.96;61.8;997.3076923076922
18.05;61.8;997.3076923076922
18.13;61.8;997.3076923076922
18.21;61.8;997.3076923076922
18.3;61.8;997.3076923076922
18.38;61.8;997.3076923076922
18.46;61.8;997.3076923076922
18.55;61.8;997.3076923076922
18.63;61.8;997.3076923076922
18.72;61.8;997.3076923076922
18.8;61.8;997.3076923076922
18.88;61.8;997.3076923076922
18.97;61.8;997.3076923076922
19.05;61.8;997.3076923076922
19.13;61.8;997.3076923076922
19.22;61.8;997.3076923076922
19.3;61.8;997.3076923076922
19.38;61.8;997.3076923076922
19.47;61.8;997.3076923076922
19.55;61.8;997.3076923076922
19.63;61.8;997.3076923076922
19.72;61.8;997.3076923076922
19.8;61.8;997.3076923076922
19.88;61.8;997.3076923076922
19.97;61.9;998.4615384615383
20.05;61.9;998.4615384615383
20.13;61.9;998.4615384615383
20.22;61.9;998.4615384615383
20.3;61.9;998.4615384615383
20.38;61.9;998.4615384615383
20.47;61.9;998.4615384615383
20.55;61.9;998.4615384615383
20.64;62.0;999.6153846153845
20.72;62.0;999.6153846153845
20.8;62.0;999.6153846153845
20.89;62.0;999.6153846153845
20.97;62.0;999.6153846153845
21.05;62.0;999.6153846153845
21.14;62.0;999.6153846153845
