Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;10.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;10.0;25.0;2000.0;0.0;0.0;11.999730085046862;61.77941055320505;22.0
0.36;10.0;25.0;2000.0;0.0;0.0;10.71937197165055;147.4601011791733;22.0
0.53;10.4;25.0;2000.0;0.0;2000.0;10.416466111085501;235.71972604468417;22.0
0.69;10.7;25.0;2000.0;0.0;2000.0;10.521980670828142;315.06388451925574;22.0
0.86;11.0;25.0;2000.0;0.0;2000.0;10.78681654433673;399.6705340396304;22.0
1.03;11.4;25.0;2000.0;0.0;2000.0;11.103162513635706;480.8186653380729;22.0
1.19;11.7;25.0;2000.0;0.0;2000.0;11.439847753209088;560.3133329157816;22.0
1.36;12.0;25.0;2000.0;0.0;2000.0;11.77972312479184;635.0215862240258;22.0
1.53;12.3;25.0;2000.0;0.0;2000.0;12.125651409873896;708.1666019400355;22.0
1.69;12.7;25.0;2000.0;0.0;2000.0;12.466105829290715;778.0668847504518;22.0
1.86;13.0;25.0;2000.0;0.0;2000.0;12.776516094855701;839.0462317828169;22.0
2.03;13.3;25.0;2000.0;0.0;2000.0;13.120524325273365;903.5780622343358;22.0
2.19;13.6;25.0;2000.0;0.0;2000.0;13.464313001830213;966.0022867897435;22.0
2.36;14.0;25.0;2000.0;0.0;2000.0;13.802308803383163;1025.6653468107124;22.0
