Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;15.0;0.0;15.0;0.0;22.0
0.19;17.007601699947674;15.0;0.0;16.159414572670073;70.75500548903133;22.0
0.36;17.016526940748342;15.0;0.0;16.73565357286003;151.53104040553626;22.0
0.53;17.025436224734253;15.0;0.0;16.948291226784836;227.44694539347043;22.0
0.69;17.034329581004663;15.0;0.0;17.035470906253632;300.2731801805256;22.0
0.86;17.04320703803458;15.0;0.0;17.078032565314626;368.87151336123696;22.0
1.03;17.052015605585172;15.0;0.0;17.105937672458584;435.97937668067823;22.0
1.19;17.060861445274845;15.146;0.0;17.128390594903834;500.4844479762374;22.0
1.36;17.069638640275887;15.314;0.0;17.148393073019843;562.141352017514;22.0
1.53;17.078452972968098;15.481;0.0;17.165537685652343;615.8921479536145;22.0
1.69;17.08719890602879;15.647;0.0;17.18378077272418;672.8017289133078;22.0
1.86;17.095981845073926;15.813;0.0;17.201842757917376;728.5160872157063;22.0
2.03;17.104749082278754;15.98;0.0;17.21965048333379;781.7690178556427;22.0
2.19;17.113500645714478;16.146;0.0;17.237147928191703;833.5704014999019;22.0
2.36;17.122236563402147;16.313;0.0;17.25416588249101;883.0724332577902;22.0
2.53;17.130904689962367;16.48;0.0;17.27088608782339;930.3871653291075;22.0
2.69;17.13960949329045;16.646;0.0;17.28535101451603;970.8558040484544;22.0
2.86;17.148298734466614;16.813;0.0;17.30124594886721;1014.5371403317296;22.0
3.03;17.156972441312327;16.98;0.0;17.316759081783637;1056.1497330183504;22.0
3.19;17.165578839789607;17.147;0.0;17.33219898118506;1096.6619239549377;22.0
3.36;17.17427336304976;17.314;0.0;17.34741753172864;1134.957230163196;22.0
3.53;17.18290063333612;17.481;0.0;17.362368148971047;1172.0373131411434;22.0
3.69;17.191460955603908;17.648;0.0;17.37678698319448;1207.0686707424911;22.0
3.86;17.20005749849569;17.815;0.0;17.390838671470924;1240.3836480349994;22.0
4.03;17.208638672779873;17.981;0.0;17.404708387718202;1272.451929189105;22.0
4.19;17.21720450593193;18.148;0.0;17.418702552781895;1303.4742959351138;22.0
4.36;17.22570386782045;18.314;0.0;17.43095818091138;1330.158278652615;22.0
4.53;17.23423919239604;18.481;0.0;17.444083009448086;1358.175732647066;22.0
4.69;17.242708282456057;18.648;0.0;17.457053721100092;1385.1483297098484;22.0
4.86;17.251213207116333;18.814;0.0;17.469883439327436;1411.0770296258847;22.0
5.03;17.25970292696097;18.981;0.0;17.48263376732027;1435.692452290155;22.0
