Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.02;17.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;19.3;25.0;2000.0;0.0;0.0;16.799472345566212;57.390217731199826;22.0
0.36;19.3;25.0;2000.0;0.0;0.0;18.452544246662388;158.2023620377306;22.0
0.52;19.3;25.0;2000.0;0.0;2000.0;19.017400808349276;249.8463699892366;22.0
0.69;19.3;25.0;0.0;0.0;2000.0;19.19741480226307;321.60884617812036;22.0
