Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;10.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;10.0;25.0;2000.0;0.0;0.0;11.91418323273318;70.28913513283531;22.0
0.36;10.0;25.0;2000.0;0.0;0.0;10.681903270875555;156.9620217587826;22.0
0.53;10.1;25.0;2000.0;0.0;2000.0;10.310609205449952;236.20224283171518;22.0
0.69;10.1;25.0;2000.0;0.0;2000.0;10.215519666091609;322.0651282725485;22.0
0.86;10.2;25.0;2000.0;0.0;2000.0;10.244576671343598;405.72387963260485;22.0
1.03;10.3;25.0;2000.0;0.0;2000.0;10.295767624007508;485.7972680947241;22.0
