Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;NaN;NaN
0.18;NaN;NaN
0.26;NaN;NaN
0.35;99.0;0.0
0.43;99.0;0.0
0.51;98.9;0.0
0.6;98.9;0.0
0.68;98.9;0.0
0.76;98.9;0.0
0.85;98.9;0.0
0.93;98.9;0.0
1.01;98.9;0.0
1.1;98.1;1131.1538461538632
1.18;98.0;1280.0000000000086
1.26;98.0;1280.0000000000086
1.35;98.0;1280.0000000000086
1.43;98.0;1280.0000000000086
1.52;98.0;1280.0000000000086
1.6;98.0;1280.0000000000086
1.68;98.0;1280.0000000000086
1.77;97.4;2000.0
1.85;97.4;2000.0
1.93;97.4;2000.0
2.02;97.4;2000.0
2.1;97.4;2000.0
2.18;97.4;2000.0
2.27;97.4;2000.0
2.35;97.4;2000.0
2.43;97.4;2000.0
2.52;97.7;1726.538461538466
2.6;97.7;1726.538461538466
2.68;97.7;1726.538461538466
2.77;97.7;1726.538461538466
2.85;97.7;1726.538461538466
2.93;97.7;1726.538461538466
3.02;97.7;1726.538461538466
3.1;97.7;1726.538461538466
3.18;97.7;1726.538461538466
3.27;97.8;1577.6923076923204
3.35;97.7;1726.538461538466
3.43;97.7;1726.538461538466
3.52;97.7;1726.538461538466
3.6;97.7;1726.538461538466
3.69;97.7;1726.538461538466
3.77;97.7;1726.538461538466
3.85;97.4;2000.0
3.94;97.5;2000.0
4.02;97.6;1875.3846153846325
4.1;97.6;1875.3846153846325
4.19;97.6;1875.3846153846325
4.27;97.6;1875.3846153846325
4.35;97.6;1875.3846153846325
4.44;97.6;1875.3846153846325
4.52;97.6;1875.3846153846325
4.6;97.9;1428.846153846154
4.69;97.8;1577.6923076923204
4.77;97.7;1726.538461538466
4.85;97.7;1726.538461538466
4.94;97.7;1726.538461538466
5.02;97.7;1726.538461538466
5.1;97.7;1726.538461538466
5.19;97.7;1726.538461538466
5.27;97.7;1726.538461538466
5.35;97.5;2000.0
5.44;97.5;2000.0
5.52;97.5;2000.0
5.6;97.5;2000.0
5.69;97.5;2000.0
5.77;97.5;2000.0
5.85;97.5;2000.0
5.94;97.8;1577.6923076923204
6.02;97.8;1577.6923076923204
6.1;97.8;1577.6923076923204
6.19;97.9;1428.846153846154
6.27;97.9;1428.846153846154
6.35;97.9;1428.846153846154
6.44;97.9;1428.846153846154
6.52;97.9;1428.846153846154
6.61;97.9;1428.846153846154
6.69;97.9;1428.846153846154
6.77;97.6;1875.3846153846325
6.86;97.6;1875.3846153846325
6.94;97.6;1875.3846153846325
7.02;97.6;1875.3846153846325
7.11;97.6;1875.3846153846325
7.19;97.6;1875.3846153846325
7.27;97.6;1875.3846153846325
7.36;97.6;1875.3846153846325
7.44;97.6;1875.3846153846325
7.52;97.7;1875.3846153846325
7.61;97.7;1726.538461538466
7.69;97.7;1726.538461538466
7.77;97.7;1726.538461538466
7.86;97.7;1726.538461538466
7.94;97.7;1726.538461538466
8.02;97.7;1726.538461538466
8.11;97.9;1428.846153846154
8.19;97.9;1428.846153846154
8.27;97.9;1428.846153846154
8.36;97.8;1577.6923076923204
8.44;97.8;1577.6923076923204
8.52;97.8;1577.6923076923204
8.61;97.8;1577.6923076923204
8.69;97.8;1577.6923076923204
8.77;97.8;1577.6923076923204
8.86;97.4;2000.0
8.94;97.4;2000.0
9.03;97.5;2000.0
9.11;97.5;2000.0
9.19;97.5;2000.0
9.28;97.5;2000.0
9.36;97.5;2000.0
9.44;97.5;2000.0
9.53;97.5;2000.0
9.61;97.9;1428.846153846154
9.69;97.9;1428.846153846154
9.78;97.9;1428.846153846154
9.86;97.9;1428.846153846154
9.94;97.9;1428.846153846154
10.03;97.9;1428.846153846154
10.11;97.9;1428.846153846154
10.19;97.9;1428.846153846154
10.28;97.7;1726.538461538466
10.36;97.7;1726.538461538466
10.44;97.6;1875.3846153846325
10.53;97.6;1875.3846153846325
10.61;97.6;1875.3846153846325
10.69;97.6;1875.3846153846325
10.78;97.6;1875.3846153846325
10.86;97.6;1875.3846153846325
10.94;97.6;1875.3846153846325
11.03;97.6;1875.3846153846325
11.11;97.7;1726.538461538466
11.19;97.8;1577.6923076923204
11.28;97.8;1577.6923076923204
11.36;97.8;1577.6923076923204
11.45;97.8;1577.6923076923204
11.53;97.8;1577.6923076923204
11.61;97.8;1577.6923076923204
11.7;97.8;1577.6923076923204
11.78;98.0;1280.0000000000086
11.86;97.9;1428.846153846154
11.95;97.9;1428.846153846154
12.03;97.9;1428.846153846154
12.11;97.9;1428.846153846154
12.2;97.9;1428.846153846154
12.28;97.9;1428.846153846154
12.36;97.6;1875.3846153846325
12.45;97.6;1875.3846153846325
12.53;97.6;1875.3846153846325
12.61;97.6;1875.3846153846325
12.7;97.6;1875.3846153846325
12.78;97.6;1875.3846153846325
12.86;97.6;1875.3846153846325
12.95;97.6;1875.3846153846325
13.03;97.6;1875.3846153846325
13.11;97.6;1875.3846153846325
13.2;97.9;1428.846153846154
13.28;98.0;1280.0000000000086
13.36;98.0;1131.1538461538632
13.45;98.0;1131.1538461538632
13.53;98.0;1131.1538461538632
13.61;98.0;1131.1538461538632
13.7;98.0;1131.1538461538632
13.78;98.0;1131.1538461538632
13.87;97.7;1726.538461538466
13.95;97.7;1726.538461538466
14.03;97.6;1875.3846153846325
14.12;97.6;1875.3846153846325
14.2;97.6;1875.3846153846325
14.28;97.6;1875.3846153846325
14.37;97.6;1875.3846153846325
14.45;97.6;1875.3846153846325
14.53;97.7;1726.538461538466
14.62;97.7;1726.538461538466
14.7;97.8;1577.6923076923204
14.78;97.9;1428.846153846154
14.87;97.9;1428.846153846154
14.95;97.9;1428.846153846154
15.03;97.9;1428.846153846154
15.12;97.9;1428.846153846154
15.2;97.9;1428.846153846154
15.28;98.0;1280.0000000000086
15.37;97.9;1428.846153846154
15.45;97.8;1577.6923076923204
15.53;97.8;1577.6923076923204
15.62;97.8;1577.6923076923204
15.7;97.8;1577.6923076923204
15.78;97.8;1577.6923076923204
15.87;97.8;1577.6923076923204
15.95;97.8;1577.6923076923204
16.04;97.6;1875.3846153846325
16.12;97.6;1875.3846153846325
16.2;97.6;1875.3846153846325
16.29;97.6;1875.3846153846325
16.37;97.6;1875.3846153846325
16.45;97.6;1875.3846153846325
16.54;97.6;1875.3846153846325
16.62;97.6;1875.3846153846325
16.7;97.9;1428.846153846154
16.79;97.9;1428.846153846154
16.87;98.0;1280.0000000000086
16.95;98.0;1280.0000000000086
17.04;98.0;1280.0000000000086
17.12;98.0;1280.0000000000086
17.2;98.0;1280.0000000000086
17.29;98.0;1280.0000000000086
17.37;98.0;1280.0000000000086
17.45;97.9;1428.846153846154
17.54;97.9;1428.846153846154
17.62;97.8;1577.6923076923204
17.7;97.8;1577.6923076923204
17.79;97.8;1577.6923076923204
17.87;97.8;1577.6923076923204
17.95;97.8;1577.6923076923204
18.04;97.8;1577.6923076923204
18.12;97.8;1577.6923076923204
18.2;97.6;1875.3846153846325
18.29;97.7;1726.538461538466
18.37;97.7;1726.538461538466
18.46;97.7;1726.538461538466
18.54;97.7;1726.538461538466
18.62;97.7;1726.538461538466
18.71;97.7;1726.538461538466
18.79;97.7;1726.538461538466
18.87;97.9;1428.846153846154
18.96;98.0;1428.846153846154
19.04;98.0;1280.0000000000086
19.12;98.0;1280.0000000000086
19.21;98.0;1280.0000000000086
19.29;98.0;1280.0000000000086
19.37;98.0;1280.0000000000086
19.46;98.0;1280.0000000000086
19.54;98.0;1280.0000000000086
19.62;97.6;1875.3846153846325
19.71;97.6;1875.3846153846325
19.79;97.6;1875.3846153846325
19.87;97.6;1875.3846153846325
19.96;97.6;1875.3846153846325
20.04;97.6;1875.3846153846325
20.12;97.6;1875.3846153846325
20.21;97.6;1875.3846153846325
20.29;97.8;1577.6923076923204
20.38;97.9;1428.846153846154
