Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.2;19.5;25.0;2000.0;0.0;0.0;15.135375;0.6749999999999999;22.0
0.36;19.5;25.0;2000.0;0.0;2000.0;18.024213189371455;110.79993702298535;22.0
0.53;19.6;25.0;2000.0;0.0;2000.0;19.03683304785672;208.03423053785588;22.0
0.7;19.8;25.0;2000.0;0.0;2000.0;19.478221615545408;297.68786727193395;22.0
0.86;20.1;25.0;2000.0;0.0;2000.0;19.812057195791137;384.3554360213636;22.0
1.03;20.4;25.0;2000.0;0.0;2000.0;20.11545820234416;460.0103980552841;22.0
1.2;20.8;25.0;2000.0;0.0;2000.0;20.506222826360922;540.6621630908222;22.0
1.37;21.2;25.0;1989.0;0.0;2000.0;20.898089686099304;616.8672329904487;22.0
1.53;21.6;25.0;1954.0;31.199999999998905;1957.800000000001;21.310962462922145;690.8814659835424;22.0
1.7;22.0;25.0;1941.0;31.199999999998905;1957.800000000001;21.719207655676957;759.9989476723016;22.0
1.87;22.4;25.0;1558.0;251.20000000000326;1662.7999999999968;22.09593522419473;816.276318529969;22.0
2.03;22.8;25.0;911.0;251.20000000000326;1662.7999999999968;22.525984125109062;850.3287836780415;22.0
2.2;23.1;25.0;325.0;728.8000000000001;182.20000000000002;22.925744821278105;853.0065590506989;22.0
2.37;23.3;25.0;2.0;728.8000000000001;182.20000000000002;23.21177576934646;830.917878793575;22.0
2.53;23.5;25.0;0.0;1.6;0.4;23.447126927691393;799.8789712254603;22.0
2.7;23.5;25.0;0.0;1.6;0.4;23.561385914736846;769.9233532424124;22.0
2.87;23.5;25.0;0.0;0.0;0.0;23.59598581022947;743.2976927811254;22.0
3.03;23.5;25.0;0.0;0.0;0.0;23.606951831046178;714.8308664377416;22.0
3.2;23.5;25.0;115.0;0.0;0.0;23.607794835852065;687.3695398778561;22.0
3.37;23.5;25.0;339.0;0.0;0.0;23.605693262473334;669.3698569470445;22.0
3.53;23.5;25.0;517.0;271.20000000000005;67.8;23.603681536229658;661.8248729893596;22.0
3.7;23.5;25.0;662.0;271.20000000000005;67.8;23.602693117095498;662.4599019586864;22.0
3.87;23.6;25.0;625.0;521.6;130.4;23.635093309883075;667.8563984429072;22.0
4.03;23.6;25.0;494.0;521.6;130.4;23.673543616029317;670.769040974191;22.0
4.2;23.6;25.0;851.0;396.8;99.2;23.65136094776062;670.743340540424;22.0
4.37;23.6;25.0;979.0;396.8;99.2;23.68632540825361;685.1168249013264;22.0
4.53;23.7;25.0;1001.0;783.2;195.8;23.719282311662027;703.9531229363694;22.0
4.7;23.7;25.0;988.0;783.2;195.8;23.779619378014864;726.2555712633776;22.0
4.87;23.7;25.0;1060.0;858.4000000000001;214.6;23.80233477142551;749.0829369203447;22.0
5.03;23.8;25.0;1103.0;858.4000000000001;214.6;23.858108109705846;774.8275478163199;22.0
5.2;23.9;25.0126;1081.0;882.3999999999999;220.6;23.93862486717874;797.0034483337454;22.0
5.37;24.0;25.1134;1041.0;882.3999999999999;220.6;23.995613108599038;817.8754621376909;22.0
5.53;24.0;25.2136;1005.0;820.0;205.0;24.083046221647873;836.9408048865276;22.0
5.7;24.0;25.313200000000002;1053.0;820.0;205.0;24.114477665910158;854.7656052795803;22.0
5.87;24.1;25.4134;1078.0;829.6;207.39999999999998;24.185353749086712;874.7094031329339;22.0
6.03;24.2;25.513;1041.0;829.6;207.39999999999998;24.26546106016842;891.3633400211121;22.0
6.2;24.2;25.6138;1060.0;819.2;204.8;24.313756367732022;907.1814292038839;22.0
6.37;24.4;25.714;1061.0;819.2;204.8;24.398827311343158;923.9812620038676;22.0
6.53;24.5;25.8136;990.0;834.4;208.59999999999997;24.49453510420061;938.0931361558811;22.0
6.7;24.5;25.9132;1038.0;834.4;208.59999999999997;24.56453828831295;950.0228255267976;22.0
6.87;24.6;26.0134;974.0;804.8000000000002;201.2;24.66331896977397;961.369108820051;22.0
7.03;24.7;26.113599999999998;920.0;804.8000000000002;201.2;24.771903986597582;970.4254573416702;22.0
7.2;24.8;26.2138;917.0;713.6;178.4;24.8637642870631;977.3803047061954;22.0
7.37;24.9;26.314;883.0;713.6;178.4;24.97131381036035;982.8375130202998;22.0
7.53;25.1;26.4136;817.0;684.8000000000001;171.20000000000002;25.10674115030248;986.8988637952873;22.0
7.7;25.2;26.5138;811.0;684.8000000000001;171.20000000000002;25.211736768947056;987.1836751074493;22.0
7.87;25.3;26.6134;747.0;640.0;160.0;25.34125962307843;987.4588212991703;22.0
8.03;25.3;26.7142;822.0;640.0;160.0;25.409336217985757;985.5792048283777;22.0
8.2;25.5;26.8138;871.0;637.6;159.4;25.489263022483424;986.6636948432225;22.0
8.37;25.5;26.914;858.0;637.6;159.4;25.5951534166446;988.9074711310852;22.0
8.53;25.7;27.0148;873.0;665.6;166.4;25.690377065392344;991.1079061169595;22.0
8.7;25.8;27.1144;826.0;665.6;166.4;25.810306328719403;993.6307276764342;22.0
