Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.01;0.0;0.0;15.0;0.0;22.0
0.18;11.9;0.0;11.81007898525919;-15.514907090080346;22.0
0.34;11.9;0.0;11.875387616666238;-14.736997155218225;22.0
0.51;12.0;0.0;11.909231321719727;-14.094798788990008;22.0
0.68;12.0;0.0;11.944004789022221;-13.473353791660001;22.0
0.84;12.0;0.0;12.000266359074047;-12.768717654774294;22.0
1.01;12.0;0.0;12.010505562468879;-12.315081410795262;22.0
1.18;12.1;0.0;12.057535270620601;-11.69855260723331;22.0
1.34;12.1;0.0;12.08575776477614;-11.197808651881948;22.0
1.51;12.1;0.0;12.105580967963627;-10.758728508863957;22.0
1.68;12.1;0.0;12.112009990791632;-10.432783935224352;22.0
1.84;12.1;0.0;12.114647624685185;-10.105138320268713;22.0
2.01;12.2;0.0;12.115584084297438;-9.799999024768386;22.0
2.18;12.2;0.0;12.177726831179069;-9.206386545442584;22.0
2.34;12.2;0.0;12.202931929953134;-8.81653667817169;22.0
2.51;12.2;0.0;12.22666697475453;-8.45019154963759;22.0
2.68;12.2;0.0;12.225665420072064;-8.217482503294594;22.0
2.84;12.3;0.0;12.239065052079502;-7.943633805646498;22.0
3.01;12.3;4.0;12.28969189434709;-7.464692029315719;22.0
3.18;12.3;11.0;12.307087214349464;-6.9172245193670285;22.0
3.34;12.3;19.0;12.313122327150111;-6.093226785210464;22.0
3.51;12.3;27.0;12.315291283307845;-4.928897272280641;22.0
3.68;17.4;0.0;14.583470758455093;7.594296763439433;22.0
3.84;17.2;0.0;16.33372923996346;15.811556768095457;22.0
