Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;65.0;0.0;15.0;0.0;22.0
0.19;67.5;65.00194285714285;1700.0;15.63015;3.15;22.0
0.36;67.5;65.20982857142857;1700.0;55.682371536834886;297.26463505317827;22.0
0.53;67.4;65.37205714285714;1700.0;63.3613293465641;404.5595970732685;22.0
0.69;67.4;65.53428571428572;1700.0;66.01920856285851;483.98076441929237;22.0
0.86;67.4;65.69554285714285;1700.0;66.92803710154419;551.4223665028072;22.0
1.03;67.4;65.85777142857143;1700.0;67.24377105094322;612.6739732603019;22.0
1.19;67.6;66.02097142857143;1700.0;67.4466457292211;671.3927279035192;22.0
1.36;67.7;66.18222857142857;1700.0;67.55914424368525;721.9098614507699;22.0
1.53;67.8;66.34445714285714;1700.0;67.70798988126441;776.8226373590658;22.0
1.7;67.8;66.50668571428571;1700.0;67.80913422243253;828.7789323108524;22.0
1.86;68.0;66.66891428571428;1700.0;67.91971443057622;879.0900619917732;22.0
2.03;68.1;66.83017142857143;1700.0;68.06115039550016;927.9000148333303;22.0
2.2;68.3;66.9924;1700.0;68.15850836380942;973.8087810195811;22.0
2.36;68.3;67.15365714285714;1700.0;68.28097624433845;1018.3561874533581;22.0
2.53;68.5;67.31588571428571;1800.0;68.40869560500231;1069.6732408725507;22.0
2.7;68.5;67.47811428571428;1800.0;68.52824711316487;1115.5584977004496;22.0
2.86;68.7;67.63937142857142;1800.0;68.6232591050163;1155.0082846674172;22.0
3.03;68.8;67.8016;1800.0;68.74084227670023;1197.1212439394214;22.0
3.2;69.0;67.9648;1800.0;68.91766994348085;1237.931756676464;22.0
3.36;69.2;68.12605714285715;1800.0;69.08333607437251;1277.8162216372534;22.0
3.53;69.4;68.28731428571429;1800.0;69.30392878461923;1316.6505416285054;22.0
3.7;69.5;68.44954285714286;1800.0;69.48669957742317;1353.582912376442;22.0
3.86;69.8;68.61177142857143;1800.0;69.68239640809884;1389.15549538437;22.0
4.03;69.9;68.774;1800.0;69.87623080258486;1422.7695434726622;22.0
4.2;70.2;68.93525714285714;1800.0;70.08340982172147;1455.3613450505263;22.0
4.36;70.3;69.09748571428571;1800.0;70.2816737065231;1484.0080315541488;22.0
4.53;70.6;69.25874285714286;1800.0;70.4708938577578;1514.1793803400199;22.0
4.7;70.7;69.42194285714285;1800.0;70.67582837851674;1543.2746908124793;22.0
4.86;71.0;69.5832;1800.0;70.89392724458398;1571.801699231097;22.0
5.03;71.1;69.74445714285714;1800.0;71.08232468783737;1598.922273868898;22.0
5.2;71.4;69.90765714285715;1800.0;71.29065527945372;1624.6624475974495;22.0
5.36;71.5;70.06988571428572;1800.0;71.51092546460659;1649.9030739498319;22.0
5.53;71.7;70.23211428571429;1800.0;71.69832248838584;1671.3319012963698;22.0
5.7;71.9;70.3924;1800.0;71.89106828261212;1694.383389899331;22.0
5.86;72.1;70.5556;1800.0;72.09837742720244;1716.7520238969998;22.0
6.03;72.3;70.71685714285714;1800.0;72.28309494604102;1738.0322035050535;22.0
6.2;72.5;70.88005714285714;1800.0;72.47197842949811;1724.5839820629037;22.0
6.36;72.7;71.04034285714286;1800.0;72.66847029373817;1745.507520728327;22.0
6.53;72.9;71.20354285714285;1800.0;72.8593348902416;1765.7267151333692;22.0
6.7;73.1;71.36577142857143;1800.0;73.0716107697162;1785.1693741709412;22.0
6.86;73.4;71.52702857142857;1800.0;73.27540529720065;1804.0447176279422;22.0
7.03;73.5;71.68828571428571;1800.0;73.50465232360594;1822.220854832006;22.0
7.2;73.7;71.85148571428572;1800.0;73.70481948182173;1839.7556707674594;22.0
7.36;73.9;72.01274285714285;1800.0;73.88852328522704;1856.4435590404055;22.0
7.53;74.1;72.174;1800.0;74.07429521842027;1870.9189938192962;22.0
7.7;74.2;72.33622857142858;1800.0;74.26656964529299;1886.3692857077015;22.0
7.86;74.5;72.49845714285715;1800.0;74.47279656706624;1901.30219926757;22.0
8.03;74.7;72.65971428571429;1800.0;74.67943648600672;1915.6664362229646;22.0
8.2;74.9;72.82194285714286;1800.0;74.88271496898189;1929.3929160355333;22.0
8.36;75.0;72.98417142857143;1800.0;75.05750539941542;1942.6052214024521;22.0
8.53;75.3;73.1464;1800.0;75.24703395547857;1955.2477876188689;22.0
8.7;75.4;73.30862857142857;1800.0;75.41948280956326;1967.3911429166226;22.0
8.86;75.6;73.47182857142857;1800.0;75.60104059755963;1979.0550706486686;22.0
9.03;75.8;73.63308571428571;1800.0;75.81204336740446;1990.4835858133624;22.0
9.2;76.0;73.79628571428572;1800.0;76.0005209270114;2001.3687301176071;22.0
9.37;76.1;73.95754285714285;1800.0;76.18757067069643;2011.887436826269;22.0
9.53;76.4;74.11977142857143;1800.0;76.3699256831998;2021.8762572246064;22.0
9.7;76.6;74.282;1800.0;76.58903494894349;2031.7689382448846;22.0
9.87;76.8;74.44422857142857;1800.0;76.78807958799096;2041.0877025286347;22.0
10.03;76.9;74.60645714285714;1800.0;76.94446748208863;2049.0928959327885;22.0
10.2;77.1;74.76868571428571;1800.0;77.14270967917392;2057.7541787258224;22.0
10.37;77.3;74.92994285714286;1800.0;77.34949157346092;2066.3037829758723;22.0
10.53;77.5;75.0912;1800.0;77.54215149053853;2074.371159120786;22.0
10.7;77.6;75.25342857142857;1800.0;77.70131293885564;2081.9643675597536;22.0
10.87;77.9;75.41468571428571;1800.0;77.86898648117258;2089.311399716441;22.0
11.03;78.0;75.57788571428571;1800.0;78.05213062976368;2096.4501475245215;22.0
11.2;78.2;75.73914285714285;1800.0;78.24836473639867;2103.418977691939;22.0
11.37;78.3;75.74108571428572;0.0;78.25058554979886;2103.498754006536;22.0
11.53;78.6;75.77411428571429;1800.0;78.31437380129434;2102.9221880342106;22.0
11.7;78.6;75.93634285714286;1800.0;78.66373886063217;2110.3894664276227;22.0
11.87;78.7;76.0976;1800.0;78.81518548204478;2116.5402342213615;22.0
12.03;78.7;76.25885714285714;1800.0;78.8473079494903;2121.8688509257763;22.0
