Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.01;0.0;1700.0;15.0;0.0;22.0
0.18;18.1;1700.0;15.267597673399727;74.54495223334875;22.0
0.34;18.1;664.0;17.035880716067627;138.50650504506206;22.0
0.51;18.1;0.0;17.754964182982715;142.96290765631096;22.0
0.68;18.6;0.0;18.157293475212594;139.41576636342944;22.0
0.84;18.7;0.0;18.508276271161577;135.7468756120488;22.0
1.01;18.8;0.0;18.692867479891135;131.41150827654604;22.0
1.18;18.8;0.0;18.780477182674797;126.7666877198856;22.0
1.34;18.8;0.0;18.809999909953717;122.01626434607643;22.0
1.51;18.8;0.0;18.819089076885337;117.8095899892339;22.0
1.68;18.8;0.0;18.822307855234556;113.27003682382995;22.0
1.84;18.8;0.0;18.822945152795494;108.8965398378892;22.0
2.01;18.8;0.0;18.826569930111518;104.70484813176455;22.0
2.18;18.8;0.0;18.823530480621045;100.64217989914823;22.0
2.34;18.8;0.0;18.82207416927852;96.73953306610584;22.0
2.51;18.8;0.0;18.821178450255616;92.9935015732347;22.0
2.68;18.8;0.0;18.820489506294578;89.39189535817522;22.0
2.84;18.8;0.0;18.830043885729733;86.31833135253248;22.0
3.01;18.8;0.0;18.846886192200806;83.06021176290461;22.0
3.18;18.9;0.0;18.840390604823654;79.80834913737583;22.0
3.34;18.9;0.0;18.88751322946938;76.94860153373504;22.0
3.51;18.9;0.0;18.90720853947672;74.06345052782429;22.0
3.68;18.9;0.0;18.913657621718418;71.22436006151936;22.0
3.84;18.9;0.0;18.91557698777401;68.4696725014704;22.0
4.01;18.9;0.0;18.915947174958863;66.07824729367753;22.0
4.18;18.9;0.0;18.911943652206414;63.492777347822035;22.0
4.34;18.9;0.0;18.914200455139202;61.04105060968113;22.0
4.51;18.9;0.0;18.91472287983677;58.674990426205085;22.0
4.68;18.9;1.0;18.914660103492974;56.39343365551177;22.0
4.84;18.9;5.0;18.914412065714707;54.40232802203778;22.0
5.01;18.9;10.0;18.914142712874693;52.90104973408588;22.0
5.18;18.9;0.0;18.913935334750768;51.841761198016435;22.0
5.34;18.9;0.0;18.913763966629787;51.178651133464435;22.0
5.51;18.9;0.0;18.913662568237793;51.00025644737758;22.0
5.68;18.9;31.0;18.913637780544228;51.30493847535576;22.0
5.84;18.9;276.0;18.91379178543492;55.3489495214958;22.0
6.01;19.0;465.0;18.924949748652857;69.99702963168062;22.0
6.18;18.9;628.0;18.933648609685534;91.94276274611455;22.0
