Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.02;17.0;55.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;55.5;55.0;1500.0;0.0;0.0;41.61573479984453;191.1391806039376;22.0
0.36;55.5;55.0;1500.0;0.0;0.0;50.698912150036385;299.7507673198241;22.0
0.52;55.5;55.0;1500.0;1200.0;300.0;53.84059651827663;375.17314931417866;22.0
0.69;55.5;55.0;123.0;1200.0;300.0;54.94725607446871;430.14855200974523;22.0
0.86;55.6;55.0;0.0;98.4;24.6;55.36469512928581;424.23362013662745;22.0
1.02;55.6;55.0;0.0;98.4;24.6;55.523353456979095;409.02202600631557;22.0
1.19;55.7;55.0;0.0;0.0;0.0;55.637697238755756;394.26893149234326;22.0
1.36;55.7;55.0;0.0;0.0;0.0;55.694900076972964;381.18080057187865;22.0
1.52;55.8;55.0;0.0;0.0;0.0;55.75507481764924;367.1435696672957;22.0
1.69;55.8;55.0;0.0;0.0;0.0;55.78238835990508;353.5635088560567;22.0
1.86;55.9;55.0;0.0;0.0;0.0;55.8418829082085;340.73851217492563;22.0
2.02;55.9;55.0;0.0;0.0;0.0;55.87515009956556;328.12188333616666;22.0
2.19;55.9;55.0;0.0;0.0;0.0;55.88525206236253;315.8763416133758;22.0
2.36;56.0;55.0;0.0;0.0;0.0;55.90910382225816;304.3064489736822;22.0
2.52;56.0;55.0;0.0;0.0;0.0;55.923153761556456;292.9953702712206;22.0
2.69;56.0;55.0;0.0;0.0;0.0;55.96347114906199;282.37421926211454;22.0
2.86;56.0;55.0;0.0;0.0;0.0;55.976469087771505;271.8998551898379;22.0
3.02;56.0;55.0;0.0;0.0;0.0;55.97971447090652;262.7817436336305;22.0
3.19;56.1;55.0;0.0;0.0;0.0;56.00809936856197;253.0804205586859;22.0
3.36;56.1;55.0;0.0;0.0;0.0;56.049215336606785;243.9239775545875;22.0
3.52;56.1;55.0;0.0;0.0;0.0;56.06760869125526;234.90021629580534;22.0
3.69;56.2;55.0;0.0;0.0;0.0;56.087922045774256;226.28568844648217;22.0
3.86;56.2;55.0;0.0;0.0;0.0;56.13849699344379;218.1988221425315;22.0
4.02;56.2;55.0;0.0;0.0;0.0;56.16105806642302;210.28355034095816;22.0
4.19;56.2;55.0;0.0;0.0;0.0;56.168051061121254;202.5490811774883;22.0
4.36;56.2;55.0;0.0;0.0;0.0;56.169653273599124;195.1286132141543;22.0
4.52;56.2;55.0;0.0;0.0;0.0;56.169506402864464;188.651303092068;22.0
4.69;56.2;55.0;0.0;0.0;0.0;56.1687468218977;181.79004983307544;22.0
4.86;56.2;55.0;0.0;0.0;0.0;56.22066607386515;175.3327464261836;22.0
5.02;56.3;55.0;0.0;0.0;0.0;56.22833554095497;169.05545490971016;22.0
5.19;56.3;55.0;0.0;0.0;0.0;56.25252381383176;162.98857975522287;22.0
5.36;56.3;55.0;0.0;0.0;0.0;56.26013671264583;157.14281959028114;22.0
5.52;56.4;55.0;0.0;0.0;0.0;56.29830583341636;151.63645062414116;22.0
5.69;56.4;55.0;0.0;0.0;0.0;56.340056720688686;146.38918697482885;22.0
5.86;56.4;55.0;0.0;0.0;0.0;56.354107425127665;141.14374827452886;22.0
6.02;56.4;55.0;0.0;0.0;0.0;56.358381992928784;136.05190309977382;22.0
6.19;56.4;55.0;0.0;0.0;0.0;56.359327465402785;131.11063758483292;22.0
6.36;56.4;55.0;0.0;0.0;0.0;56.359191410973416;126.90481702170595;22.0
6.52;56.4;55.0;0.0;0.0;0.0;56.35867321002963;122.362701390217;22.0
6.69;56.4;55.0;0.0;0.0;0.0;56.35803268375686;117.99331854686207;22.0
6.86;56.4;55.0;0.0;0.0;0.0;56.36480473223175;113.85183145679595;22.0
7.02;56.5;55.0;0.0;0.0;0.0;56.35923816272673;109.73591592716657;22.0
7.19;56.4;55.0;0.0;0.0;0.0;56.375431822966966;105.93061877595919;22.0
7.36;56.5;55.0;0.0;0.0;0.0;56.39607949137627;102.29324425147931;22.0
7.52;56.5;55.0;0.0;0.0;0.0;56.423886053862375;98.85153292792641;22.0
7.69;56.5;55.0;0.0;0.0;0.0;56.44353452307622;95.47952727887304;22.0
7.86;56.5;55.0;0.0;0.0;0.0;56.44994262237136;92.19102627396852;22.0
8.02;56.5;55.0;3.0;0.0;0.0;56.45183381841298;89.06765653890291;22.0
8.19;56.5;55.0;6.0;2.4000000000000004;0.6000000000000001;56.452186465776;86.31073055810599;22.0
8.36;56.5;55.0;9.0;2.4000000000000004;0.6000000000000001;56.47249368161495;84.03240668880679;22.0
8.52;56.6;55.0;0.0;7.200000000000001;1.8;56.477737710422666;82.07735648553316;22.0
8.69;56.6;55.0;0.0;7.200000000000001;1.8;56.505250570895456;80.58969098676947;22.0
8.86;56.6;55.0;0.0;11.200000000000001;2.8000000000000003;56.53510517093892;79.32990022031572;22.0
9.02;56.6;55.0;0.0;11.200000000000001;2.8000000000000003;56.54542376003868;78.3006495251713;22.0
9.19;56.6;55.0;0.0;16.8;4.2;56.548869328295154;77.60989577422966;22.0
9.36;56.6;55.0;0.0;16.8;4.2;56.54998294032495;77.23757576436473;22.0
9.52;56.6;55.0;0.0;22.400000000000002;5.6000000000000005;56.55036173831807;77.27476439594422;22.0
9.69;56.6;55.0;126.0;22.400000000000002;5.6000000000000005;56.55051857532806;78.00485068323819;22.0
9.86;56.5;55.0;294.0;123.2;30.8;56.55095122382615;85.14112417731117;22.0
10.02;56.6;55.0;499.0;123.2;30.8;56.50945167140002;99.76718580070165;22.0
10.19;56.6;55.1078;556.0;399.2000000000001;99.80000000000001;56.53994073925268;122.17083284470316;22.0
10.36;56.6;55.224;637.0;399.2000000000001;99.80000000000001;56.552914229249026;146.86990748757614;22.0
10.52;56.7;55.3409;670.0;509.6;127.40000000000002;56.59159717558059;173.85557483091313;22.0
10.69;56.7;55.4578;747.0;509.6;127.40000000000002;56.64224322944353;201.8890642138159;22.0
10.86;56.7;55.574;802.0;552.0;137.99999999999997;56.66067997889279;226.79272142796287;22.0
11.02;56.7;55.6909;884.0;552.0;137.99999999999997;56.671119130206996;257.00738090823677;22.0
11.19;56.8;55.8078;946.0;687.2;171.8;56.71006041472829;289.9633576626852;22.0
11.36;56.8;55.9247;922.0;687.2;171.8;56.76006938660013;321.8607037921295;22.0
11.52;56.9;56.0409;928.0;697.6;174.4;56.82836949759062;353.0817586645902;22.0
11.69;56.9;56.1578;909.0;697.6;174.4;56.8726367648983;381.45724087811925;22.0
11.86;57.0;56.2747;972.0;695.2;173.8;56.91817658261152;410.7331231793811;22.0
12.02;57.0;56.3916;938.0;695.2;173.8;56.97494365053474;438.92493781412963;22.0
12.19;57.1;56.5078;959.0;713.6;178.4;57.043940111612336;466.7230342857753;22.0
12.36;57.1;56.6247;946.0;713.6;178.4;57.08975786665144;492.76298106111176;22.0
12.52;57.1;56.7416;1019.0;731.1999999999999;182.8;57.10795241734559;519.2753262544968;22.0
12.69;57.2;56.8578;1039.0;731.1999999999999;182.8;57.16383157823625;546.1687730244454;22.0
12.86;57.3;56.9747;1065.0;795.2;198.8;57.22492535854252;575.1427083342367;22.0
13.02;57.3;57.0909;1014.0;795.2;198.8;57.29438514389947;602.172678483433;22.0
13.19;57.3;57.2078;1114.0;811.2;202.8;57.320814382311326;629.0946993424016;22.0
13.36;57.4;57.3254;1122.0;811.2;202.8;57.394732012237185;659.3883052002803;22.0
13.52;57.5;57.4416;1090.0;905.6;226.39999999999998;57.47903172995544;687.7469234226152;22.0
13.69;57.5;57.5585;1122.0;905.6;226.39999999999998;57.52413576418399;713.4994161878654;22.0
13.86;57.6;57.6747;1249.0;904.8;226.20000000000002;57.57006773183679;742.4792075032739;22.0
14.02;57.6;57.7916;1212.0;904.8;226.20000000000002;57.62687186916595;772.3343062212012;22.0
14.19;57.7;57.9085;1314.0;972.8;243.2;57.65920891747312;802.9534603665669;22.0
14.36;57.8;58.0247;1285.0;972.8;243.2;57.744906883398045;832.1154091003029;22.0
14.52;57.8;58.1423;1187.0;1028.8;257.2;57.82685477364495;859.2529036979923;22.0
14.69;57.9;58.2585;1193.0;1028.8;257.2;57.89552219354258;884.8092037852003;22.0
14.86;58.0;58.374;1134.0;957.6000000000001;239.4;58.00178051296059;908.6812800062465;22.0
15.02;58.1;58.4916;1189.0;957.6000000000001;239.4;58.073747058962134;929.0869115557896;22.0
15.19;58.2;58.6085;1111.0;952.8;238.20000000000002;58.180932853161536;949.4427638615449;22.0
15.36;58.3;58.7254;1124.0;952.8;238.20000000000002;58.250893618444735;966.1335966172934;22.0
15.52;58.3;58.8423;1072.0;903.2000000000002;225.8;58.37612776365328;983.0488678485223;22.0
15.69;58.5;58.9585;1060.0;903.2000000000002;225.8;58.47344253747017;998.3421873785402;22.0
15.86;58.6;59.0754;1056.0;856.7999999999998;214.2;58.55823532701704;1009.2612465218234;22.0
16.02;58.7;59.1923;1023.0;856.7999999999998;214.2;58.666790729552154;1020.9167532798791;22.0
