Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;70.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;71.3;70.0;0.0;0.0;0.0;15.0;0.0;22.0
0.36;71.4;70.0;0.0;0.0;0.0;15.0;0.0;22.0
0.53;71.5;70.0;0.0;0.0;0.0;15.0;0.0;22.0
0.69;71.6;70.0791;2000.0;0.0;0.0;46.77777300799167;216.17661056888727;22.0
0.86;72.1;70.196;2000.0;0.0;2000.0;63.18145593451844;384.0028621370644;22.0
1.03;72.4;70.3129;2000.0;0.0;2000.0;69.0881728298801;493.6163566801347;22.0
1.19;72.9;70.4291;349.0;0.0;2000.0;71.42739246029984;581.1097675752493;22.0
1.36;73.3;70.546;0.0;0.0;2000.0;72.55904368778272;583.8010406583498;22.0
1.53;73.5;70.6629;0.0;0.0;0.0;73.10976626442257;565.6475551366784;22.0
1.69;73.5;70.7791;0.0;0.0;0.0;73.36289764347562;545.8118041407286;22.0
1.86;73.7;70.896;0.0;0.0;0.0;73.44073842744142;525.5810006525434;22.0
2.03;74.0;71.0129;2.0;0.0;0.0;73.66963077121221;508.7534324935858;22.0
2.19;74.5;71.1298;0.0;1.6;0.4;74.03306896975833;491.59567543899834;22.0
2.36;74.8;71.246;0.0;1.6;0.4;74.40691607250061;475.239440271096;22.0
2.53;75.2;71.3629;0.0;0.0;0.0;74.80779679072222;459.3291694448681;22.0
2.69;75.6;71.4798;0.0;0.0;0.0;75.15780095022475;443.78698394189337;22.0
2.86;75.9;71.5967;0.0;0.0;0.0;75.55250705728045;429.35608074017193;22.0
3.03;76.4;71.7129;0.0;0.0;0.0;75.92991250419585;415.301388952405;22.0
3.19;76.7;71.8291;0.0;0.0;0.0;76.31261902079662;401.7179008400667;22.0
3.36;77.1;71.9453;0.0;0.0;0.0;76.679620488339;388.84524054899117;22.0
3.53;77.5;72.0622;0.0;0.0;0.0;76.99294881034983;377.37470670920794;22.0
3.69;77.7;72.1791;0.0;0.0;0.0;77.32280311490669;365.1600702021428;22.0
3.86;78.0;72.296;0.0;0.0;0.0;77.66385683837326;353.39076698730594;22.0
4.03;78.5;72.4122;0.0;0.0;0.0;78.01647662826352;342.20743697130223;22.0
4.19;78.7;72.5291;0.0;0.0;0.0;78.37795339036003;331.4187184032828;22.0
4.36;79.1;72.646;0.0;0.0;0.0;78.69452864886256;320.75429306127995;22.0
4.53;79.4;72.7622;0.0;0.0;0.0;79.01510019919517;310.72831642872075;22.0
4.7;79.7;72.8791;0.0;0.0;0.0;79.304292514877;300.7278760362509;22.0
4.86;80.0;72.996;0.0;0.0;0.0;79.64043138549381;291.3463897709879;22.0
5.03;80.4;73.1129;0.0;0.0;0.0;79.96736569979086;282.46932564769014;22.0
