Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;0.0;15.0;0.0;22.0
0.2;17.00577763913295;1500.0;15.776496876551631;41.20217853135167;22.0
0.36;17.027804044525602;600.0;16.605895815959073;124.8059531419742;22.0
0.53;17.06241773549288;1500.0;16.90340043437742;197.2856924650617;22.0
0.7;17.108743040023114;1500.0;17.053409928126083;272.43302616011863;22.0
0.86;17.166747531863063;1500.0;17.146074434739205;343.5610585317438;22.0
1.03;17.23497850957977;1500.0;17.225457793935355;411.10431537429895;22.0
1.2;17.31413322759986;1500.0;17.30825129814045;476.8621366942369;22.0
1.36;17.403821583256;1500.0;17.39977753798582;540.5047046324705;22.0
1.53;17.502266051435747;1500.0;17.500864851708144;600.6842885618639;22.0
1.7;17.608723619635146;1500.0;17.598389084779257;653.5003974857259;22.0
1.86;17.725386018587095;1500.0;17.713945402212044;709.791478154114;22.0
2.03;17.8506658526853;1500.0;17.839939599725025;764.9263179992231;22.0
