Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;22.087;1500
0.18;22.104;0
0.26;22.101;0
0.35;22.093;0
0.43;22.09;0
0.51;22.084;0
0.6;22.08;0
0.68;22.075;0
0.76;22.068;0
0.85;22.061;0
0.93;22.056;0
1.01;22.051;0
1.1;22.044;0
1.18;22.04;0
1.26;22.033;0
1.35;22.03;0
1.43;22.026;0
1.51;22.02;0
1.6;22.016;0
1.68;22.009;0
1.77;22.002;0
1.85;21.998;0
1.93;21.993;0
2.02;21.988;0
2.1;21.985;0
2.18;21.981;0
2.27;21.977;0
2.35;21.973;0
2.43;21.969;0
2.52;21.969;0
2.6;21.969;0
2.68;21.969;0
2.77;21.969;0
2.85;21.969;0
2.93;21.969;0
3.02;21.969;0
3.1;21.969;0
3.18;21.969;0
3.27;21.969;0
3.35;21.969;0
3.43;21.969;0
3.52;21.969;0
3.6;21.969;0
3.69;21.969;0
3.77;21.969;0
3.85;21.969;0
3.94;21.969;0
4.02;21.969;0
4.1;21.969;0
4.19;21.969;0
4.27;21.969;0
4.35;21.969;0
4.44;21.969;0
4.52;21.969;0
4.6;21.969;0
4.69;21.969;0
4.77;21.969;0
4.85;21.969;0
4.94;21.969;0
5.02;21.969;0
5.1;21.969;0
5.19;21.969;0
5.27;21.969;0
5.36;21.969;0
5.44;21.969;0
5.52;21.969;0
5.61;21.969;0
5.69;21.969;0
5.77;21.969;0
5.86;21.969;0
5.94;21.969;0
6.02;21.969;0
6.11;21.969;0
6.19;21.969;0
6.27;21.969;0
6.36;21.969;0
6.44;21.969;0
6.52;21.969;0
6.61;21.969;0
6.69;21.969;0
6.77;21.969;0
6.86;21.969;0
6.94;21.969;0
7.03;21.969;0
7.11;21.969;0
7.19;21.969;0
7.28;21.969;0
7.36;21.969;0
7.44;21.969;0
7.53;21.969;0
7.61;21.969;0
7.69;21.969;0
7.78;21.969;0
7.86;21.969;0
7.94;21.969;0
8.03;21.969;0
8.11;21.969;0
8.19;21.969;0
8.28;21.969;0
8.36;21.969;0
8.44;21.969;0
8.53;21.969;0
8.61;21.969;0
8.7;21.969;0
8.78;21.969;0
8.86;21.969;0
8.95;21.969;0
9.03;21.969;0
9.11;21.969;0
9.2;21.969;0
9.28;21.969;0
9.36;21.969;0
9.45;21.969;0
9.53;21.969;0
9.61;21.969;0
9.7;21.969;0
9.78;21.969;0
9.86;21.969;0
9.95;21.969;0
10.03;21.969;0
10.11;21.969;0
10.2;21.969;0
10.28;21.969;0
10.36;21.969;0
10.45;21.969;0
10.53;21.969;0
10.62;21.969;0
10.7;21.969;0
10.78;21.969;0
10.87;21.969;0
10.95;21.969;0
11.03;21.969;0
11.12;21.969;0
11.2;21.969;0
11.28;21.969;0
11.37;21.969;0
11.45;21.969;0
11.53;21.969;0
11.62;21.969;0
11.7;21.969;0
11.78;21.969;0
11.87;21.969;0
11.95;21.969;0
12.03;21.969;0
12.12;21.969;0
12.2;21.969;0
12.29;21.969;0
12.37;21.969;0
12.45;21.969;0
12.54;21.969;0
12.62;21.969;0
12.7;21.969;0
12.79;21.969;0
12.87;21.969;0
12.95;21.969;0
13.04;21.969;0
13.12;21.969;0
13.2;21.969;0
13.29;21.969;0
13.37;21.969;0
13.45;21.969;0
13.54;21.969;0
13.62;21.969;0
13.7;21.969;0
13.79;21.969;0
13.87;21.969;0
13.96;21.969;0
14.04;21.969;0
14.12;21.969;0
14.21;21.969;0
14.29;21.969;0
14.37;21.969;0
14.46;21.969;0
14.54;21.969;0
14.62;21.969;0
14.71;21.969;0
14.79;21.969;0
14.87;21.969;0
14.96;21.969;0
15.04;21.969;0
15.12;21.969;0
15.21;21.969;0
15.29;21.969;0
15.37;21.969;0
15.46;21.969;0
15.54;21.969;0
