Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;37.0;0.0;0.0;0.0;15.0;0.0;22.0
0.2;23.3;37.0;2000.0;0.0;0.0;19.530743592502766;72.94025065533074;22.0
0.36;23.3;37.0;2000.0;0.0;2000.0;22.04682668455122;179.56117312338688;22.0
0.53;23.3;37.0;2000.0;0.0;2000.0;22.89013779171576;271.787341261889;22.0
0.7;23.4;37.0;0.0;0.0;0.0;23.101785174944276;323.07304677012604;22.0
0.87;23.8;37.0;0.0;0.0;0.0;23.101785174944276;323.07304677012604;22.0
1.03;23.8;37.0;0.0;0.0;0.0;23.101785174944276;323.07304677012604;22.0
1.2;23.8;37.0;0.0;0.0;0.0;23.101785174944276;323.07304677012604;22.0
1.37;23.9;37.0;0.0;0.0;0.0;23.101785174944276;323.07304677012604;22.0
1.53;23.7;37.0;0.0;0.0;0.0;23.101785174944276;323.07304677012604;22.0
1.7;23.3;37.0;2000.0;0.0;0.0;22.22595020265216;395.56750970852147;22.0
1.87;23.2;37.0;2000.0;0.0;2000.0;22.945843702245824;478.0118715617415;22.0
2.03;23.3;37.0;2000.0;0.0;2000.0;23.184557841744688;556.3419402721469;22.0
2.2;23.5;37.0;2000.0;0.0;2000.0;23.3721142450764;631.4180716572663;22.0
2.37;23.9;37.0;2000.0;0.0;2000.0;23.67296577290984;704.1724493544357;22.0
2.53;24.2;37.0;2000.0;0.0;2000.0;23.97600577580029;767.7791964985247;22.0
2.7;24.6;37.0;2000.0;0.0;2000.0;24.327548421900588;835.5510325865016;22.0
2.87;24.9;37.0;2000.0;0.0;2000.0;24.68812532537609;902.9796998514598;22.0
3.03;25.3;37.0;2000.0;0.0;2000.0;25.070150726189837;965.7179870427823;22.0
3.2;25.6;37.0;2000.0;0.0;2000.0;25.422214284683054;1025.9037191622542;22.0
3.37;26.0;37.0;2000.0;0.0;2000.0;25.73634039023322;1078.7051501458393;22.0
3.53;26.3;37.0;2000.0;0.0;2000.0;26.11554580220176;1134.0647077459073;22.0
3.7;26.7;37.0;2000.0;0.0;2000.0;26.49495289428468;1188.53500628528;22.0
3.87;27.1;37.0;2000.0;0.0;2000.0;26.862447176525297;1240.5444369791994;22.0
4.03;27.4;37.0;2000.0;0.0;2000.0;27.221897009321523;1289.9527365024192;22.0
4.2;27.8;37.0;2000.0;0.0;2000.0;27.555986100414156;1333.612990890003;22.0
4.37;28.1;37.0;2000.0;0.0;2000.0;27.96860133306993;1381.796735197474;22.0
4.53;28.5;37.0;2000.0;0.0;2000.0;28.342940210721746;1426.6401137784887;22.0
4.7;28.9;37.0;2000.0;0.0;2000.0;28.748629444554698;1469.187104401661;22.0
4.87;29.2;37.0;2000.0;0.0;2000.0;29.06727824591856;1506.0450525943781;22.0
5.03;29.6;37.0;2000.0;0.0;2000.0;29.41311557809209;1545.9294121815258;22.0
5.2;29.9;37.0;2000.0;0.0;2000.0;29.7780724524581;1583.7315688976116;22.0
5.37;30.3;37.0;2000.0;0.0;2000.0;30.14600193243149;1620.3128973294542;22.0
5.53;30.6;37.0;2000.0;0.0;2000.0;30.51111235861016;1655.283849579347;22.0
5.7;31.0;37.0;0.0;0.0;2000.0;30.600860864232374;1664.3815325348503;22.0
