Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;NaN;NaN
0.18;NaN;NaN
0.26;NaN;NaN
0.35;74.2;0.0
0.43;74.3;0.0
0.51;74.3;0.0
0.6;74.3;0.0
0.68;74.3;0.0
0.76;74.3;0.0
0.85;74.3;0.0
0.93;74.3;0.0
1.01;74.3;0.0
1.1;70.5;812.6923076923076
1.18;70.5;812.6923076923076
1.27;70.5;812.6923076923076
1.35;70.5;812.6923076923076
1.43;70.5;812.6923076923076
1.52;70.5;812.6923076923076
1.6;70.5;812.6923076923076
1.68;70.5;812.6923076923076
1.77;70.7;754.9999999999991
1.85;70.7;754.9999999999991
1.93;70.8;726.1538461538469
2.02;70.8;726.1538461538469
2.1;70.8;726.1538461538469
2.18;70.8;726.1538461538469
2.27;70.8;726.1538461538469
2.35;70.8;726.1538461538469
2.43;70.8;726.1538461538469
2.52;71.1;639.6153846153862
2.6;71.1;639.6153846153862
2.68;71.1;639.6153846153862
2.77;71.1;639.6153846153862
2.85;71.1;639.6153846153862
2.93;71.1;639.6153846153862
3.02;71.1;639.6153846153862
3.1;71.1;639.6153846153862
3.19;71.1;639.6153846153862
3.27;71.3;581.9230769230778
3.35;71.4;553.0769230769214
3.44;71.4;553.0769230769214
3.52;71.4;553.0769230769214
3.6;71.4;553.0769230769214
3.69;71.4;553.0769230769214
3.77;71.4;553.0769230769214
3.85;71.4;553.0769230769214
3.94;71.4;553.0769230769214
4.02;71.6;495.38461538461695
4.1;71.6;495.38461538461695
4.19;71.6;495.38461538461695
4.27;71.6;495.38461538461695
4.35;71.6;495.38461538461695
4.44;71.6;495.38461538461695
4.52;71.6;495.38461538461695
4.6;71.6;495.38461538461695
4.69;71.8;437.6923076923085
4.77;71.8;437.6923076923085
4.86;71.8;437.6923076923085
4.94;71.8;437.6923076923085
5.02;71.8;437.6923076923085
5.11;71.8;437.6923076923085
5.19;71.8;437.6923076923085
5.27;71.8;437.6923076923085
5.36;71.8;437.6923076923085
5.44;72.0;380.0
5.52;71.9;408.8461538461521
5.61;72.0;380.0
5.69;72.0;380.0
5.77;72.0;380.0
5.86;72.0;380.0
5.94;72.0;380.0
6.02;72.0;380.0
6.11;72.1;351.15384615384767
6.19;72.0;380.0
6.27;72.1;351.15384615384767
6.36;72.1;351.15384615384767
6.44;72.1;351.15384615384767
6.53;72.1;351.15384615384767
6.61;72.1;351.15384615384767
6.69;72.1;351.15384615384767
6.78;72.1;351.15384615384767
6.86;72.1;351.15384615384767
6.94;72.1;351.15384615384767
7.03;72.2;322.3076923076915
7.11;72.2;322.3076923076915
7.19;72.2;322.3076923076915
7.28;72.2;322.3076923076915
7.36;72.2;322.3076923076915
7.44;72.2;322.3076923076915
7.53;72.2;322.3076923076915
7.61;72.2;322.3076923076915
7.69;72.2;322.3076923076915
7.78;72.2;322.3076923076915
7.86;72.2;322.3076923076915
7.94;72.2;322.3076923076915
8.03;72.2;322.3076923076915
8.11;72.2;322.3076923076915
8.19;72.2;322.3076923076915
8.28;72.2;322.3076923076915
8.36;72.2;322.3076923076915
8.45;72.1;351.15384615384767
8.53;72.1;351.15384615384767
8.61;72.1;351.15384615384767
8.7;72.1;351.15384615384767
8.78;72.1;351.15384615384767
8.86;72.1;351.15384615384767
8.95;72.1;351.15384615384767
9.03;72.1;351.15384615384767
9.11;72.1;351.15384615384767
9.2;72.1;351.15384615384767
9.28;72.1;351.15384615384767
9.36;72.1;351.15384615384767
9.45;72.1;351.15384615384767
9.53;72.1;351.15384615384767
9.61;72.1;351.15384615384767
9.7;72.1;351.15384615384767
9.78;72.1;351.15384615384767
9.86;72.1;351.15384615384767
9.95;72.1;351.15384615384767
10.03;72.1;351.15384615384767
10.12;72.1;351.15384615384767
10.2;72.1;351.15384615384767
10.28;72.1;351.15384615384767
10.37;72.1;351.15384615384767
10.45;72.1;351.15384615384767
10.53;72.0;380.0
10.62;71.9;408.8461538461521
10.7;72.0;380.0
10.78;72.0;380.0
10.87;72.0;380.0
10.95;72.0;380.0
11.03;72.0;380.0
11.12;72.0;380.0
11.2;71.9;408.8461538461521
11.28;71.9;408.8461538461521
11.37;71.9;408.8461538461521
11.45;71.9;408.8461538461521
11.53;71.9;408.8461538461521
11.62;71.9;408.8461538461521
11.7;71.9;408.8461538461521
11.79;71.9;408.8461538461521
11.87;71.9;408.8461538461521
11.95;71.9;408.8461538461521
12.04;71.9;408.8461538461521
12.12;71.8;437.6923076923085
12.2;71.8;437.6923076923085
12.29;71.8;437.6923076923085
12.37;71.8;437.6923076923085
12.45;71.8;437.6923076923085
12.54;71.8;437.6923076923085
12.62;71.8;437.6923076923085
12.7;71.8;437.6923076923085
12.79;71.8;437.6923076923085
12.87;71.8;437.6923076923085
12.95;71.8;437.6923076923085
13.04;71.8;437.6923076923085
13.12;71.8;437.6923076923085
13.2;71.8;437.6923076923085
13.29;71.8;437.6923076923085
13.37;71.7;466.5384615384606
13.45;71.7;466.5384615384606
13.54;71.7;466.5384615384606
13.62;71.7;466.5384615384606
13.71;71.7;466.5384615384606
13.79;71.7;466.5384615384606
13.87;71.7;466.5384615384606
13.96;71.7;466.5384615384606
14.04;71.7;466.5384615384606
14.12;71.7;466.5384615384606
14.21;71.9;408.8461538461521
14.29;71.9;408.8461538461521
14.37;71.9;408.8461538461521
14.46;71.9;408.8461538461521
14.54;71.9;408.8461538461521
14.62;71.9;408.8461538461521
14.71;71.9;408.8461538461521
14.79;71.9;408.8461538461521
14.87;72.0;380.0
14.96;72.0;351.15384615384767
15.04;72.1;351.15384615384767
15.12;72.1;351.15384615384767
15.21;72.1;351.15384615384767
15.29;72.1;351.15384615384767
15.38;72.1;351.15384615384767
15.46;72.1;351.15384615384767
15.54;72.1;351.15384615384767
15.63;72.2;322.3076923076915
15.71;72.2;322.3076923076915
15.79;72.2;322.3076923076915
15.88;72.2;322.3076923076915
15.96;72.2;322.3076923076915
16.04;72.2;322.3076923076915
16.13;72.2;322.3076923076915
16.21;72.2;322.3076923076915
16.29;72.2;322.3076923076915
16.38;72.2;322.3076923076915
16.46;72.2;322.3076923076915
16.54;72.2;322.3076923076915
16.63;72.2;322.3076923076915
16.71;72.2;322.3076923076915
16.79;72.2;322.3076923076915
16.88;72.2;322.3076923076915
16.96;72.2;322.3076923076915
17.04;72.2;322.3076923076915
17.13;72.3;293.4615384615392
17.21;72.3;293.4615384615392
17.3;72.3;293.4615384615392
17.38;72.3;293.4615384615392
17.46;72.3;293.4615384615392
17.55;72.3;293.4615384615392
17.63;72.3;293.4615384615392
17.71;72.3;293.4615384615392
17.8;72.3;293.4615384615392
17.88;72.3;293.4615384615392
