Time[min];Temperature[°C];Power[W]
0.01;36.499;NaN
0.1;36.536;2000
0.18;36.653;0
0.26;36.636;0
0.35;36.619;0
0.43;36.602;0
0.51;36.584;0
0.6;36.566;0
0.68;36.551;0
0.76;36.533;0
0.85;36.518;0
0.93;36.501;0
1.02;36.484;0
1.1;36.466;0
1.18;36.448;0
1.27;36.431;0
1.35;36.414;0
1.43;36.397;0
1.52;36.379;0
1.6;36.362;0
1.68;36.347;0
1.77;36.326;0
1.85;36.307;0
1.93;36.292;0
2.02;36.274;0
2.1;36.256;0
2.18;36.239;0
2.27;36.239;0
2.35;36.239;0
2.43;36.239;0
2.52;36.239;0
2.6;36.239;0
2.68;36.239;0
2.77;36.239;0
2.85;36.239;0
2.94;36.239;0
3.02;36.239;0
3.1;36.239;0
3.19;36.239;0
3.27;36.239;0
3.35;36.239;0
3.44;36.239;0
3.52;36.239;0
3.6;36.239;0
3.69;36.239;0
3.77;36.239;0
3.85;36.239;0
3.94;36.239;0
4.02;36.239;0
4.1;36.239;0
4.19;36.239;0
4.27;36.239;0
4.35;36.239;0
4.44;36.239;0
4.52;36.239;0
4.61;36.239;0
4.69;36.239;0
4.77;36.239;0
4.86;36.239;0
4.94;36.239;0
