Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;15.0;0.0;15.0;0.0;22.0
0.19;17.01118723729074;15.0;0.0;16.120577578572252;67.24561194587311;22.0
0.36;17.037133250934783;15.0;0.0;16.726732301024654;147.84571462057775;22.0
0.53;17.075579094232815;15.0;0.0;16.967085579823756;224.0387059499877;22.0
0.69;17.126125759482406;15.0;0.0;17.086625583843407;296.73350714925823;22.0
0.86;17.187932318041536;15.0;0.0;17.172826098480275;367.30247216052584;22.0
1.03;17.258839584185974;15.0;0.0;17.254630896734074;434.3467189546335;22.0
1.19;17.341024949938436;15.136;0.0;17.33120524138979;492.81212309531765;22.0
1.36;17.432589167663735;15.303;0.0;17.423293475559078;555.1182710615662;22.0
1.53;17.534240181861904;15.469;0.0;17.524874884031565;615.4416928051618;22.0
1.69;17.64496336062418;15.636;0.0;17.63547298694993;673.1603700664629;22.0
1.86;17.76342088250728;15.803;0.0;17.756522726041;728.4068740272396;22.0
2.03;17.891026426485972;15.969;0.0;17.884649177449592;781.9022615947365;22.0
2.19;18.026798023389176;16.136;0.0;18.019861606463717;833.3919420254879;22.0
2.36;18.169484854212396;16.303;0.0;18.163540752684423;883.0929427017545;22.0
2.53;18.32043674720662;16.469;0.0;18.313794413523418;930.2532949004201;22.0
2.69;18.478215853524834;16.636;0.0;18.47650176342947;975.8070844527326;22.0
2.86;18.64265998221368;16.803;0.0;18.624743949691517;1014.2209654764514;22.0
3.03;18.812461396799915;16.97;0.0;18.796391436758594;1055.5896031753032;22.0
3.19;18.98933019895686;17.136;0.0;18.972693888269887;1094.7566605622883;22.0
3.36;19.171917436445383;17.303;0.0;19.154572735733428;1130.7993553699378;22.0
3.53;19.359974389103602;17.47;0.0;19.347608292168662;1155.340020802723;22.0
3.69;19.54944272962563;17.636;0.0;19.540142575470703;1167.9715647394796;22.0
3.86;19.73864948285596;17.803;0.0;19.732783375458514;1171.0531448754484;22.0
