Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
7.35;19.9;0.0;19.908517706687242;10.07805903150703;22.0
7.51;19.9;0.0;19.906399033574534;9.660221646249715;22.0
7.68;19.9;0.0;19.90568448047231;9.305351637247528;22.0
7.85;19.9;0.0;19.905356388854923;8.927893265645245;22.0
8.01;19.9;0.0;19.905205433493077;8.566144101923875;22.0
8.18;19.9;8.0;19.905118712901615;8.271710123801434;22.0
8.35;19.9;20.0;19.905077244983776;8.306851369837954;22.0
8.51;19.9;31.0;19.905089035410732;8.696557132313437;22.0
8.68;19.9;44.0;19.905156616860975;9.46068487747627;22.0
8.85;19.9;38.0;19.905267893340863;10.556360721688348;22.0
9.01;19.9;48.0;19.90544921835709;12.08270848186795;22.0
9.18;19.9;71.0;19.90569198639368;14.058944497712645;22.0
9.35;19.9;289.0;19.906150022612103;20.64081782658704;22.0
9.51;20.0;432.0;19.947680938072633;36.871034168354164;22.0
9.68;20.0;519.0;19.989388869660438;57.51848954105268;22.0
9.85;20.0;653.0;20.016138753043865;82.38293207021835;22.0
10.01;20.1;735.0;20.063029808318607;112.07219619187791;22.0
10.18;20.1;791.0;20.10045116129921;140.75991137191266;22.0
10.35;20.1;907.0;20.118930084480304;175.18663667945717;22.0
10.51;20.1;1025.0;20.129081278680385;213.79101809710883;22.0
10.68;20.1;1135.0;20.147013620734327;256.43257540136136;22.0
10.85;20.2;1188.0;20.183003795036083;301.8955595338987;22.0
11.01;20.2;1219.0;20.230295486466783;347.5013086748793;22.0
11.18;20.2;1343.0;20.251246015358102;393.93069850898104;22.0
11.35;20.3;1317.0;20.3198778777136;438.23661600397827;22.0
11.51;20.4;1278.0;20.3983593855053;485.23279906839326;22.0
11.68;20.4;1330.0;20.454288510602293;528.2274755104964;22.0
11.85;20.5;1352.0;20.518579034831763;571.977299858724;22.0
12.01;20.6;1241.0;20.631882557600616;613.1029548819778;22.0
12.18;20.7;1215.0;20.725823149761208;649.3177515954669;22.0
12.35;20.9;1157.0;20.837241993350503;681.9182602824093;22.0
12.51;20.9;1121.0;20.948358017648303;710.2863735323369;22.0
12.68;21.0;1102.0;21.04319195753435;734.0693067830757;22.0
