Time[min];Temperature[°C];Power[W]
0.02;0.0;0.0
0.18;10.7;1500.0
0.35;10.8;1500.0
0.52;10.8;1500.0
0.68;10.8;1500.0
0.85;11.0;1500.0
1.02;11.1;1500.0
1.18;11.2;1500.0
1.35;11.2;1500.0
1.52;11.3;1500.0
1.68;11.4;1500.0
1.85;11.5;1500.0
2.02;11.6;1500.0
2.18;11.7;1500.0
2.35;11.8;1500.0
2.52;12.0;1500.0
2.68;12.0;1500.0
2.85;12.3;1500.0
3.02;12.3;1500.0
3.18;12.5;1500.0
3.35;12.6;1500.0
3.52;12.8;1500.0
3.68;13.0;1500.0
3.85;13.2;1500.0
4.02;13.3;1500.0
4.18;13.5;1500.0
4.35;13.7;1500.0
4.52;13.9;1500.0
4.68;14.1;1500.0
4.85;14.3;1500.0
5.02;14.5;1500.0
5.18;14.7;1500.0
5.35;14.9;1500.0
5.52;15.1;1500.0
5.69;15.4;1500.0
5.85;15.6;1500.0
6.02;15.8;1500.0
6.19;16.0;1500.0
6.35;16.3;1500.0
6.52;16.6;1500.0
6.69;16.8;1500.0
6.85;16.9;1500.0
7.02;17.1;1500.0
7.19;17.5;1500.0
7.35;17.7;1500.0
7.52;17.9;1500.0
7.69;18.2;1500.0
7.85;18.4;1500.0
8.02;18.7;1500.0
8.19;18.9;1500.0
8.35;19.2;1500.0
8.52;19.5;1500.0
8.69;19.7;1500.0
8.85;20.0;1500.0
9.02;20.2;1500.0
9.19;20.5;1500.0
9.35;20.8;1500.0
9.52;21.0;1500.0
9.69;21.3;1500.0
9.85;21.5;1500.0
10.02;21.8;1500.0
10.19;22.1;1500.0
10.35;22.3;1500.0
10.52;22.6;1500.0
10.69;22.9;1500.0
10.85;23.1;1500.0
11.02;23.4;1500.0
11.19;23.6;1500.0
11.35;24.0;1500.0
11.52;24.2;1500.0
11.69;24.4;1500.0
11.85;24.6;1500.0
12.02;25.0;1500.0
12.19;25.3;1500.0
12.35;25.5;1500.0
12.52;25.8;1500.0
12.69;26.1;1500.0
12.85;26.4;1500.0
13.02;26.7;1500.0
13.19;26.9;1500.0
13.35;27.2;1500.0
13.52;27.4;1500.0
13.69;27.8;1500.0
13.86;28.0;1500.0
14.02;28.2;1500.0
14.19;28.5;1500.0
14.36;28.8;1500.0
14.52;29.0;1500.0
14.69;29.4;1500.0
14.86;29.6;1500.0
15.02;29.9;1500.0
15.19;30.1;1500.0
15.36;30.5;1500.0
15.52;30.7;1500.0
15.69;31.0;1500.0
15.86;31.2;1500.0
16.02;31.6;1500.0
16.19;31.8;1500.0
16.36;32.1;1500.0
16.52;32.3;1500.0
16.69;32.7;1500.0
16.86;32.9;1500.0
17.02;33.2;666.1538461538458
17.19;33.4;669.6153846153843
17.36;33.7;673.0769230769228
17.52;34.0;676.5384615384612
17.69;34.2;678.8461538461536
17.86;34.5;682.3076923076919
18.02;34.7;684.6153846153843
18.19;34.9;686.9230769230766
18.36;35.1;689.2307692307689
18.52;35.4;692.6923076923074
18.69;35.6;694.9999999999998
18.86;35.8;697.3076923076919
19.02;35.9;698.4615384615381
19.19;36.1;1315.7692307692284
19.36;36.3;1018.076923076927
19.52;36.4;869.2307692307711
19.69;36.5;720.384615384615
19.86;36.5;720.384615384615
20.02;36.4;869.2307692307711
20.19;36.5;720.384615384615
20.36;37.0;0.0
20.52;37.2;0.0
20.69;37.4;0.0
20.86;37.6;0.0
21.02;37.8;0.0
21.19;37.9;0.0
21.36;38.1;0.0
21.53;38.2;0.0
21.69;38.3;0.0
21.86;38.4;0.0
22.03;38.5;0.0
22.19;38.6;0.0
22.36;38.7;0.0
22.53;38.8;0.0
22.69;38.9;0.0
22.86;39.0;0.0
23.03;39.0;0.0
23.19;39.2;0.0
23.36;39.2;0.0
23.53;39.3;0.0
23.69;39.4;0.0
23.86;39.4;0.0
24.03;39.5;0.0
24.19;39.6;0.0
24.36;39.6;0.0
24.53;39.7;0.0
24.69;39.7;0.0
24.86;39.7;0.0
25.03;39.7;0.0
25.19;39.9;0.0
25.36;39.9;0.0
25.53;39.9;0.0
25.69;40.0;0.0
25.86;40.0;0.0
26.03;40.1;0.0
26.19;40.1;0.0
26.36;40.1;0.0
26.53;40.2;0.0
26.69;40.2;0.0
26.86;40.3;0.0
27.03;40.3;0.0
27.19;40.3;0.0
27.36;40.3;0.0
27.53;40.3;0.0
27.69;40.3;0.0
27.86;40.4;0.0
28.03;40.4;0.0
28.19;40.4;0.0
28.36;40.4;0.0
28.53;40.5;0.0
28.69;40.5;0.0
28.86;40.5;751.5384615384612
29.03;40.5;751.5384615384612
29.2;40.5;751.5384615384612
29.36;40.6;752.6923076923074
29.53;40.6;752.6923076923074
29.7;40.7;753.8461538461536
29.86;40.7;753.8461538461536
30.03;40.8;754.9999999999997
30.2;40.8;754.9999999999997
30.36;40.9;756.1538461538458
30.53;41.0;757.307692307692
30.7;41.0;757.307692307692
30.86;41.0;757.307692307692
31.03;41.0;757.307692307692
31.2;41.2;759.6153846153843
31.36;41.2;759.6153846153843
31.53;41.3;759.6153846153843
31.7;41.3;760.7692307692305
31.86;41.4;761.9230769230767
32.03;41.5;763.0769230769229
32.2;41.6;764.2307692307689
32.36;41.6;764.2307692307689
32.53;41.7;765.3846153846151
32.7;41.8;766.5384615384612
32.86;41.9;767.6923076923074
33.03;42.0;767.6923076923074
33.2;42.1;769.9999999999998
33.36;42.2;771.153846153846
33.53;42.3;772.3076923076919
33.7;42.3;773.4615384615381
33.86;42.4;773.4615384615381
34.03;42.5;774.6153846153843
34.2;42.6;775.7692307692305
34.36;42.7;776.9230769230767
34.53;42.8;778.0769230769228
34.7;42.8;778.0769230769228
34.86;43.0;780.3846153846151
35.03;43.1;780.3846153846151
35.2;43.2;782.6923076923074
35.36;43.3;783.8461538461536
35.53;43.4;784.9999999999998
35.7;43.5;786.153846153846
35.86;43.5;786.153846153846
36.03;43.7;788.4615384615382
36.2;43.7;788.4615384615382
36.37;43.8;789.6153846153843
36.53;43.9;790.7692307692305
36.7;44.1;793.0769230769229
36.87;44.2;794.230769230769
37.03;44.3;795.384615384615
37.2;44.4;796.5384615384612
37.37;44.5;797.6923076923074
37.53;44.6;798.8461538461536
37.7;44.8;801.153846153846
37.87;44.8;801.153846153846
38.03;45.0;803.4615384615381
38.2;45.0;803.4615384615381
38.37;45.2;805.7692307692305
38.53;45.3;806.9230769230767
38.7;45.4;808.0769230769229
38.87;45.5;809.230769230769
39.03;45.6;810.3846153846152
39.2;45.7;811.5384615384612
39.37;45.9;813.8461538461536
39.53;45.9;813.8461538461536
39.7;46.1;816.153846153846
39.87;46.2;817.3076923076922
40.03;46.4;819.6153846153843
40.2;46.5;820.7692307692305
40.37;46.6;821.9230769230767
40.53;46.7;823.0769230769229
40.7;46.8;824.230769230769
40.87;46.9;825.384615384615
41.03;47.0;826.5384615384612
41.2;47.2;828.8461538461536
41.37;47.3;829.9999999999998
41.53;47.4;831.153846153846
41.7;47.5;832.3076923076922
41.87;47.7;834.6153846153843
42.03;47.7;834.6153846153843
42.2;47.9;836.9230769230767
42.37;48.0;838.0769230769229
42.53;48.1;839.230769230769
42.7;48.2;840.3846153846152
42.87;48.3;841.5384615384612
43.03;48.4;842.6923076923074
43.2;48.6;844.9999999999998
43.37;48.7;846.153846153846
43.53;48.8;847.3076923076922
43.7;49.0;849.6153846153843
43.87;49.1;850.7692307692305
44.03;49.2;851.9230769230767
44.2;49.3;853.0769230769229
44.37;49.4;854.230769230769
44.54;49.6;856.5384615384614
44.7;49.7;857.6923076923074
44.87;49.8;858.8461538461536
45.04;49.9;859.9999999999998
45.2;50.0;861.153846153846
45.37;50.2;863.4615384615383
45.54;50.2;863.4615384615383
45.7;50.4;865.7692307692305
45.87;50.5;866.9230769230767
46.04;50.7;869.230769230769
46.2;50.8;870.3846153846152
46.37;50.9;871.5384615384612
46.54;51.0;872.6923076923074
46.7;51.1;873.8461538461536
46.87;51.2;874.9999999999998
47.04;51.4;877.3076923076922
47.2;51.5;878.4615384615383
47.37;51.6;879.6153846153845
47.54;51.7;880.7692307692305
47.7;51.8;881.9230769230767
47.87;51.9;883.0769230769229
48.04;52.1;885.3846153846152
48.2;52.3;887.6923076923074
48.37;52.4;888.8461538461536
48.54;52.5;889.9999999999998
48.7;52.8;893.4615384615381
48.87;52.8;893.4615384615381
49.04;52.9;894.6153846153843
