Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;34.983;0.0
0.18;34.968;0.0
0.26;34.95;0.0
0.35;34.934;0.0
0.43;34.917;0.0
0.51;34.901;0.0
0.6;34.885;0.0
0.68;34.87;0.0
0.76;34.852;0.0
0.85;34.836;0.0
0.93;34.819;0.0
1.01;34.804;0.0
1.1;34.785;0.0
1.18;34.77;0.0
1.26;34.756;0.0
1.35;34.739;0.0
1.43;34.722;0.0
1.51;34.706;0.0
1.6;34.689;0.0
1.68;34.672;0.0
1.76;34.659;0.0
1.85;34.642;0.0
1.93;34.626;0.0
2.01;34.609;0.0
2.1;34.593;0.0
2.18;34.577;0.0
2.26;34.561;0.0
2.35;34.544;0.0
2.43;34.528;0.0
2.51;34.511;0.0
2.6;34.495;0.0
2.68;34.481;0.0
2.76;34.466;0.0
2.85;34.45;0.0
2.93;34.435;0.0
3.01;34.422;0.0
3.1;34.405;0.0
3.18;34.39;0.0
3.26;34.374;0.0
3.35;34.359;0.0
3.43;34.34;0.0
3.51;34.323;0.0
3.6;34.306;0.0
3.68;34.289;0.0
3.76;34.271;0.0
3.85;34.257;0.0
3.93;34.243;0.0
4.01;34.229;0.0
4.1;34.229;0.0
4.18;34.229;0.0
4.26;34.229;0.0
4.35;34.229;0.0
4.43;34.229;0.0
4.51;34.229;0.0
4.6;34.229;0.0
4.68;34.229;0.0
4.76;34.229;0.0
4.85;34.229;0.0
4.93;34.229;0.0
5.01;34.229;0.0
5.1;34.229;0.0
5.18;34.229;0.0
5.26;34.229;0.0
5.35;34.229;0.0
5.43;34.229;0.0
5.51;34.229;0.0
5.6;34.229;0.0
5.68;34.229;0.0
5.77;34.229;0.0
5.85;34.229;0.0
5.93;34.229;0.0
6.02;34.229;0.0
6.1;34.229;0.0
6.18;34.229;0.0
6.27;34.229;0.0
6.35;34.229;0.0
6.43;34.229;0.0
6.52;34.229;0.0
6.6;34.229;0.0
6.68;34.229;0.0
6.77;34.229;0.0
6.85;34.229;0.0
6.93;34.229;0.0
7.02;34.229;0.0
7.1;34.229;0.0
7.18;34.229;0.0
7.27;34.229;0.0
7.35;34.229;0.0
7.43;34.229;0.0
7.52;34.229;0.0
7.6;34.229;0.0
7.68;34.229;0.0
7.77;34.229;0.0
7.85;34.229;0.0
7.93;34.229;0.0
8.02;34.229;0.0
8.1;34.229;0.0
8.18;34.229;0.0
8.27;34.229;0.0
8.35;34.229;0.0
8.43;34.229;0.0
8.52;34.229;0.0
8.6;34.229;0.0
8.68;34.229;0.0
8.77;34.229;0.0
8.85;34.229;0.0
8.93;34.229;0.0
9.02;34.229;0.0
9.1;34.229;0.0
9.18;34.229;0.0
9.27;34.229;0.0
