Time[min];Temperature[°C];Power[W]
0.01;0.0;0.0
0.18;79.5;0.0
0.35;79.5;0.0
0.51;79.4;0.0
0.68;79.4;0.0
0.85;79.2;0.0
1.01;79.1;0.0
1.18;79.0;0.0
1.35;78.9;0.0
1.51;78.8;0.0
1.68;78.7;0.0
1.85;78.6;0.0
2.01;78.5;0.0
2.18;78.4;0.0
2.35;78.2;151.53846153845717
2.51;78.1;300.38461538462377
2.68;78.1;300.38461538462377
2.85;78.0;449.2307692307693
3.01;77.9;598.0769230769146
3.18;77.8;746.9230769230812
3.35;77.7;895.7692307692264
3.52;77.6;1044.615384615393
3.68;77.5;1193.4615384615383
3.85;77.5;1193.4615384615383
4.02;77.5;1193.4615384615383
4.18;77.4;1342.3076923076837
4.35;77.3;1491.1538461538505
4.52;77.3;1491.1538461538505
4.68;77.2;1639.9999999999957
4.85;77.2;1639.9999999999957
5.02;77.2;1639.9999999999957
5.18;77.2;1639.9999999999957
5.35;77.2;1491.1538461538505
5.52;77.3;1491.1538461538505
5.68;77.3;1491.1538461538505
5.85;77.5;1193.4615384615383
6.02;77.5;1193.4615384615383
6.18;77.6;1044.615384615393
6.35;77.6;1044.615384615393
6.52;77.6;1044.615384615393
6.68;77.6;1044.615384615393
6.85;77.7;895.7692307692264
7.02;77.6;1044.615384615393
7.18;77.7;895.7692307692264
7.35;77.6;895.7692307692264
7.52;77.7;895.7692307692264
7.68;77.7;895.7692307692264
7.85;77.7;895.7692307692264
8.02;77.7;895.7692307692264
8.18;77.7;895.7692307692264
8.35;77.7;895.7692307692264
8.52;77.8;746.9230769230812
8.68;77.8;746.9230769230812
8.85;77.8;746.9230769230812
9.02;77.8;746.9230769230812
9.18;77.9;598.0769230769146
9.35;77.9;598.0769230769146
9.52;77.9;598.0769230769146
9.68;77.9;598.0769230769146
9.85;77.9;598.0769230769146
10.02;77.9;598.0769230769146
10.18;77.9;598.0769230769146
10.35;77.9;598.0769230769146
10.52;77.9;598.0769230769146
10.68;77.9;598.0769230769146
10.85;77.9;598.0769230769146
11.02;77.9;598.0769230769146
11.18;77.9;598.0769230769146
11.35;77.9;598.0769230769146
11.52;77.9;598.0769230769146
11.68;77.9;598.0769230769146
11.85;77.9;598.0769230769146
12.02;77.9;598.0769230769146
12.18;77.9;598.0769230769146
12.35;77.9;598.0769230769146
12.52;77.9;598.0769230769146
12.68;77.9;598.0769230769146
12.85;77.9;598.0769230769146
13.02;77.9;598.0769230769146
13.19;77.9;598.0769230769146
13.35;77.9;598.0769230769146
13.52;77.8;598.0769230769146
13.69;77.8;746.9230769230812
13.85;77.9;598.0769230769146
14.02;77.8;746.9230769230812
14.19;77.8;746.9230769230812
14.35;77.8;746.9230769230812
14.52;77.7;895.7692307692264
14.69;77.7;2000.0
14.85;77.8;2000.0
15.02;77.8;2000.0
15.19;78.1;2000.0
