Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;NaN;NaN
0.18;NaN;NaN
0.26;NaN;NaN
0.35;60.5;982.3076923076922
0.43;60.6;983.4615384615383
0.51;60.5;982.3076923076922
0.6;60.5;982.3076923076922
0.68;60.5;982.3076923076922
0.76;60.5;982.3076923076922
0.85;60.5;982.3076923076922
0.93;60.5;982.3076923076922
1.01;60.5;982.3076923076922
1.1;60.5;982.3076923076922
1.18;60.5;982.3076923076922
1.27;60.5;982.3076923076922
1.35;60.5;982.3076923076922
1.43;60.5;982.3076923076922
1.52;60.5;982.3076923076922
1.6;60.5;982.3076923076922
1.68;60.5;982.3076923076922
1.77;60.4;981.153846153846
1.85;60.5;982.3076923076922
1.93;60.4;981.153846153846
2.02;60.4;981.153846153846
2.1;60.4;981.153846153846
2.18;60.4;981.153846153846
2.27;60.4;981.153846153846
2.35;60.4;981.153846153846
2.43;60.4;981.153846153846
2.52;60.5;982.3076923076922
2.6;60.5;982.3076923076922
2.68;60.5;982.3076923076922
2.77;60.5;982.3076923076922
2.85;60.5;982.3076923076922
2.94;60.5;982.3076923076922
3.02;60.5;982.3076923076922
3.1;60.5;982.3076923076922
3.19;60.5;982.3076923076922
3.27;60.7;984.6153846153845
3.35;60.7;984.6153846153845
3.44;60.7;984.6153846153845
3.52;60.7;984.6153846153845
3.6;60.7;984.6153846153845
3.69;60.7;984.6153846153845
3.77;60.7;984.6153846153845
3.85;60.7;984.6153846153845
3.94;60.7;984.6153846153845
4.02;60.8;985.7692307692305
4.1;60.9;986.9230769230767
4.19;60.9;986.9230769230767
4.27;60.9;986.9230769230767
4.35;60.9;986.9230769230767
4.44;60.9;986.9230769230767
4.52;60.9;986.9230769230767
4.61;60.9;986.9230769230767
4.69;61.0;553.0769230769229
4.77;61.1;524.2307692307686
4.86;61.1;524.2307692307686
4.94;61.1;524.2307692307686
5.02;61.1;524.2307692307686
5.11;61.1;524.2307692307686
5.19;61.1;524.2307692307686
5.27;61.1;524.2307692307686
5.36;61.1;524.2307692307686
5.44;61.3;466.53846153846223
5.52;61.3;466.53846153846223
5.61;61.4;437.69230769230796
5.69;61.4;437.69230769230796
5.77;61.4;437.69230769230796
5.86;61.4;437.69230769230796
5.94;61.4;437.69230769230796
6.02;61.4;437.69230769230796
6.11;61.5;408.84615384615375
6.19;61.6;379.99999999999943
6.28;61.6;379.99999999999943
6.36;61.6;379.99999999999943
6.44;61.6;379.99999999999943
6.53;61.6;379.99999999999943
6.61;61.6;379.99999999999943
6.69;61.6;379.99999999999943
6.78;61.6;379.99999999999943
6.86;61.6;379.99999999999943
6.94;61.8;322.30769230769295
7.03;61.8;322.30769230769295
7.11;61.8;322.30769230769295
7.19;61.8;322.30769230769295
7.28;61.8;322.30769230769295
7.36;61.8;322.30769230769295
7.44;61.8;322.30769230769295
7.53;61.8;322.30769230769295
7.61;61.9;293.4615384615387
7.69;61.9;293.4615384615387
7.78;61.9;293.4615384615387
7.86;61.9;293.4615384615387
7.95;61.9;293.4615384615387
8.03;61.9;293.4615384615387
8.11;61.9;293.4615384615387
8.2;61.9;293.4615384615387
8.28;61.9;293.4615384615387
8.36;62.1;235.76923076923023
8.45;62.1;235.76923076923023
8.53;62.1;235.76923076923023
8.61;62.1;235.76923076923023
8.7;62.1;235.76923076923023
8.78;62.1;235.76923076923023
8.86;62.1;235.76923076923023
8.95;62.1;235.76923076923023
9.03;62.2;206.923076923076
9.11;62.2;206.923076923076
9.2;62.2;206.923076923076
9.28;62.2;206.923076923076
9.36;62.2;206.923076923076
9.45;62.2;206.923076923076
9.53;62.2;206.923076923076
9.61;62.2;206.923076923076
