Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.02;17.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;21.1;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.36;21.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.52;20.9;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.69;20.9;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.86;20.8;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.02;20.8;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.19;20.7;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.36;20.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.52;20.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.69;20.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.86;20.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
2.02;20.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
2.19;20.4;25.0;0.0;0.0;0.0;15.0;0.0;22.0
