Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;18.7;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.36;18.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.53;16.6;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.69;16.2;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.86;16.2;25.0;0.0;0.0;0.0;15.0;0.0;22.0
1.03;16.4;25.0;2000.0;0.0;0.0;15.08475;0.41999999999999954;22.0
1.19;16.4;25.0;2000.0;0.0;2000.0;15.918981879928157;99.93055598112957;22.0
1.36;16.8;25.0;2000.0;0.0;2000.0;16.350198087528973;195.78800989091795;22.0
1.53;17.7;25.0;2000.0;0.0;2000.0;17.005340297529283;278.26206028305023;22.0
1.69;17.9;25.0;2000.0;0.0;2000.0;17.544336820743396;366.17228515449295;22.0
1.86;18.4;25.0;2000.0;0.0;2000.0;18.005740100485987;450.31856140222743;22.0
2.03;18.7;25.0;2000.0;0.0;2000.0;18.431230168892125;530.5866280473322;22.0
2.19;19.2;25.0;2000.0;0.0;2000.0;18.805842344353476;607.9652099382788;22.0
2.36;19.4;25.0;2000.0;0.0;2000.0;19.198758335048833;682.0281877945182;22.0
2.53;19.8;25.0;2000.0;0.0;2000.0;19.584316710639158;752.8151392003808;22.0
2.69;20.2;25.0;2000.0;0.0;2000.0;19.918199201081126;814.8472194645071;22.0
2.86;20.6;25.0;1992.0;0.0;2000.0;20.346561819658284;881.5279175263721;22.0
3.03;20.9;25.0;1971.0;0.0;2000.0;20.7358822307048;944.4305622780729;22.0
3.19;21.3;25.0;1950.0;86.8;1884.1999999999998;21.109892086200137;1003.5006065543997;22.0
3.36;21.7;25.0;1799.0;86.8;1884.1999999999998;21.512347100959715;1060.072593865256;22.0
3.53;22.1;25.0;1186.0;599.2000000000028;1199.7999999999972;21.90618306107109;1096.0492868052024;22.0
3.69;22.3;25.0;735.0;599.2000000000028;1199.7999999999972;22.182064410653496;1104.368820653728;22.0
3.86;22.6;25.0;439.0;577.6;144.4;22.47162908150035;1094.0833095233515;22.0
4.03;22.7;25.0;217.0;577.6;144.4;22.72134472906301;1070.6749968747033;22.0
4.19;22.8;25.0;179.0;173.60000000000002;43.400000000000006;22.868564739779632;1040.000143396911;22.0
4.36;22.9;25.0;309.0;173.60000000000002;43.400000000000006;22.92937653028965;1009.8078809749796;22.0
4.53;22.9;25.0;404.0;247.20000000000002;61.800000000000004;23.003804768641533;987.4885435699626;22.0
4.69;22.9;25.0;551.0;247.20000000000002;61.800000000000004;23.034423911022294;971.9740585709975;22.0
4.86;22.9;25.0;703.0;434.4;108.60000000000001;23.045585926567288;961.4273530275163;22.0
5.03;22.9;25.0;920.0;434.4;108.60000000000001;23.04873898188648;958.9875790438518;22.0
5.19;23.0;25.0;1077.0;724.8000000000001;181.20000000000002;23.062334647111797;965.7623616315963;22.0
5.36;23.0;25.0;1157.0;724.8000000000001;181.20000000000002;23.099786634585683;978.4461383846647;22.0
5.53;23.1;25.0;1118.0;911.1999999999999;227.8;23.18861334799907;994.3770604933159;22.0
5.69;23.1;25.0;1172.0;911.1999999999999;227.8;23.23344792277182;1008.6387435933106;22.0
5.86;23.1;25.0;1232.0;937.6;234.4;23.2680291164838;1024.3065349861176;22.0
6.03;23.2;25.0132;1335.0;937.6;234.4;23.263989484117136;1042.689419993733;22.0
6.19;23.3;25.1134;1253.0;1068.0;267.0;23.36464225491;1064.2313700893874;22.0
6.36;23.3;25.213;1242.0;1068.0;267.0;23.431995983387814;1081.434372810647;22.0
6.53;23.4;25.313200000000002;1195.0;993.6;248.4;23.482650620297182;1096.5135140708567;22.0
6.69;23.5;25.4122;1171.0;993.6;248.4;23.57633490930876;1112.8008546916105;22.0
6.86;23.6;25.5124;1125.0;957.6000000000001;239.4;23.675843682549953;1126.5039453678507;22.0
7.03;23.6;25.6126;1085.0;957.6000000000001;239.4;23.769423703857946;1137.4728242674792;22.0
7.19;23.8;25.7122;1101.0;912.8000000000001;228.20000000000002;23.8565120748396;1147.5419763768393;22.0
7.36;23.8;25.8124;1038.0;912.8000000000001;228.20000000000002;23.937555530457182;1155.7531482113252;22.0
7.53;24.0;25.9126;1080.0;904.0;225.99999999999997;24.028396224680606;1163.9762219601776;22.0
7.69;24.0;26.0128;1032.0;904.0;225.99999999999997;24.129033069682812;1170.7792229001686;22.0
7.86;24.2;26.1124;1044.0;878.4;219.60000000000002;24.22086216838901;1176.4383881316762;22.0
8.03;24.3;26.2126;995.0;878.4;219.60000000000002;24.326646870559035;1180.992147091153;22.0
8.19;24.4;26.3128;989.0;783.9999999999999;196.0;24.453692421067675;1184.6848820400348;22.0
8.36;24.5;26.4124;959.0;783.9999999999999;196.0;24.538789586989918;1186.2864503078674;22.0
8.53;24.6;26.5126;963.0;755.1999999999999;188.79999999999998;24.664678545237145;1188.5480281805692;22.0
8.69;24.7;26.6128;953.0;755.1999999999999;188.79999999999998;24.752283517252454;1189.2669258075944;22.0
8.86;24.8;26.713;924.0;750.4000000000001;187.60000000000005;24.886232959328687;1190.2834775659355;22.0
