Time[min];Temperature[°C];Power[W]
0.01;NaN;NaN
0.1;NaN;0
0.18;NaN;1113.8461538461538
0.26;71.8;1112.6923076923076
0.35;71.8;1112.6923076923076
0.43;71.7;1111.5384615384614
0.51;71.7;1111.5384615384614
0.6;71.7;1111.5384615384614
0.68;71.7;1110.3846153846152
0.76;71.7;1111.5384615384614
0.85;71.7;1111.5384615384614
0.93;71.7;1110.3846153846152
1.01;71.6;1110.3846153846152
1.1;71.7;1110.3846153846152
1.18;71.6;1110.3846153846152
1.26;71.6;1110.3846153846152
1.35;71.6;1110.3846153846152
1.43;71.6;1110.3846153846152
1.51;71.6;1110.3846153846152
1.6;71.7;1111.5384615384614
1.68;71.7;1110.3846153846152
1.76;71.6;1110.3846153846152
1.85;71.6;1110.3846153846152
1.93;71.6;1111.5384615384614
2.01;71.6;1111.5384615384614
2.1;71.6;1110.3846153846152
2.18;71.6;1110.3846153846152
2.26;71.6;1111.5384615384614
2.35;71.6;1111.5384615384614
2.43;71.7;1111.5384615384614
2.51;71.7;1111.5384615384614
2.6;71.7;1111.5384615384614
2.68;71.7;1111.5384615384614
2.76;71.7;1111.5384615384614
2.85;71.7;1111.5384615384614
2.93;71.7;1112.6923076923076
3.01;71.7;1111.5384615384614
3.1;71.8;1112.6923076923076
3.18;71.8;1112.6923076923076
3.26;71.9;1113.8461538461538
3.35;71.9;1113.8461538461538
3.43;71.9;1113.8461538461538
3.52;71.9;1113.8461538461538
3.6;71.9;1113.8461538461538
3.68;71.9;1113.8461538461538
3.77;71.9;1113.8461538461538
3.85;72.0;1115.0
3.93;72.1;1999
4.02;72.1;1999
4.1;72.1;1999
4.18;72.1;1999
4.27;72.1;1999
4.35;72.1;1999
4.43;72.1;1999
4.52;72.5;1999
4.6;72.6;1999
4.68;72.6;1999
4.77;72.6;1999
4.85;72.6;1999
4.93;72.6;1999
5.02;72.6;1999
5.1;73.8;1999
5.18;74.0;1999
5.27;74.2;1999
5.35;74.4;1999
5.43;74.4;1999
5.52;74.4;1999
5.6;74.4;1999
5.68;74.4;1999
5.77;74.4;1999
5.85;74.4;1999
5.93;75.8;1999
6.02;76.0;1999
6.1;76.0;1999
6.18;76.0;1999
6.27;76.0;1999
6.35;76.0;1999
6.43;76.0;1999
6.52;76.0;1999
6.6;77.3;1999
6.68;77.5;1999
6.77;77.5;1999
6.85;77.5;1999
6.93;77.5;1999
7.02;77.5;1999
7.1;77.5;1999
7.18;77.5;1999
7.27;78.7;1999
7.35;79.0;160.76923076923072
7.43;79.1;131.9230769230786
7.52;79.1;74.23076923077014
7.6;79.1;16.538461538461434
7.68;79.1;0
7.77;79.1;0
7.85;79.1;0
7.93;79.9;0
8.02;79.9;0
8.1;79.9;0
8.18;79.9;0
8.27;79.9;0
8.35;79.9;0
8.43;79.9;0
8.52;79.9;0
8.6;79.8;0
8.68;79.8;0
8.77;79.8;0
8.85;79.8;0
8.93;79.8;0
9.02;79.8;0
9.1;79.8;0
9.18;79.8;0
9.27;79.6;0
9.35;79.6;0
9.43;79.6;0
9.52;79.6;0
9.6;79.6;16.538461538461434
9.68;79.6;16.538461538461434
9.77;79.6;16.538461538461434
9.85;79.6;16.538461538461434
9.93;79.6;45.38461538461377
10.02;79.4;45.38461538461377
10.1;79.4;45.38461538461377
10.18;79.3;45.38461538461377
10.27;79.3;74.23076923077014
10.35;79.3;74.23076923077014
10.43;79.3;74.23076923077014
10.52;79.3;74.23076923077014
10.6;79.3;74.23076923077014
10.68;79.3;74.23076923077014
10.77;79.2;103.07692307692224
10.85;79.2;103.07692307692224
10.93;79.2;103.07692307692224
11.02;79.2;131.9230769230786
11.1;79.2;131.9230769230786
11.18;79.2;131.9230769230786
11.27;79.2;131.9230769230786
11.35;79.2;131.9230769230786
11.43;79.0;160.76923076923072
11.52;79.1;131.9230769230786
11.6;79.1;160.76923076923072
11.68;79.1;160.76923076923072
11.77;79.1;160.76923076923072
11.85;79.1;160.76923076923072
11.93;79.1;189.61538461538305
12.02;79.1;189.61538461538305
12.1;79.0;160.76923076923072
12.18;79.0;160.76923076923072
12.27;79.0;189.61538461538305
12.35;79.0;189.61538461538305
12.43;79.0;189.61538461538305
12.52;79.0;189.61538461538305
12.6;79.0;189.61538461538305
12.69;79.0;189.61538461538305
12.77;78.9;189.61538461538305
12.85;78.9;189.61538461538305
12.94;78.9;189.61538461538305
13.02;78.9;189.61538461538305
13.1;78.9;218.4615384615392
13.19;78.9;189.61538461538305
13.27;78.9;189.61538461538305
13.35;78.9;189.61538461538305
13.44;78.8;218.4615384615392
13.52;78.8;218.4615384615392
13.6;78.8;218.4615384615392
13.69;78.8;218.4615384615392
13.77;78.8;218.4615384615392
13.85;78.8;218.4615384615392
13.94;78.8;218.4615384615392
14.02;78.8;218.4615384615392
14.1;78.8;218.4615384615392
14.19;78.8;218.4615384615392
14.27;78.8;218.4615384615392
14.35;78.8;218.4615384615392
14.44;78.8;247.30769230769153
14.52;78.8;247.30769230769153
14.6;78.8;247.30769230769153
14.69;78.8;247.30769230769153
14.77;78.7;247.30769230769153
14.85;78.7;247.30769230769153
14.94;78.6;276.15384615384767
15.02;78.6;276.15384615384767
15.1;78.6;276.15384615384767
15.19;78.6;276.15384615384767
15.27;78.6;276.15384615384767
15.35;78.6;276.15384615384767
15.44;78.6;276.15384615384767
15.52;78.5;305.0
15.6;78.5;333.8461538461521
15.69;78.5;305.0
15.77;78.5;305.0
15.85;78.5;333.8461538461521
15.94;78.5;333.8461538461521
16.02;78.5;333.8461538461521
16.1;78.5;333.8461538461521
16.19;78.5;333.8461538461521
16.27;78.4;333.8461538461521
16.35;78.4;333.8461538461521
16.44;78.4;333.8461538461521
