Time[min];Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
120,58;184,79;77,30;80,00;604,00;77,41;1290,78;22,00
120,75;184,96;77,30;80,00;581,00;77,41;1269,77;22,00
120,92;185,13;77,30;80,00;537,00;77,40;1248,41;22,00
121,08;185,29;77,40;80,00;489,00;77,46;1229,07;22,00
121,25;185,46;77,30;80,00;427,00;77,48;1204,60;22,00
121,42;185,63;77,30;80,00;528,00;77,46;1181,77;22,00
121,58;185,79;77,30;80,00;530,00;77,41;1162,84;22,00
121,75;185,96;77,30;80,00;526,00;77,39;1144,55;22,00
121,92;186,13;77,30;80,00;494,00;77,39;1126,45;22,00
122,08;186,29;77,30;80,00;450,00;77,38;1106,80;22,00
122,25;186,46;77,30;80,00;409,00;77,38;1085,93;22,00
122,42;186,63;77,30;80,00;373,00;77,37;1063,95;22,00
122,58;186,79;77,30;80,00;487,00;77,37;1046,52;22,00
122,75;186,96;77,30;80,00;452,00;77,37;1029,93;22,00
122,92;187,13;77,30;80,00;395,00;77,36;1011,38;22,00
123,08;187,29;77,30;80,00;345,00;77,36;991,17;22,00
123,25;187,46;77,30;80,00;300,00;77,36;969,32;22,00
123,42;187,63;77,30;80,00;500,00;77,36;952,63;22,00
123,58;187,79;77,30;80,00;1500,00;77,35;940,41;22,00
123,75;187,96;77,20;80,00;1500,00;77,33;976,09;22,00
123,92;188,13;77,20;80,00;1500,00;77,28;1007,10;22,00
124,08;188,29;77,20;80,00;1500,00;77,27;1040,30;22,00
124,25;188,46;77,10;80,00;1500,00;77,27;1072,85;22,00
124,42;188,63;77,10;80,00;1500,00;77,22;1103,34;22,00
124,58;188,79;77,10;80,00;1500,00;77,19;1132,46;22,00
124,75;188,96;77,10;80,00;1500,00;77,19;1160,91;22,00
124,92;189,13;77,10;80,00;800,00;77,19;1161,72;22,00
125,08;189,29;77,10;80,00;800,00;77,19;1155,81;22,00
125,25;189,46;77,10;80,00;800,00;77,18;1150,23;22,00
125,42;189,63;77,10;80,00;800,00;77,18;1144,76;22,00
125,58;189,79;77,10;80,00;800,00;77,18;1139,56;22,00
125,75;189,96;77,10;80,00;800,00;77,18;1134,53;22,00
125,92;190,13;77,10;80,00;800,00;77,18;1129,69;22,00
126,08;190,29;77,20;80,00;800,00;77,19;1125,08;22,00
126,25;190,46;77,20;80,00;800,00;77,24;1121,25;22,00
126,42;190,63;77,20;80,00;800,00;77,27;1116,99;22,00
126,58;190,79;77,20;80,00;800,00;77,27;1112,87;22,00
126,75;190,96;77,20;80,00;1100,00;77,28;1111,76;22,00
126,92;191,13;77,20;80,00;1100,00;77,28;1122,05;22,00
127,08;191,29;77,20;80,00;1100,00;77,27;1131,89;22,00
127,25;191,46;77,20;80,00;1100,00;77,29;1141,43;22,00
127,42;191,63;77,30;80,00;1100,00;77,31;1150,81;22,00
127,58;191,79;77,20;80,00;1100,00;77,35;1159,73;22,00
127,75;191,96;77,30;80,00;1100,00;77,34;1168,19;22,00
127,92;192,13;77,30;80,00;1100,00;77,37;1175,74;22,00
128,08;192,29;77,30;80,00;1100,00;77,38;1183,59;22,00
128,25;192,46;77,30;80,00;1100,00;77,39;1191,19;22,00
128,42;192,63;77,30;80,00;1100,00;77,39;1198,54;22,00
128,58;192,79;77,30;80,00;1100,00;77,39;1205,59;22,00
128,75;192,96;77,30;80,00;1100,00;77,39;1212,37;22,00
128,92;193,13;77,30;80,00;1100,00;77,39;1218,78;22,00
129,08;193,29;77,30;80,00;1100,00;77,39;1224,98;22,00
129,25;193,46;77,40;80,00;1100,00;77,47;1231,29;22,00
129,42;193,63;77,40;80,00;1100,00;77,49;1236,61;22,00
129,59;193,80;77,50;80,00;2000,00;77,52;1242,23;22,00
129,75;193,96;77,50;80,00;2000,00;77,53;1290,33;22,00
129,92;194,13;77,50;80,00;2000,00;77,58;1336,77;22,00
130,09;194,30;77,80;80,00;2000,00;77,67;1381,10;22,00
130,25;194,46;78,20;80,00;2000,00;77,94;1425,39;22,00
130,42;194,63;78,60;80,00;2000,00;78,29;1468,40;22,00
130,59;194,80;79,00;80,00;2000,00;78,68;1509,49;22,00
130,75;194,96;79,30;80,00;1000,00;79,07;1506,77;22,00
130,92;195,13;79,80;80,00;1000,00;79,48;1499,08;22,00
131,09;195,30;79,90;80,00;1000,00;79,80;1492,23;22,00
131,25;195,46;80,00;80,00;1000,00;79,97;1484,02;22,00
131,42;195,63;80,00;80,00;1000,00;80,08;1475,92;22,00
131,59;195,80;80,00;80,00;1000,00;80,11;1467,70;22,00
131,75;195,96;79,90;80,00;1000,00;80,08;1459,49;22,00
131,92;196,13;80,00;80,00;1000,00;80,09;1451,81;22,00
132,09;196,30;79,90;80,00;1000,00;80,07;1444,34;22,00
132,25;196,46;79,90;80,00;1000,00;80,04;1437,00;22,00
132,42;196,63;79,90;80,00;1000,00;80,04;1430,08;22,00
132,59;196,80;79,90;80,00;1000,00;80,03;1424,12;22,00
132,75;196,96;79,90;80,00;1000,00;80,03;1417,76;22,00
132,92;197,13;79,90;80,00;1000,00;80,02;1411,65;22,00
133,09;197,30;79,90;80,00;1000,00;80,02;1405,68;22,00
133,25;197,46;79,90;80,00;1000,00;80,02;1400,04;22,00
133,42;197,63;79,90;80,00;1000,00;80,02;1394,56;22,00
133,59;197,80;79,90;80,00;1000,00;80,02;1389,35;22,00
133,75;197,96;79,90;80,00;1000,00;79,99;1384,15;22,00
133,92;198,13;79,80;80,00;1000,00;80,00;1379,34;22,00
134,09;198,30;79,90;80,00;1000,00;80,00;1374,71;22,00
134,25;198,46;79,90;80,00;1000,00;79,98;1370,12;22,00
134,42;198,63;79,80;80,00;1000,00;79,97;1366,03;22,00
134,59;198,80;79,80;80,00;1000,00;79,94;1361,66;22,00
134,75;198,96;79,90;80,00;1000,00;79,96;1357,81;22,00
134,92;199,13;79,90;80,00;1000,00;79,98;1354,01;22,00
135,09;199,30;79,90;79,35;1000,00;80,00;1350,44;22,00
135,25;199,46;79,90;76,85;1000,00;80,01;1346,96;22,00
135,42;199,63;79,90;74,34;1000,00;80,01;1343,51;22,00
135,59;199,80;79,90;74,00;0,00;80,01;1342,99;22,00
135,75;199,96;79,90;74,00;0,00;80,01;1342,99;22,00
135,92;200,13;79,90;74,00;0,00;80,01;1342,99;22,00
136,09;200,30;78,10;74,00;0,00;80,01;1342,99;22,00
136,25;200,46;67,50;74,00;0,00;80,01;1342,99;22,00
136,42;200,63;67,50;74,00;0,00;80,01;1342,99;22,00
136,59;200,80;67,50;74,00;0,00;80,01;1342,99;22,00
136,75;200,96;67,50;74,00;0,00;80,01;1342,99;22,00
136,92;201,13;67,50;74,00;0,00;80,01;1342,99;22,00
137,09;201,30;67,50;74,00;0,00;80,01;1342,99;22,00
137,25;201,46;67,50;74,00;0,00;80,01;1342,99;22,00
137,42;201,63;67,50;74,00;0,00;80,01;1342,99;22,00
137,59;201,80;67,50;74,00;0,00;80,01;1342,99;22,00
137,75;201,96;67,50;74,00;0,00;80,01;1342,99;22,00
137,92;202,13;67,50;74,00;0,00;80,01;1342,99;22,00
138,09;202,30;67,50;74,00;0,00;80,01;1342,99;22,00
138,25;202,46;67,50;74,00;0,00;80,01;1342,99;22,00
138,42;202,63;67,50;74,00;0,00;80,01;1342,99;22,00
138,59;202,80;67,50;74,00;0,00;80,01;1342,99;22,00
138,75;202,96;67,50;74,00;0,00;80,01;1342,99;22,00
138,92;203,13;67,50;74,00;0,00;80,01;1342,99;22,00
139,09;203,30;67,50;74,00;0,00;80,01;1342,99;22,00
139,25;203,46;67,50;74,00;0,00;80,01;1342,99;22,00
139,42;203,63;67,50;74,00;0,00;80,01;1342,99;22,00
139,59;203,80;67,50;74,00;0,00;80,01;1342,99;22,00
139,75;203,96;67,50;74,00;0,00;80,01;1342,99;22,00
139,92;204,13;67,50;74,00;0,00;80,01;1342,99;22,00
140,09;204,30;67,50;74,00;0,00;80,01;1342,99;22,00
140,25;204,46;67,50;74,00;0,00;80,01;1342,99;22,00
140,42;204,63;67,50;74,00;0,00;80,01;1342,99;22,00
140,59;204,80;67,50;74,00;0,00;80,01;1342,99;22,00
140,75;204,96;67,50;74,00;0,00;80,01;1342,99;22,00
140,92;205,13;67,50;74,00;0,00;80,01;1342,99;22,00
141,09;205,30;67,50;74,00;0,00;80,01;1342,99;22,00
141,26;205,47;67,50;74,00;0,00;80,01;1342,99;22,00
141,42;205,63;67,50;74,00;0,00;80,01;1342,99;22,00
0,03;205,66;67,50;65,00;0,00;15,00;0,00;22,00
0,19;205,82;67,50;65,00;1700,00;15,63;3,15;22,00
0,36;205,99;67,50;65,21;1700,00;55,68;297,26;22,00
0,53;206,16;67,40;65,37;1700,00;63,36;404,56;22,00
0,69;206,32;67,40;65,53;1700,00;66,02;483,98;22,00
0,86;206,49;67,40;65,70;1700,00;66,93;551,42;22,00
1,03;206,66;67,40;65,86;1700,00;67,24;612,67;22,00
1,19;206,82;67,60;66,02;1700,00;67,45;671,39;22,00
1,36;206,99;67,70;66,18;1700,00;67,56;721,91;22,00
1,53;207,16;67,80;66,34;1700,00;67,71;776,82;22,00
1,70;207,33;67,80;66,51;1700,00;67,81;828,78;22,00
1,86;207,49;68,00;66,67;1700,00;67,92;879,09;22,00
2,03;207,66;68,10;66,83;1700,00;68,06;927,90;22,00
2,20;207,83;68,30;66,99;1700,00;68,16;973,81;22,00
2,36;207,99;68,30;67,15;1700,00;68,28;1018,36;22,00
2,53;208,16;68,50;67,32;1800,00;68,41;1069,67;22,00
2,70;208,33;68,50;67,48;1800,00;68,53;1115,56;22,00
2,86;208,49;68,70;67,64;1800,00;68,62;1155,01;22,00
3,03;208,66;68,80;67,80;1800,00;68,74;1197,12;22,00
3,20;208,83;69,00;67,96;1800,00;68,92;1237,93;22,00
3,36;208,99;69,20;68,13;1800,00;69,08;1277,82;22,00
3,53;209,16;69,40;68,29;1800,00;69,30;1316,65;22,00
3,70;209,33;69,50;68,45;1800,00;69,49;1353,58;22,00
3,86;209,49;69,80;68,61;1800,00;69,68;1389,16;22,00
4,03;209,66;69,90;68,77;1800,00;69,88;1422,77;22,00
4,20;209,83;70,20;68,94;1800,00;70,08;1455,36;22,00
4,36;209,99;70,30;69,10;1800,00;70,28;1484,01;22,00
4,53;210,16;70,60;69,26;1800,00;70,47;1514,18;22,00
4,70;210,33;70,70;69,42;1800,00;70,68;1543,27;22,00
4,86;210,49;71,00;69,58;1800,00;70,89;1571,80;22,00
5,03;210,66;71,10;69,74;1800,00;71,08;1598,92;22,00
5,20;210,83;71,40;69,91;1800,00;71,29;1624,66;22,00
5,36;210,99;71,50;70,07;1800,00;71,51;1649,90;22,00
5,53;211,16;71,70;70,23;1800,00;71,70;1671,33;22,00
5,70;211,33;71,90;70,39;1800,00;71,89;1694,38;22,00
5,86;211,49;72,10;70,56;1800,00;72,10;1716,75;22,00
6,03;211,66;72,30;70,72;1800,00;72,28;1738,03;22,00
6,20;211,83;72,50;70,88;1800,00;72,47;1724,58;22,00
6,36;211,99;72,70;71,04;1800,00;72,67;1745,51;22,00
6,53;212,16;72,90;71,20;1800,00;72,86;1765,73;22,00
6,70;212,33;73,10;71,37;1800,00;73,07;1785,17;22,00
6,86;212,49;73,40;71,53;1800,00;73,28;1804,04;22,00
7,03;212,66;73,50;71,69;1800,00;73,50;1822,22;22,00
7,20;212,83;73,70;71,85;1800,00;73,70;1839,76;22,00
7,36;212,99;73,90;72,01;1800,00;73,89;1856,44;22,00
7,53;213,16;74,10;72,17;1800,00;74,07;1870,92;22,00
7,70;213,33;74,20;72,34;1800,00;74,27;1886,37;22,00
7,86;213,49;74,50;72,50;1800,00;74,47;1901,30;22,00
8,03;213,66;74,70;72,66;1800,00;74,68;1915,67;22,00
8,20;213,83;74,90;72,82;1800,00;74,88;1929,39;22,00
8,36;213,99;75,00;72,98;1800,00;75,06;1942,61;22,00
8,53;214,16;75,30;73,15;1800,00;75,25;1955,25;22,00
8,70;214,33;75,40;73,31;1800,00;75,42;1967,39;22,00
8,86;214,49;75,60;73,47;1800,00;75,60;1979,06;22,00
9,03;214,66;75,80;73,63;1800,00;75,81;1990,48;22,00
9,20;214,83;76,00;73,80;1800,00;76,00;2001,37;22,00
9,37;215,00;76,10;73,96;1800,00;76,19;2011,89;22,00
9,53;215,16;76,40;74,12;1800,00;76,37;2021,88;22,00
9,70;215,33;76,60;74,28;1800,00;76,59;2031,77;22,00
9,87;215,50;76,80;74,44;1800,00;76,79;2041,09;22,00
10,03;215,66;76,90;74,61;1800,00;76,94;2049,09;22,00
10,20;215,83;77,10;74,77;1800,00;77,14;2057,75;22,00
10,37;216,00;77,30;74,93;1800,00;77,35;2066,30;22,00
10,53;216,16;77,50;75,09;1800,00;77,54;2074,37;22,00
10,70;216,33;77,60;75,25;1800,00;77,70;2081,96;22,00
10,87;216,50;77,90;75,41;1800,00;77,87;2089,31;22,00
11,03;216,66;78,00;75,58;1800,00;78,05;2096,45;22,00
11,20;216,83;78,20;75,74;1800,00;78,25;2103,42;22,00
11,37;217,00;78,30;75,74;0,00;78,25;2103,50;22,00
11,53;217,16;78,60;75,77;1800,00;78,31;2102,92;22,00
11,70;217,33;78,60;75,94;1800,00;78,66;2110,39;22,00
11,87;217,50;78,70;76,10;1800,00;78,82;2116,54;22,00
12,03;217,66;78,70;76,26;1800,00;78,85;2121,87;22,00
12,20;217,83;78,90;76,42;1800,00;78,94;2127,26;22,00
12,37;218,00;78,90;76,58;1800,00;79,06;2132,63;22,00
12,53;218,16;79,10;76,75;1800,00;79,19;2137,86;22,00
12,70;218,33;79,30;76,91;1800,00;79,37;2143,09;22,00
12,87;218,50;79,50;77,07;1800,00;79,53;2148,05;22,00
13,03;218,66;79,60;77,23;1800,00;79,72;2152,95;22,00
13,20;218,83;79,80;77,39;1800,00;79,87;2157,49;22,00
13,37;219,00;79,90;77,55;1800,00;80,02;2161,50;22,00
13,53;219,16;80,20;77,72;1800,00;80,19;2165,82;22,00
13,70;219,33;80,30;77,88;1800,00;80,37;2170,08;22,00
13,87;219,50;80,50;78,04;1800,00;80,54;2174,04;22,00
14,03;219,66;80,60;78,20;1800,00;80,73;2177,97;22,00
14,20;219,83;80,90;78,36;1800,00;80,88;2181,54;22,00
14,37;220,00;81,00;78,53;1800,00;81,08;2185,20;22,00
14,53;220,16;81,30;78,69;1800,00;81,24;2188,58;22,00
14,70;220,33;81,40;78,85;1800,00;81,44;2191,97;22,00
14,87;220,50;81,50;79,01;1800,00;81,60;2195,09;22,00
15,03;220,66;81,70;79,18;1800,00;81,79;2198,22;22,00
15,20;220,83;81,90;79,34;1800,00;81,93;2200,99;22,00
15,37;221,00;82,00;79,50;1800,00;82,10;2203,64;22,00
15,53;221,16;82,20;79,66;1800,00;82,24;2206,20;22,00
15,70;221,33;82,30;79,82;1800,00;82,43;2208,90;22,00
15,87;221,50;82,50;79,99;1800,00;82,58;2211,34;22,00
16,04;221,67;82,60;80,15;1800,00;82,74;2213,71;22,00
16,20;221,83;82,80;80,31;1800,00;82,89;2215,92;22,00
16,37;222,00;82,90;80,47;1800,00;83,05;2218,13;22,00
16,54;222,17;83,10;80,63;1800,00;83,21;2220,27;22,00
16,70;222,33;83,30;80,80;1800,00;83,37;2222,32;22,00
16,87;222,50;83,50;80,96;1800,00;83,54;2224,35;22,00
17,04;222,67;83,60;81,12;1800,00;83,71;2226,27;22,00
17,20;222,83;83,80;81,28;1800,00;83,84;2227,93;22,00
17,37;223,00;83,80;81,44;1800,00;83,96;2229,41;22,00
17,54;223,17;84,00;81,61;1800,00;84,09;2230,94;22,00
17,70;223,33;84,20;81,77;1800,00;84,26;2232,66;22,00
17,87;223,50;84,30;81,93;1800,00;84,40;2234,12;22,00
18,04;223,67;84,50;82,09;1800,00;84,56;2235,63;22,00
18,20;223,83;84,70;82,25;1800,00;84,70;2237,01;22,00
18,37;224,00;84,70;82,42;1800,00;84,88;2238,54;22,00
18,54;224,17;84,90;82,58;1800,00;85,03;2239,81;22,00
18,70;224,33;85,00;82,74;1800,00;85,17;2241,05;22,00
18,87;224,50;85,20;82,90;1800,00;85,29;2242,12;22,00
19,04;224,67;85,30;83,06;1800,00;85,45;2243,32;22,00
19,20;224,83;85,50;83,23;1800,00;85,60;2244,46;22,00
19,37;225,00;85,60;83,39;1800,00;85,74;2245,47;22,00
19,54;225,17;85,80;83,55;1800,00;85,84;2246,25;22,00
19,70;225,33;85,90;83,71;1800,00;85,97;2247,20;22,00
19,87;225,50;86,00;83,87;1800,00;86,13;2248,21;22,00
20,04;225,67;86,10;84,04;1800,00;86,28;2249,16;22,00
20,20;225,83;86,40;84,20;1800,00;86,40;2249,97;22,00
20,37;226,00;86,40;84,36;1800,00;86,56;2250,86;22,00
20,54;226,17;86,60;84,52;1800,00;86,67;2251,54;22,00
20,70;226,33;86,70;84,68;1800,00;86,83;2252,44;22,00
20,87;226,50;86,90;84,85;1800,00;86,97;2253,17;22,00
21,04;226,67;87,00;85,01;1800,00;87,14;2254,03;22,00
21,21;226,84;87,20;85,17;1800,00;87,25;2254,58;22,00
21,37;227,00;87,30;85,33;1800,00;87,42;2255,40;22,00
21,54;227,17;87,40;85,49;1800,00;87,53;2255,88;22,00
21,71;227,34;87,60;85,66;1800,00;87,68;2256,54;22,00
21,87;227,50;87,70;85,82;1800,00;87,79;2257,00;22,00
22,04;227,67;87,80;85,98;1800,00;87,94;2257,63;22,00
22,21;227,84;88,00;86,14;1800,00;88,04;2257,99;22,00
22,37;228,00;88,10;86,31;1800,00;88,19;2258,60;22,00
22,54;228,17;88,30;86,47;1800,00;88,32;2259,08;22,00
22,71;228,34;88,40;86,63;1800,00;88,47;2259,58;22,00
22,87;228,50;88,50;86,79;1800,00;88,58;2259,94;22,00
23,04;228,67;88,60;86,95;1800,00;88,74;2260,50;22,00
23,21;228,84;88,70;87,11;1800,00;88,85;2260,83;22,00
23,37;229,00;88,90;87,28;1800,00;88,99;2261,25;22,00
23,54;229,17;89,00;87,44;1800,00;89,11;2261,61;22,00
23,71;229,34;89,20;87,60;1800,00;89,25;2262,03;22,00
23,87;229,50;89,30;87,76;1800,00;89,37;2262,34;22,00
24,04;229,67;89,40;87,92;1800,00;89,52;2262,79;22,00
24,21;229,84;89,50;88,09;1800,00;89,60;2262,85;22,00
24,37;230,00;89,60;88,25;1800,00;89,74;2263,21;22,00
24,54;230,17;89,70;88,41;1800,00;89,80;2263,21;22,00
24,71;230,34;89,80;88,57;1800,00;89,95;2263,60;22,00
24,87;230,50;90,00;88,73;1800,00;90,06;2263,79;22,00
25,04;230,67;90,10;88,90;1800,00;90,19;2264,10;22,00
25,21;230,84;90,20;89,06;1800,00;90,31;2264,35;22,00
25,37;231,00;90,30;89,22;1800,00;90,45;2264,67;22,00
25,54;231,17;90,40;89,38;1800,00;90,53;2264,71;22,00
25,71;231,34;90,50;89,54;1800,00;90,66;2264,94;22,00
25,87;231,50;90,70;89,71;1800,00;90,78;2265,18;22,00
26,04;231,67;90,70;89,87;1800,00;90,88;2265,27;22,00
26,21;231,84;90,90;90,03;1800,00;91,00;2265,46;22,00
26,38;232,01;91,00;90,19;1800,00;91,14;2265,74;22,00
26,54;232,17;91,10;90,35;1800,00;91,25;2265,86;22,00
26,71;232,34;91,20;90,52;1800,00;91,36;2265,98;22,00
26,88;232,51;91,30;90,68;1800,00;91,42;2265,86;22,00
27,04;232,67;91,40;90,84;1800,00;91,54;2266,05;22,00
27,21;232,84;91,50;91,00;1800,00;91,63;2266,09;22,00
27,38;233,01;91,60;91,16;1800,00;91,76;2266,30;22,00
27,54;233,17;91,70;91,33;2000,00;91,83;2272,87;22,00
27,71;233,34;92,00;91,49;2000,00;91,98;2282,47;22,00
27,88;233,51;92,20;91,65;2000,00;92,21;2292,08;22,00
28,04;233,67;92,50;91,81;2000,00;92,44;2301,26;22,00
28,21;233,84;92,70;91,97;2000,00;92,69;2310,25;22,00
28,38;234,01;93,00;92,14;2000,00;92,95;2318,91;22,00
28,54;234,17;93,20;92,30;2000,00;93,18;2327,12;22,00
28,71;234,34;93,40;92,46;2000,00;93,42;2335,01;22,00
28,88;234,51;93,70;92,62;2000,00;93,69;2342,88;22,00
29,04;234,67;93,90;92,78;2000,00;93,89;2349,46;22,00
29,21;234,84;94,10;92,95;2000,00;94,13;2356,57;22,00
29,38;235,01;94,30;93,11;2000,00;94,35;2363,37;22,00
29,54;235,17;94,50;93,27;2000,00;94,56;2369,79;22,00
29,71;235,34;94,70;93,43;2000,00;94,76;2375,93;22,00
29,88;235,51;94,90;93,59;2000,00;94,95;2381,78;22,00
30,04;235,67;95,10;93,76;2000,00;95,15;2387,42;22,00
30,21;235,84;95,30;93,92;2000,00;95,36;2392,96;22,00
30,38;236,01;95,50;94,08;2000,00;95,57;2398,28;22,00
30,54;236,17;95,70;94,24;2000,00;95,77;2402,89;22,00
30,71;236,34;95,90;94,40;2000,00;95,94;2407,65;22,00
30,88;236,51;96,10;94,57;2000,00;96,14;2412,32;22,00
31,04;236,67;96,30;94,73;2000,00;96,31;2416,67;22,00
31,21;236,84;96,50;94,89;2000,00;96,49;2420,90;22,00
31,38;237,01;96,60;94,98;2000,00;96,61;2423,48;22,00
31,54;237,17;96,70;95,21;2000,00;96,85;2428,97;22,00
31,71;237,34;96,90;95,37;2000,00;96,98;2432,48;22,00
31,88;237,51;97,00;95,54;2000,00;97,14;2436,02;22,00
32,04;237,67;97,20;95,70;2000,00;97,29;2439,42;22,00
32,21;237,84;97,40;95,86;1700,00;97,44;2442,70;22,00
32,38;238,01;97,50;96,02;1700,00;97,58;2431,56;22,00
32,54;238,17;97,60;96,18;1700,00;97,73;2420,96;22,00
32,71;238,34;97,60;96,35;1700,00;97,85;2410,52;22,00
32,88;238,51;97,60;96,51;1700,00;97,85;2400,87;22,00
33,04;238,67;97,50;96,67;1700,00;97,80;2390,34;22,00
33,21;238,84;97,40;96,83;1700,00;97,72;2380,00;22,00
33,38;239,01;97,20;96,99;1700,00;97,64;2370,10;22,00
33,54;239,17;97,10;97,16;1700,00;97,49;2360,22;22,00
33,71;239,34;97,10;97,32;1700,00;97,40;2351,17;22,00
33,88;239,51;97,00;97,48;1700,00;97,30;2342,23;22,00
34,04;239,67;97,00;97,64;1700,00;97,26;2333,90;22,00
34,21;239,84;96,90;97,80;2000,00;97,20;2330,48;22,00
34,38;240,01;96,90;97,97;2000,00;97,16;2336,05;22,00
34,54;240,17;96,90;98,13;2000,00;97,12;2342,35;22,00
34,71;240,34;97,00;98,29;2000,00;97,16;2348,72;22,00
34,88;240,51;97,20;98,45;2000,00;97,27;2355,31;22,00
35,04;240,67;97,20;98,61;2000,00;97,38;2361,53;22,00
35,21;240,84;97,40;98,77;2000,00;97,53;2367,74;22,00
35,38;241,01;97,60;98,94;2000,00;97,70;2373,84;22,00
35,54;241,17;97,70;99,00;1900,00;97,85;2375,26;22,00
35,71;241,34;97,90;99,00;1900,00;98,01;2376,28;22,00
35,88;241,51;97,90;99,00;1900,00;98,09;2376,84;22,00
36,04;241,67;98,10;99,00;1800,00;98,22;2376,13;22,00
36,21;241,84;98,10;99,00;1800,00;98,30;2371,88;22,00
36,38;242,01;98,20;99,00;1800,00;98,38;2367,88;22,00
36,54;242,17;98,20;99,00;1800,00;98,40;2363,68;22,00
36,71;242,34;98,30;99,00;1800,00;98,47;2359,98;22,00
36,88;242,51;98,20;99,00;1800,00;98,48;2356,07;22,00
37,04;242,67;98,30;99,00;1800,00;98,51;2352,41;22,00
37,21;242,84;98,30;99,00;1800,00;98,53;2349,16;22,00
37,38;243,01;98,30;99,00;1800,00;98,53;2345,66;22,00
37,54;243,17;98,30;99,00;1800,00;98,53;2342,25;22,00
37,71;243,34;98,40;99,00;1800,00;98,57;2339,16;22,00
37,88;243,51;98,30;99,00;1800,00;98,56;2335,95;22,00
38,04;243,67;98,30;99,00;1800,00;98,57;2332,98;22,00
38,21;243,84;98,30;99,00;1800,00;98,55;2329,93;22,00
38,38;244,01;98,40;99,00;1800,00;98,58;2327,30;22,00
38,54;244,17;98,30;99,00;1800,00;98,55;2324,46;22,00
38,71;244,34;98,30;99,00;1800,00;98,59;2322,02;22,00
38,88;244,51;98,30;99,00;1800,00;98,55;2319,63;22,00
39,05;244,68;98,40;99,00;1800,00;98,60;2317,46;22,00
39,21;244,84;98,40;99,00;1800,00;98,61;2315,20;22,00
39,38;245,01;98,50;99,00;1800,00;98,64;2313,12;22,00
39,55;245,18;98,40;99,00;1800,00;98,65;2310,99;22,00
39,71;245,34;98,50;99,00;1800,00;98,69;2309,10;22,00
39,88;245,51;98,50;99,00;1800,00;98,72;2307,23;22,00
40,05;245,68;98,50;99,00;1800,00;98,72;2305,33;22,00
40,21;245,84;98,50;99,00;1800,00;98,73;2303,48;22,00
40,38;246,01;98,50;99,00;1800,00;98,73;2301,71;22,00
40,55;246,18;98,50;99,00;1800,00;98,73;2300,14;22,00
40,71;246,34;98,60;99,00;1800,00;98,74;2298,53;22,00
40,88;246,51;98,50;99,00;1700,00;98,75;2294,57;22,00
41,05;246,68;98,60;99,00;1700,00;98,77;2288,51;22,00
41,21;246,84;98,50;99,00;1700,00;98,76;2282,47;22,00
41,38;247,01;98,50;99,00;1700,00;98,75;2276,60;22,00
41,55;247,18;98,40;99,00;1700,00;98,70;2270,89;22,00
41,71;247,34;98,40;99,00;1700,00;98,68;2265,46;22,00
41,88;247,51;98,30;99,00;1700,00;98,62;2260,53;22,00
42,05;247,68;98,30;99,00;1700,00;98,55;2255,33;22,00
42,21;247,84;98,20;99,00;1700,00;98,53;2250,50;22,00
42,38;248,01;98,20;99,00;1700,00;98,46;2245,63;22,00
42,55;248,18;98,10;99,00;1700,00;98,39;2240,89;22,00
42,71;248,34;98,10;99,00;1700,00;98,34;2236,48;22,00
42,88;248,51;98,10;99,00;1700,00;98,32;2232,40;22,00
43,05;248,68;98,10;99,00;1700,00;98,32;2228,60;22,00
43,21;248,84;98,00;99,00;1700,00;98,28;2224,68;22,00
43,38;249,01;98,00;99,00;1700,00;98,24;2221,31;22,00
43,55;249,18;97,90;99,00;1700,00;98,17;2217,59;22,00
43,71;249,34;97,90;99,00;1700,00;98,14;2214,14;22,00
43,88;249,51;97,80;99,00;1700,00;98,11;2210,88;22,00
44,05;249,68;97,90;99,00;1700,00;98,09;2207,74;22,00
44,21;249,84;97,70;99,00;1700,00;98,01;2204,45;22,00
44,38;250,01;97,80;99,00;1700,00;97,98;2201,59;22,00
44,55;250,18;97,70;99,00;1700,00;97,95;2198,80;22,00
44,71;250,34;97,80;99,00;1700,00;97,95;2196,22;22,00
44,88;250,51;97,70;99,00;1700,00;97,93;2193,67;22,00
45,05;250,68;97,70;99,00;1700,00;97,94;2191,37;22,00
45,21;250,84;97,70;99,00;1700,00;97,92;2189,23;22,00
45,38;251,01;97,80;99,00;1700,00;97,92;2187,01;22,00
45,55;251,18;97,70;99,00;1700,00;97,93;2184,95;22,00
45,71;251,34;97,80;99,00;1700,00;97,94;2182,99;22,00
45,88;251,51;97,70;99,00;1700,00;97,93;2181,00;22,00
46,05;251,68;97,70;99,00;1700,00;97,92;2179,09;22,00
46,21;251,84;97,70;99,00;1700,00;97,90;2177,24;22,00
46,38;252,01;97,70;99,00;1700,00;97,90;2175,51;22,00
46,55;252,18;97,60;99,00;1700,00;97,88;2173,72;22,00
46,71;252,34;97,70;99,00;1700,00;97,87;2172,10;22,00
46,88;252,51;97,60;99,00;1700,00;97,86;2170,50;22,00
47,05;252,68;97,70;99,00;1700,00;97,87;2169,08;22,00
47,21;252,84;97,60;99,00;1700,00;97,85;2167,71;22,00
47,38;253,01;97,70;99,00;1700,00;97,86;2166,38;22,00
47,55;253,18;97,60;99,00;1700,00;97,85;2164,99;22,00
