Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;37.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;37.6;37.0;1500.0;0.0;0.0;29.512717040014877;122.78861898015933;22.0
0.36;37.6;37.0;1500.0;1200.0;300.0;34.79203781971715;214.86989429510828;22.0
0.53;37.6;37.0;311.0;1200.0;300.0;36.6462838467117;285.5387766351112;22.0
0.69;37.6;37.0;0.0;1200.0;300.0;37.28101390151301;291.3453329447824;22.0
0.86;37.6;37.0;0.0;0.0;0.0;37.50223898395582;281.38098540776105;22.0
1.03;37.6;37.0;0.0;0.0;0.0;37.57644559987915;271.20469133316004;22.0
1.19;37.6;37.0;0.0;0.0;0.0;37.638373252905716;261.17699485607346;22.0
1.36;37.6;37.0;0.0;0.0;0.0;37.64172169465955;251.36191935636518;22.0
1.53;37.6;37.0;0.0;0.0;0.0;37.621802150590256;241.86440648556706;22.0
1.69;37.6;37.0;0.0;0.0;0.0;37.614463411236734;233.69300625708698;22.0
1.86;37.6;37.0;0.0;0.0;0.0;37.61053575162038;224.89269356047967;22.0
2.03;37.6;37.0;0.0;0.0;0.0;37.60827586368958;216.3869893717023;22.0
2.19;37.6;37.0;0.0;0.0;0.0;37.61363022737322;208.2453283628173;22.0
2.36;37.7;37.0;0.0;0.0;0.0;37.629265490614124;200.55831404356536;22.0
2.53;37.7;37.0;0.0;0.0;0.0;37.66241017869273;193.20380693199462;22.0
2.69;37.8;37.0;0.0;0.0;0.0;37.68827107014332;186.13759978855006;22.0
2.86;37.7;37.0;0.0;0.0;0.0;37.73709756734208;179.40992495578033;22.0
3.03;37.8;37.0;0.0;0.0;0.0;37.75954949567068;172.65714523599024;22.0
3.19;37.8;37.0;0.0;0.0;0.0;37.78525662001039;166.2951306617214;22.0
3.36;37.8;37.0;0.0;0.0;0.0;37.793328455208744;160.20010448342762;22.0
3.53;37.8;37.0;5.0;0.0;0.0;37.79545683455893;154.81475704548848;22.0
3.69;37.8;37.0;19.0;0.0;0.0;37.795743415785296;149.31248546497142;22.0
3.86;37.8;37.0;30.0;15.2;3.8;37.79531593349881;144.50427079693551;22.0
4.03;37.9;37.0;43.0;15.2;3.8;37.79469320976158;140.18861268797775;22.0
4.19;37.9;37.0;54.0;34.4;8.6;37.85632205924704;136.75526851787674;22.0
4.36;37.9;37.0;63.0;34.4;8.6;37.88039666353183;133.5853800683126;22.0
4.53;37.9;37.0;78.0;50.400000000000006;12.6;37.88836304858244;130.80838464340482;22.0
4.69;37.9;37.0;88.0;50.400000000000006;12.6;37.89090042299425;128.57480645015642;22.0
4.86;37.9;37.0;207.0;70.4;17.599999999999998;37.89161023701161;128.96678499882194;22.0
5.03;37.9;37.0;368.0;70.4;17.599999999999998;37.9244663949687;137.33538279907305;22.0
5.19;38.0;37.10008;571.0;314.40000000000003;78.60000000000002;37.90873388843787;152.83918971490232;22.0
5.36;37.9;37.22032;665.0;314.40000000000003;78.60000000000002;37.93243483233636;175.4154654541942;22.0
5.53;38.0;37.33984;785.0;548.8000000000001;137.20000000000005;37.95941409187203;204.0628063070656;22.0
5.69;38.0;37.46008;830.0;548.8000000000001;137.20000000000005;37.99006116975028;234.16587138214155;22.0
5.86;38.1;37.58032;895.0;677.6;169.4;38.024865036541954;266.47225108456666;22.0
6.03;38.1;37.70056;898.0;677.6;169.4;38.080202138202274;299.25318658688565;22.0
6.19;38.1;37.8208;969.0;718.4000000000002;179.60000000000005;38.10743965062886;332.06932933174073;22.0
6.36;38.1;37.94032;1061.0;718.4000000000002;179.60000000000005;38.13513662649052;364.2587006479031;22.0
6.53;38.2;38.06056;1115.0;856.7999999999998;214.2;38.16635989064568;402.7145187084346;22.0
6.69;38.2;38.1808;1119.0;856.7999999999998;214.2;38.21322759909831;440.3516806923901;22.0
6.86;38.2;38.30104;1219.0;900.0;225.0;38.23361755399812;478.8283320020505;22.0
7.03;38.3;38.42128;1268.0;900.0;225.0;38.272938669892355;521.0868444309791;22.0
7.19;38.3;38.5408;1235.0;1014.4;253.6;38.32797632463458;560.8334175452119;22.0
7.36;38.4;38.66104;1262.0;1014.4;253.6;38.36794533460874;599.3983087810977;22.0
7.53;38.4;38.78128;1242.0;1009.6;252.4;38.43409835178189;636.3179652847709;22.0
7.69;38.5;38.9008;1206.0;1009.6;252.4;38.5073781575282;672.0066108482008;22.0
7.86;38.5;39.02104;1244.0;964.8;241.2;38.55482016750789;703.7759166108988;22.0
8.03;38.6;39.14128;1204.0;964.8;241.2;38.629847954421614;732.3493231738216;22.0
8.19;38.7;39.26008;1238.0;960.0;240.0;38.68838488254743;762.8386035790191;22.0
8.36;38.7;39.38032;1240.0;960.0;240.0;38.75681822828783;791.6569769040365;22.0
8.53;38.8;39.50056;1372.0;987.2;246.79999999999998;38.78397797188258;821.1470190398309;22.0
8.69;38.9;39.62008;1331.0;987.2;246.79999999999998;38.86133804578357;852.8971552501425;22.0
8.86;38.9;39.74032;1255.0;1056.8;264.2;38.95747952780631;881.8569625763172;22.0
9.03;38.9;39.86128;1377.0;1056.8;264.2;38.993208054086985;908.3232857004435;22.0
9.19;39.0;39.9808;1366.0;1091.2;272.80000000000007;39.06539130219934;937.7371085348988;22.0
9.36;39.0;40.10104;1472.0;1091.2;272.80000000000007;39.10164099055546;966.6748606876264;22.0
9.53;39.1;40.22128;1464.0;1164.0;291.00000000000006;39.1700122240164;998.907614590488;22.0
9.69;39.2;40.34152;1489.0;1164.0;291.00000000000006;39.228244789928254;1029.5685413285453;22.0
9.86;39.2;40.46104;1388.0;1176.8;294.20000000000005;39.29410785095662;1056.5995719133464;22.0
10.03;39.3;40.58128;1456.0;1176.8;294.20000000000005;39.32363377701714;1085.5925077793381;22.0
10.19;39.4;40.70152;1471.0;1200.0;300.0;39.407986200702844;1115.627381791281;22.0
10.36;39.5;40.82176;1388.0;1200.0;300.0;39.50114168981159;1143.8978020434358;22.0
10.53;39.6;40.94056;1301.0;1189.6000000000001;297.40000000000003;39.62898383618206;1168.2557419820457;22.0
10.69;39.7;41.0608;1234.0;1189.6000000000001;297.40000000000003;39.71836060749716;1185.9515913026885;22.0
10.86;39.7;41.18032;1265.0;1070.4;267.6;39.804827498105524;1201.0471909222567;22.0
11.03;39.9;41.302;1343.0;1070.4;267.6;39.87699255349666;1218.7210918646895;22.0
