Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;0.0;15.0;0.0;22.0
0.2;17.007842230927302;0.0;16.151842079422725;5.624316551112504;22.0
0.36;17.0179622543273;0.0;16.72035337101742;8.146780728362405;22.0
0.53;17.028106141560052;0.0;16.925975667372686;8.795014607001102;22.0
0.7;17.0383966342969;0.0;17.00317364505993;8.790764413943052;22.0
0.86;17.048709640186136;0.0;17.03622249972939;8.57322356722063;22.0
1.03;17.058904056623252;0.0;17.05462279914974;8.292468045708981;22.0
1.2;17.068973669319845;0.0;17.067591861294;7.9959694443437215;22.0
