Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Power Heater[W];Power Coil[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.02;10.0;25.0;0.0;0.0;0.0;15.0;0.0;22.0
0.19;10.0;25.0;2000.0;0.0;0.0;13.12038424554434;29.51741031928062;22.0
0.36;10.0;25.0;2000.0;0.0;2000.0;11.090478234771195;113.8573798304871;22.0
0.52;10.4;25.0;2000.0;0.0;2000.0;10.544073395334168;201.1574939637591;22.0
0.69;10.7;25.0;2000.0;0.0;2000.0;10.586721368876093;289.5582401558868;22.0
0.86;11.0;25.0;2000.0;0.0;2000.0;10.801105292449126;367.55240716337346;22.0
1.02;11.3;25.0;2000.0;0.0;2000.0;11.091940961399404;450.74577475979106;22.0
1.19;11.7;25.0;2000.0;0.0;2000.0;11.410123960256978;530.4103839852334;22.0
1.36;12.0;25.0;2000.0;0.0;2000.0;11.7421631527972;607.0872710032571;22.0
1.52;12.3;25.0;2000.0;0.0;2000.0;12.089730358604118;681.3185361453407;22.0
1.69;12.6;25.0;2000.0;0.0;2000.0;12.436466690087338;753.487571189228;22.0
1.86;13.0;25.0;2000.0;0.0;2000.0;12.741582386330856;814.5210113348925;22.0
2.03;13.3;25.0;2000.0;0.0;2000.0;13.084031152489418;881.0990988308216;22.0
2.19;13.6;25.0;2000.0;0.0;2000.0;13.428263160494097;944.3878314526503;22.0
2.36;13.9;25.0;2000.0;0.0;2000.0;13.770102663601316;1005.2386061832285;22.0
2.53;14.2;25.0;2000.0;0.0;2000.0;14.09556426163226;1064.666499453699;22.0
2.69;14.6;25.0;2000.0;0.0;2000.0;14.393787701895262;1115.3020338483518;22.0
2.86;14.9;25.0;2000.0;0.0;2000.0;14.73017066667671;1170.184307812717;22.0
3.03;15.2;25.0;2000.0;0.0;2000.0;15.075555621632605;1222.689274800807;22.0
3.19;15.5;25.0;2000.0;0.0;2000.0;15.415373543026883;1272.8609176234054;22.0
3.36;15.8;25.0;2000.0;0.0;2000.0;15.736878822817605;1321.0191207976652;22.0
3.53;16.2;25.0;2000.0;0.0;2000.0;16.063674687044976;1367.6176055585186;22.0
3.69;16.5;25.0;2000.0;0.0;2000.0;16.36659557185032;1408.061588781728;22.0
3.86;16.8;25.0;2000.0;0.0;2000.0;16.69521173892932;1450.591146568555;22.0
4.03;17.1;25.0;2000.0;0.0;2000.0;17.0203576761724;1491.9561014131011;22.0
4.19;17.4;25.0;2000.0;0.0;2000.0;17.354302565216283;1532.0010078855469;22.0
4.36;17.8;25.0;2000.0;0.0;2000.0;17.682208073995387;1570.4722622641136;22.0
4.53;18.1;25.0;2000.0;0.0;2000.0;18.001742638568473;1607.2162097773844;22.0
4.69;18.4;25.0;2000.0;0.0;2000.0;18.299453700665058;1638.9134801344014;22.0
4.86;18.7;25.0;2000.0;0.0;2000.0;18.62377827526762;1673.247021201887;22.0
5.03;19.0;25.0;2000.0;0.0;2000.0;18.950625871542744;1706.0898173253465;22.0
5.19;19.3;25.051;2000.0;0.0;2000.0;19.27567526710307;1737.8395593156267;22.0
5.36;19.6;25.1512;2000.0;0.0;2000.0;19.596087588815394;1767.9877724886196;22.0
5.53;20.0;25.2508;2000.0;0.0;2000.0;19.926235525259983;1796.8280719589877;22.0
5.69;20.3;25.351;1937.0;0.0;2000.0;20.21870295086221;1821.2151996232935;22.0
