Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;17.0;0.0;15.0;0.0;22.0
0.19;24.7;17.0;2000.0;20.2386738142273;101.8048086948272;22.0
0.36;24.9;17.0;2000.0;23.287585136037713;208.85892870747247;22.0
0.53;25.0;17.0;2000.0;24.398932982595;301.80234126438967;22.0
0.69;25.3;17.0;2000.0;24.90012084791535;388.685771692393;22.0
0.86;25.6;17.0;2000.0;25.23207524975215;463.42846207864056;22.0
1.03;26.0;17.0;2000.0;25.603681531343543;542.9948706718884;22.0
1.19;26.3;17.0;2000.0;26.001104553907243;620.5030614558032;22.0
1.36;26.7;17.0;2000.0;26.38589210898577;694.5282207069632;22.0
1.53;27.1;17.0;2000.0;26.794282803801636;766.2139316923167;22.0
1.69;27.5;17.0;2000.0;27.160249042020336;827.2239193851589;22.0
1.86;27.8;17.0;2000.0;27.582016235353638;893.8285548692892;22.0
2.03;28.3;17.0;2000.0;28.002477293489203;958.2018850891623;22.0
2.19;28.7;17.0;2000.0;28.401265950200084;1018.9315936425461;22.0
2.36;29.1;17.0;2000.0;28.82331192842933;1077.4484314275255;22.0
2.53;29.4;17.0;2000.0;29.22184647442776;1133.9213650177753;22.0
2.7;29.8;17.0;2000.0;29.569951739553108;1182.2241437931377;22.0
2.86;30.2;17.0;2000.0;29.957653208076948;1234.3133011776993;22.0
3.03;30.5;17.0;2000.0;30.369375072297526;1285.0839015573783;22.0
3.2;30.9;17.0;2000.0;30.776201750842773;1333.0577112017752;22.0
3.36;31.3;17.0;2000.0;31.131475260561732;1379.2077126145937;22.0
3.53;31.8;17.0;2000.0;31.537034950067586;1423.8368503747945;22.0
3.7;32.1;17.0;2000.0;31.910457553742802;1463.033282533703;22.0
3.86;32.5;17.0;2000.0;32.302827474288854;1504.3872109994206;22.0
4.03;32.9;17.0;2000.0;32.71439891450132;1544.0315834626517;22.0
4.2;33.3;17.0;2000.0;33.10325404109901;1582.6872344929732;22.0
4.36;33.7;17.0;2000.0;33.524149848535146;1619.5985943468133;22.0
4.53;34.0;17.0;2000.0;33.92374855344957;1655.1851776145822;22.0
4.7;34.5;17.0;2000.0;34.27134733760037;1685.9811580599949;22.0
4.86;34.9;17.0;2000.0;34.69653885960342;1719.137179203361;22.0
5.03;35.2;17.0;1500.0;35.07276140827637;1743.2989950463254;22.0
5.2;35.5;17.158;1500.0;35.45672383391921;1750.0041662013198;22.0
5.36;35.8;17.325;1500.0;35.7468470522928;1756.0202927575463;22.0
5.53;35.8;17.492;1500.0;35.94955771589693;1761.3740040691841;22.0
5.7;35.8;17.66;1500.0;36.014662855247735;1765.4169837948914;22.0
5.86;35.9;17.826;1500.0;36.04159379378413;1769.548863549243;22.0
6.03;35.8;17.993000000000002;1500.0;36.055290748573675;1773.4336157566568;22.0
6.2;35.8;18.159;1500.0;36.05622918402865;1777.1289389535527;22.0
6.36;35.8;18.326;1500.0;36.056930400941496;1780.7009147508254;22.0
6.53;35.9;18.493000000000002;1500.0;36.07649642302696;1783.87347274659;22.0
6.7;35.9;18.66;1500.0;36.11069110694813;1787.3099535964718;22.0
6.86;35.9;18.826;1500.0;36.14236585377478;1790.6205850786944;22.0
7.03;36.0;18.993000000000002;1500.0;36.14860542338869;1793.6620250572048;22.0
7.2;36.0;19.159;1500.0;36.19984461130138;1796.8080474753292;22.0
