Time[min];Temperature[°C];Reference Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;20.0;0.0;15.0;0.0;22.0
0.19;17.124437823123365;20.0;869.0134313603323;16.174253435201525;69.40897267440592;22.0
0.36;17.267994475740142;20.0;830.5316628694724;16.862458524745573;151.24339025019296;22.0
0.53;17.40611927139445;20.0;793.4472106207483;17.19930523582673;228.22028775741688;22.0
0.69;17.536663750248078;20.0;758.1604667013318;17.410882256795247;301.63071886974046;22.0
0.86;17.66230085144837;20.0;724.4022884116226;17.572739033354512;370.7678338778824;22.0
1.03;17.7824690586553;20.0;692.0827642470293;17.720980611425617;439.17657699170064;22.0
1.19;17.898789988293583;20.072;681.2186017787669;17.843404652417796;497.7043300014191;22.0
1.36;18.013892909724227;20.1555;675.531978217707;17.972591753494275;560.010526590955;22.0
1.53;18.126542107738963;20.239;670.1195587855543;18.098453071931658;620.2703715592289;22.0
1.69;18.239509109253756;20.3225;664.799806583844;18.220759989973185;677.2004863383162;22.0
1.86;18.350778223589813;20.4055;659.7085845009494;18.346481146797657;732.9630049933361;22.0
2.03;18.462391655778188;20.489;654.4987813762664;18.467954787440295;786.1697634433541;22.0
2.19;18.57234996305003;20.572;649.9107763082554;18.588118770965284;836.982561163603;22.0
2.36;18.68140176993647;20.6555;645.7474568892424;18.706067425639088;885.4766045975359;22.0
2.53;18.788325857341814;20.7385;641.7919102025081;18.82211141658533;931.7367423558183;22.0
2.69;18.89572592162085;20.8215;637.8485813436406;18.93710641835317;975.883501495358;22.0
2.86;19.002324216961956;20.905;634.1069954555983;19.05397075042683;1018.2788458361835;22.0
3.03;19.108153521579027;20.9885;630.5586113594482;19.157906838320883;1054.7192717040525;22.0
3.19;19.213245227969026;21.072;627.2148941037997;19.270130387239785;1091.7635664239172;22.0
3.36;19.317006290539474;21.1555;624.027686314304;19.38046507840919;1119.093164292988;22.0
3.53;19.42071571394139;21.2385;621.0102171110651;19.492736158539227;1137.6061839893914;22.0
3.69;19.523773818417073;21.322;618.1719643856103;19.599710037140536;1148.1230376033495;22.0
