Time[min];Temperature[°C];Power[W];Observer state Temperature[°C];Observer state Power[W];Observer state Ambient temperature[°C]
0.03;17.0;0.0;15.0;0.0;22.0
0.19;17.17022229421854;1500.0;16.236513539397265;74.91858743735247;22.0
0.36;17.417225614591565;1500.0;16.946678448038835;156.6513301742821;22.0
0.53;17.548388278746234;600.0;17.329732954350202;233.21114639441774;22.0
0.69;17.65169424217387;600.0;17.539223830492332;306.0009293392382;22.0
0.86;17.797663102496173;1500.0;17.69008605563492;376.13067683761983;22.0
1.03;18.04354470548879;1500.0;17.88575325995254;443.0156079808358;22.0
1.19;18.180442321762026;600.0;18.09712315034729;507.81275613846685;22.0
1.36;18.26052896309289;200.0;18.24562031412761;569.8296175259081;22.0
1.53;18.402954676197844;1500.0;18.355891502956958;629.6389236532888;22.0
1.69;18.647754159459858;1500.0;18.522706815816072;681.1372078835982;22.0
1.86;18.892115998514697;1500.0;18.750889508995876;736.6160187199804;22.0
2.03;19.13458157833638;1500.0;18.995261344862943;790.3785133968936;22.0
2.19;19.378073083855682;1500.0;19.246100640878463;842.4182617468357;22.0
2.36;19.62112928352603;1500.0;19.500942340202542;892.1987190758628;22.0
2.53;19.863750955572442;1500.0;19.75362949030383;939.7979734743814;22.0
2.69;20.10448987216259;1500.0;20.005608009684465;985.8519899106851;22.0
2.86;20.3462474085549;1500.0;20.253335755624715;1029.877857628018;22.0
3.03;20.587572739029387;1500.0;20.503326333541043;1072.7303516627555;22.0
3.19;20.828466636269134;1500.0;20.748302873949335;1113.2182512855763;22.0
3.36;21.067491185665467;1500.0;20.996667716362047;1152.867900915857;22.0
3.53;21.307527100995753;1500.0;21.242473543042657;1190.7706075329538;22.0
3.69;21.547133888263925;1500.0;21.494511390765823;1227.4656173308595;22.0
3.86;21.786312314650573;1500.0;21.71768291965737;1259.0504229444161;22.0
4.03;22.02363470532739;1500.0;21.96387924478512;1293.0996243713907;22.0
4.19;22.261961259726714;1500.0;22.206744881881608;1325.4609803949402;22.0
4.36;22.499861742001382;1500.0;22.45083444906674;1356.7786699818523;22.0
4.53;22.737336913868685;1500.0;22.69250805454987;1386.8913572482659;22.0
4.69;22.97438753568412;1500.0;22.94247475208679;1416.0598567102825;22.0
4.86;23.209598633652135;1500.0;23.1857984641446;1443.922441458307;22.0
5.03;23.445804961994472;1500.0;23.42847968927834;1471.0198629523652;22.0
5.19;23.680178318246;1500.0;23.667445585745856;1496.7678051921362;22.0
5.36;23.91554336020068;1500.0;23.907721144260716;1521.4038878339645;22.0
5.53;24.150487624522135;1500.0;24.131493908774175;1543.3063511232579;22.0
5.69;24.385011863462328;1500.0;24.36929595136645;1566.1683317984512;22.0
5.86;24.392157137945944;0.0;24.39903698047142;1568.980163898201;22.0
6.03;24.38790610751095;0.0;24.39903698047142;1568.980163898201;22.0
6.19;24.383637090022432;0.0;24.39903698047142;1568.980163898201;22.0
6.36;24.379375704538486;0.0;24.39903698047142;1568.980163898201;22.0
6.53;24.61209004032818;1500.0;24.615607016029404;1589.5477864251072;22.0
6.69;24.844390841459674;1500.0;24.851475745274918;1610.8844549290175;22.0
6.86;25.077674543781146;1500.0;25.088452929796897;1631.5219558089718;22.0
7.03;25.310541189417744;1500.0;25.321179458213745;1651.0202853355077;22.0
7.19;25.542991523969242;1500.0;25.558615628879043;1669.8041640628514;22.0
7.36;25.77502629170249;1500.0;25.800672235370346;1688.0984848212365;22.0
7.53;26.005260458849186;1500.0;26.03677712309725;1705.5682164489172;22.0
7.69;26.23646879787101;1500.0;26.248712499560494;1720.7926372347413;22.0
7.86;26.467263790472025;1500.0;26.47910504346155;1736.8144626270016;22.0
8.03;26.697646175618925;1500.0;26.714419436440906;1752.511474485424;22.0
8.19;26.926240797488138;1500.0;26.945035927503515;1767.42298943008;22.0
8.36;27.154429175993428;1500.0;27.181885347708434;1781.9568367579313;22.0
8.53;27.38495407788425;1500.0;27.41735693779544;1795.8534668568002;22.0
8.69;27.613695847483623;1500.0;27.65059828654669;1809.2108600502918;22.0
8.86;27.842028680311277;1500.0;27.88223217045312;1822.1209442295453;22.0
9.03;28.068589639739404;1500.0;28.10931500904319;1834.3187311722847;22.0
9.19;28.296109228885307;1500.0;28.338349748401555;1846.1935172176154;22.0
9.36;28.52322206623222;1500.0;28.570963231290563;1857.6949697021025;22.0
9.53;28.748572497401277;1500.0;28.802736160016682;1868.5799033281357;22.0
9.69;28.97352247961124;1500.0;29.03390377150521;1879.2187473700897;22.0
9.86;29.199424260541306;1500.0;29.236541103239094;1888.3079324600228;22.0
10.03;29.42492218193502;1500.0;29.467363619506404;1898.293091892216;22.0
10.19;29.64867022897374;1500.0;29.692120332703293;1907.7172049076669;22.0
10.36;29.873365003673428;1500.0;29.92587010601477;1916.8741484262239;22.0
10.53;30.097658076681505;1500.0;30.153078985247102;1925.6051567496038;22.0
10.69;30.32155016614663;1500.0;30.37878877238835;1933.997591514885;22.0
10.86;30.54370484258721;1500.0;30.604696870249096;1942.1133266258676;22.0
11.03;30.766799504784014;1500.0;30.827746807007486;1949.866651607395;22.0
11.19;30.98949532591604;1500.0;31.057263813742257;1957.3578910011283;22.0
11.36;31.21046301712139;1500.0;31.262146935603035;1963.8770769902264;22.0
11.53;31.432365671684916;1500.0;31.485914285424254;1970.8431078070635;22.0
11.69;31.653871616214435;1500.0;31.707605320196716;1977.5010428136882;22.0
11.86;31.87498155993471;1500.0;31.93146014005965;1983.94848350649;22.0
12.03;32.09437568021077;1500.0;32.15502979301446;1990.1195995517548;22.0
12.19;32.314698105717035;1500.0;32.3802806284056;1996.0651574365515;22.0
12.36;32.534626646269196;1500.0;32.602973625696954;2001.8001524687106;22.0
12.53;32.75416200604139;1500.0;32.82303485816148;2007.2528345718176;22.0
12.69;32.97330488794887;1500.0;33.04300063244115;2012.5001008144354;22.0
12.86;33.19205599365024;1500.0;33.26286493341732;2017.5729307128877;22.0
13.03;33.407803137650504;1500.0;33.480366438519056;2022.420338171077;22.0
13.19;33.62577746212882;1500.0;33.706148228701124;2027.1685850011497;22.0
13.36;33.843362127406536;1500.0;33.90381359716966;2031.2181670716232;22.0
13.53;34.05925829783338;1500.0;34.12234662867015;2035.577663268249;22.0
13.69;34.27606797288806;1500.0;34.33955133986277;2039.748045728675;22.0
13.86;34.492490042964654;1500.0;34.55802793883802;2043.8027905924507;22.0
14.03;34.70852520101018;1500.0;34.77414796356994;2047.6596080143895;22.0
14.19;34.92546434745639;1500.0;34.993711264271845;2051.435323300599;22.0
14.36;35.14072544873639;1500.0;35.21357419696154;2055.0247599840795;22.0
14.53;35.35431611386146;1500.0;35.432594353409925;2058.5034373487742;22.0
14.69;35.56881052850959;1500.0;35.6477678019905;2061.8185574152367;22.0
14.86;35.78292147732362;1500.0;35.863448235073704;2065.0239288152216;22.0
15.03;35.99409218458794;1500.0;36.07495291045354;2068.052668432896;22.0
15.19;36.20871930120735;1500.0;36.288547139676886;2071.01230608068;22.0
15.36;36.42168624283738;1500.0;36.50861686374194;2073.8816929120576;22.0
15.53;36.6342724493977;1500.0;36.703969221600175;2076.366448258246;22.0
15.69;36.84520897711048;1500.0;36.916934315377915;2079.0001805497836;22.0
15.86;37.05703802410168;1500.0;37.12995156836597;2081.5441482687042;22.0
16.03;37.26848837031262;1500.0;37.3439759742487;2084.005450952431;22.0
